    Time	  MemTotal	   MemUsed	   MemFree	   MemBuff	SwapTotal	SwapUsed	SwapFree	SwapCached	RealUsedMem
17:02:01	 7999.33	 7866.09	  133.24	 2238.20	 4110.34	 1642.64	 2467.70	 3215.71	 2412.18
17:02:03	 7999.33	 7868.11	  131.22	 2238.45	 4110.34	 1642.64	 2467.70	 3215.83	 2413.83
17:02:05	 7999.33	 7866.41	  132.93	 2238.47	 4110.34	 1642.64	 2467.70	 3215.96	 2411.98
17:02:07	 7999.33	 7867.32	  132.02	 2238.60	 4110.34	 1642.64	 2467.70	 3216.07	 2412.65
17:02:09	 7999.33	 7867.38	  131.95	 2238.74	 4110.34	 1642.64	 2467.70	 3216.18	 2412.47
17:02:11	 7999.33	 7868.04	  131.30	 2238.74	 4110.34	 1642.64	 2467.70	 3216.31	 2412.99
17:02:13	 7999.33	 7867.87	  131.46	 2238.99	 4110.34	 1642.64	 2467.70	 3216.44	 2412.44
17:02:15	 7999.33	 7869.38	  129.96	 2239.00	 4110.34	 1642.64	 2467.70	 3216.56	 2413.81
17:02:17	 7999.33	 7873.96	  125.37	 2239.13	 4110.34	 1642.64	 2467.70	 3216.70	 2418.14
17:02:19	 7999.33	 7871.85	  127.48	 2239.26	 4110.34	 1642.64	 2467.70	 3216.80	 2415.79
17:02:21	 7999.33	 7871.09	  128.25	 2239.27	 4110.34	 1642.64	 2467.70	 3216.93	 2414.88
17:02:23	 7999.33	 7872.58	  126.75	 2239.54	 4110.34	 1642.64	 2467.70	 3217.07	 2415.97
17:02:26	 7999.33	 7870.95	  128.38	 2239.55	 4110.34	 1642.64	 2467.70	 3217.21	 2414.20
17:02:28	 7999.33	 7873.53	  125.80	 2239.80	 4110.34	 1642.64	 2467.70	 3217.34	 2416.39
17:02:30	 7999.33	 7872.66	  126.67	 2239.82	 4110.34	 1642.64	 2467.70	 3217.44	 2415.40
17:02:32	 7999.33	 7875.02	  124.31	 2239.95	 4110.34	 1642.64	 2467.70	 3217.62	 2417.46
17:02:34	 7999.33	 7871.05	  128.28	 2240.07	 4110.34	 1642.64	 2467.70	 3217.73	 2413.25
17:02:36	 7999.33	 7871.93	  127.41	 2240.09	 4110.34	 1642.64	 2467.70	 3217.86	 2413.97
17:02:38	 7999.33	 7860.99	  138.34	 2240.35	 4110.34	 1642.64	 2467.70	 3208.41	 2412.22
17:02:40	 7999.33	 7863.72	  135.61	 2240.36	 4110.34	 1642.64	 2467.70	 3208.55	 2414.80
17:02:42	 7999.33	 7861.80	  137.53	 2240.49	 4110.34	 1642.64	 2467.70	 3208.67	 2412.64
17:02:44	 7999.33	 7863.67	  135.66	 2240.62	 4110.34	 1642.64	 2467.70	 3208.77	 2414.28
17:02:46	 7999.33	 7861.91	  137.42	 2240.63	 4110.34	 1642.64	 2467.70	 3208.89	 2412.39
17:02:48	 7999.33	 7863.81	  135.52	 2240.89	 4110.34	 1642.64	 2467.70	 3209.02	 2413.90
17:02:50	 7999.33	 7870.05	  129.28	 2240.89	 4110.34	 1642.64	 2467.70	 3209.12	 2420.04
17:02:52	 7999.33	 7865.26	  134.07	 2241.03	 4110.34	 1642.64	 2467.70	 3209.25	 2414.98
17:02:54	 7999.33	 7866.55	  132.79	 2241.16	 4110.34	 1642.64	 2467.70	 3209.39	 2416.00
17:02:56	 7999.33	 7870.56	  128.77	 2241.17	 4110.34	 1642.64	 2467.70	 3209.49	 2419.90
17:02:58	 7999.33	 7875.85	  123.48	 2241.43	 4110.34	 1642.64	 2467.70	 3209.62	 2424.80
17:03:00	 7999.33	 7865.46	  133.87	 2241.45	 4110.34	 1642.64	 2467.70	 3209.75	 2414.26
