    Time	  MemTotal	   MemUsed	   MemFree	   MemBuff	SwapTotal	SwapUsed	SwapFree	SwapCached	RealUsedMem
17:02:01	 7871.33	 7747.18	  124.16	 5393.53	 4110.34	   28.83	 4081.51	 1008.44	 1345.21
17:02:03	 7871.33	 7747.17	  124.16	 5393.53	 4110.34	   28.83	 4081.51	 1008.44	 1345.20
17:02:05	 7871.33	 7747.29	  124.04	 5393.66	 4110.34	   28.83	 4081.51	 1008.44	 1345.19
17:02:07	 7871.33	 7747.30	  124.04	 5393.79	 4110.34	   28.83	 4081.51	 1008.45	 1345.06
17:02:09	 7871.33	 7747.41	  123.92	 5393.79	 4110.34	   28.83	 4081.51	 1008.45	 1345.17
17:02:11	 7871.33	 7747.54	  123.79	 5394.04	 4110.34	   28.83	 4081.51	 1008.46	 1345.04
17:02:13	 7871.33	 7747.77	  123.56	 5394.04	 4110.34	   28.83	 4081.51	 1008.46	 1345.27
17:02:15	 7871.33	 7747.89	  123.44	 5394.17	 4110.34	   28.83	 4081.51	 1008.46	 1345.26
17:02:17	 7871.33	 7748.14	  123.19	 5394.30	 4110.34	   28.83	 4081.51	 1008.47	 1345.37
17:02:19	 7871.33	 7748.14	  123.20	 5394.30	 4110.34	   28.83	 4081.51	 1008.47	 1345.36
17:02:21	 7871.33	 7748.26	  123.07	 5394.56	 4110.34	   28.83	 4081.51	 1008.48	 1345.22
17:02:23	 7871.33	 7748.25	  123.08	 5394.56	 4110.34	   28.83	 4081.51	 1008.48	 1345.21
17:02:25	 7871.33	 7748.49	  122.84	 5394.68	 4110.34	   28.83	 4081.51	 1008.49	 1345.32
17:02:27	 7871.33	 7748.74	  122.59	 5394.82	 4110.34	   28.83	 4081.51	 1008.49	 1345.43
17:02:29	 7871.33	 7748.98	  122.36	 5394.82	 4110.34	   28.83	 4081.51	 1008.50	 1345.66
17:02:31	 7871.33	 7750.83	  120.50	 5395.07	 4110.34	   28.83	 4081.51	 1008.50	 1347.27
17:02:33	 7871.33	 7749.28	  122.05	 5395.07	 4110.34	   28.83	 4081.51	 1008.51	 1345.70
17:02:35	 7871.33	 7749.15	  122.18	 5395.20	 4110.34	   28.83	 4081.51	 1008.51	 1345.44
17:02:37	 7871.33	 7749.52	  121.81	 5395.32	 4110.34	   28.83	 4081.51	 1008.52	 1345.68
17:02:39	 7871.33	 7749.27	  122.07	 5395.33	 4110.34	   28.83	 4081.51	 1008.52	 1345.42
17:02:41	 7871.33	 7749.39	  121.95	 5395.58	 4110.34	   28.83	 4081.51	 1008.53	 1345.28
17:02:43	 7871.33	 7749.38	  121.95	 5395.58	 4110.34	   28.83	 4081.51	 1008.53	 1345.27
17:02:45	 7871.33	 7749.50	  121.83	 5395.71	 4110.34	   28.83	 4081.51	 1008.53	 1345.25
17:02:47	 7871.33	 7749.63	  121.70	 5395.84	 4110.34	   28.83	 4081.51	 1008.54	 1345.25
17:02:49	 7871.33	 7750.10	  121.23	 5395.84	 4110.34	   28.83	 4081.51	 1008.54	 1345.71
17:02:51	 7871.33	 7749.94	  121.39	 5396.10	 4110.34	   28.83	 4081.51	 1008.55	 1345.29
17:02:53	 7871.33	 7750.17	  121.16	 5396.10	 4110.34	   28.83	 4081.51	 1008.55	 1345.52
17:02:55	 7871.33	 7750.29	  121.04	 5396.22	 4110.34	   28.83	 4081.51	 1008.56	 1345.51
17:02:57	 7871.33	 7750.66	  120.67	 5396.36	 4110.34	   28.83	 4081.51	 1008.56	 1345.75
17:02:59	 7871.33	 7750.54	  120.80	 5396.36	 4110.34	   28.83	 4081.51	 1008.57	 1345.61
17:03:01	 7871.33	 7750.54	  120.79	 5396.61	 4110.34	   28.83	 4081.51	 1008.57	 1345.36
17:03:03	 7871.33	 7750.85	  120.48	 5396.61	 4110.34	   28.83	 4081.51	 1008.57	 1345.67
17:03:05	 7871.33	 7751.12	  120.21	 5396.74	 4110.34	   28.83	 4081.51	 1008.57	 1345.80
17:03:07	 7871.33	 7750.88	  120.45	 5396.87	 4110.34	   28.83	 4081.51	 1008.58	 1345.43
17:03:09	 7871.33	 7751.24	  120.09	 5396.87	 4110.34	   28.83	 4081.51	 1008.59	 1345.78
17:03:11	 7871.33	 7751.76	  119.57	 5397.13	 4110.34	   28.83	 4081.51	 1008.59	 1346.04
17:03:13	 7871.33	 7735.28	  136.05	 5381.31	 4110.34	   28.83	 4081.51	 1008.25	 1345.71
17:03:15	 7871.33	 7735.16	  136.18	 5381.43	 4110.34	   28.83	 4081.51	 1008.26	 1345.46
17:03:17	 7871.33	 7735.41	  135.93	 5381.57	 4110.34	   28.83	 4081.51	 1008.27	 1345.57
17:03:19	 7871.33	 7735.40	  135.93	 5381.57	 4110.34	   28.83	 4081.51	 1008.27	 1345.56
17:03:21	 7871.33	 7735.53	  135.80	 5381.82	 4110.34	   28.83	 4081.51	 1008.27	 1345.44
17:03:23	 7871.33	 7735.76	  135.57	 5381.82	 4110.34	   28.83	 4081.51	 1008.28	 1345.66
17:03:25	 7871.33	 7737.62	  133.71	 5381.95	 4110.34	   28.83	 4081.51	 1008.56	 1347.12
17:03:27	 7871.33	 7736.38	  134.96	 5382.08	 4110.34	   28.83	 4081.51	 1008.56	 1345.73
17:03:29	 7871.33	 7736.61	  134.72	 5382.08	 4110.34	   28.83	 4081.51	 1008.57	 1345.96
17:03:31	 7871.33	 7736.45	  134.88	 5382.33	 4110.34	   28.83	 4081.51	 1008.58	 1345.54
17:03:33	 7871.33	 7736.59	  134.75	 5382.34	 4110.34	   28.83	 4081.51	 1008.57	 1345.67
17:03:35	 7871.33	 7736.58	  134.75	 5382.46	 4110.34	   28.83	 4081.51	 1008.58	 1345.53
17:03:37	 7871.33	 7736.83	  134.50	 5382.59	 4110.34	   28.83	 4081.51	 1008.59	 1345.65
17:03:39	 7871.33	 7736.82	  134.51	 5382.59	 4110.34	   28.83	 4081.51	 1008.59	 1345.64
17:03:41	 7871.33	 7737.19	  134.14	 5382.84	 4110.34	   28.83	 4081.51	 1008.59	 1345.75
17:03:43	 7871.33	 7736.94	  134.39	 5382.84	 4110.34	   28.83	 4081.51	 1008.60	 1345.50
17:03:45	 7871.33	 7737.07	  134.26	 5382.98	 4110.34	   28.83	 4081.51	 1008.60	 1345.50
17:03:47	 7871.33	 7737.34	  134.00	 5383.10	 4110.34	   28.83	 4081.51	 1008.61	 1345.62
17:03:49	 7871.33	 7737.41	  133.93	 5383.10	 4110.34	   28.83	 4081.51	 1008.62	 1345.69
17:03:51	 7871.33	 7737.41	  133.92	 5383.36	 4110.34	   28.83	 4081.51	 1008.62	 1345.43
17:03:53	 7871.33	 7737.77	  133.56	 5383.36	 4110.34	   28.83	 4081.51	 1008.62	 1345.79
