    Time	  MemTotal	   MemUsed	   MemFree	   MemBuff	SwapTotal	SwapUsed	SwapFree	SwapCached	RealUsedMem
17:02:01	 7871.33	 2918.53	 4952.80	   51.16	    0.00	    0.00	    0.00	 1218.61	 1648.76
17:02:03	 7871.33	 2918.15	 4953.18	   51.16	    0.00	    0.00	    0.00	 1218.61	 1648.38
17:02:05	 7871.33	 2918.15	 4953.18	   51.16	    0.00	    0.00	    0.00	 1218.61	 1648.38
17:02:07	 7871.33	 2918.27	 4953.06	   51.16	    0.00	    0.00	    0.00	 1218.61	 1648.50
17:02:09	 7871.33	 2918.27	 4953.06	   51.16	    0.00	    0.00	    0.00	 1218.62	 1648.49
17:02:11	 7871.33	 2918.27	 4953.06	   51.16	    0.00	    0.00	    0.00	 1218.62	 1648.49
17:02:13	 7871.33	 2918.39	 4952.94	   51.16	    0.00	    0.00	    0.00	 1218.62	 1648.61
17:02:15	 7871.33	 2918.39	 4952.94	   51.16	    0.00	    0.00	    0.00	 1218.62	 1648.61
17:02:17	 7871.33	 2918.03	 4953.30	   51.16	    0.00	    0.00	    0.00	 1218.63	 1648.24
17:02:19	 7871.33	 2918.43	 4952.90	   51.16	    0.00	    0.00	    0.00	 1218.63	 1648.64
17:02:21	 7871.33	 2918.61	 4952.72	   51.16	    0.00	    0.00	    0.00	 1218.64	 1648.81
17:02:23	 7871.33	 2918.37	 4952.96	   51.16	    0.00	    0.00	    0.00	 1218.64	 1648.56
17:02:25	 7871.33	 2918.46	 4952.87	   51.16	    0.00	    0.00	    0.00	 1218.64	 1648.66
17:02:27	 7871.33	 2918.12	 4953.21	   51.16	    0.00	    0.00	    0.00	 1218.64	 1648.31
17:02:29	 7871.33	 2918.19	 4953.14	   51.16	    0.00	    0.00	    0.00	 1218.65	 1648.38
17:02:31	 7871.33	 2918.34	 4953.00	   51.16	    0.00	    0.00	    0.00	 1218.65	 1648.52
17:02:33	 7871.33	 2918.46	 4952.87	   51.16	    0.00	    0.00	    0.00	 1218.64	 1648.66
17:02:35	 7871.33	 2918.34	 4952.99	   51.16	    0.00	    0.00	    0.00	 1218.64	 1648.54
17:02:37	 7871.33	 2918.46	 4952.88	   51.16	    0.00	    0.00	    0.00	 1218.64	 1648.65
17:02:39	 7871.33	 2918.31	 4953.02	   51.16	    0.00	    0.00	    0.00	 1218.65	 1648.50
17:02:41	 7871.33	 2918.39	 4952.94	   51.16	    0.00	    0.00	    0.00	 1218.65	 1648.58
17:02:43	 7871.33	 2917.45	 4953.88	   51.16	    0.00	    0.00	    0.00	 1218.65	 1647.63
17:02:45	 7871.33	 2918.05	 4953.29	   51.16	    0.00	    0.00	    0.00	 1218.67	 1648.21
17:02:47	 7871.33	 2918.29	 4953.04	   51.16	    0.00	    0.00	    0.00	 1218.67	 1648.45
17:02:49	 7871.33	 2918.16	 4953.17	   51.16	    0.00	    0.00	    0.00	 1218.67	 1648.32
17:02:51	 7871.33	 2918.16	 4953.17	   51.16	    0.00	    0.00	    0.00	 1218.68	 1648.32
17:02:53	 7871.33	 2918.15	 4953.18	   51.16	    0.00	    0.00	    0.00	 1218.68	 1648.30
17:02:55	 7871.33	 2918.15	 4953.18	   51.16	    0.00	    0.00	    0.00	 1218.69	 1648.30
17:02:57	 7871.33	 2918.43	 4952.91	   51.16	    0.00	    0.00	    0.00	 1218.69	 1648.57
17:02:59	 7871.33	 2918.17	 4953.16	   51.16	    0.00	    0.00	    0.00	 1218.70	 1648.31
17:03:01	 7871.33	 2918.29	 4953.04	   51.16	    0.00	    0.00	    0.00	 1218.70	 1648.43
17:03:03	 7871.33	 2918.39	 4952.95	   51.16	    0.00	    0.00	    0.00	 1218.70	 1648.52
17:03:06	 7871.33	 2918.39	 4952.95	   51.16	    0.00	    0.00	    0.00	 1218.71	 1648.52
17:03:08	 7871.33	 2918.39	 4952.95	   51.16	    0.00	    0.00	    0.00	 1218.71	 1648.51
17:03:10	 7871.33	 2918.51	 4952.82	   51.16	    0.00	    0.00	    0.00	 1218.71	 1648.63
17:03:12	 7871.33	 2918.51	 4952.82	   51.16	    0.00	    0.00	    0.00	 1218.71	 1648.63
17:03:14	 7871.33	 2918.39	 4952.95	   51.16	    0.00	    0.00	    0.00	 1218.72	 1648.50
17:03:16	 7871.33	 2918.39	 4952.95	   51.16	    0.00	    0.00	    0.00	 1218.72	 1648.50
17:03:18	 7871.33	 2918.39	 4952.95	   51.16	    0.00	    0.00	    0.00	 1218.73	 1648.50
17:03:20	 7871.33	 2918.14	 4953.19	   51.16	    0.00	    0.00	    0.00	 1218.73	 1648.25
17:03:22	 7871.33	 2918.14	 4953.20	   51.16	    0.00	    0.00	    0.00	 1218.73	 1648.24
17:03:24	 7871.33	 2918.38	 4952.95	   51.16	    0.00	    0.00	    0.00	 1218.74	 1648.48
17:03:26	 7871.33	 2918.38	 4952.95	   51.16	    0.00	    0.00	    0.00	 1218.74	 1648.48
17:03:28	 7871.33	 2918.03	 4953.30	   51.16	    0.00	    0.00	    0.00	 1218.74	 1648.12
17:03:30	 7871.33	 2918.01	 4953.32	   51.16	    0.00	    0.00	    0.00	 1218.75	 1648.10
17:03:32	 7871.33	 2918.61	 4952.72	   51.16	    0.00	    0.00	    0.00	 1218.75	 1648.70
17:03:34	 7871.33	 2918.49	 4952.84	   51.16	    0.00	    0.00	    0.00	 1218.75	 1648.57
