    Time	  MemTotal	   MemUsed	   MemFree	   MemBuff	SwapTotal	SwapUsed	SwapFree	SwapCached	RealUsedMem
17:02:00	 7871.33	 2959.80	 4911.53	   51.40	    0.00	    0.00	    0.00	 1222.14	 1686.27
17:02:02	 7871.33	 2959.92	 4911.41	   51.40	    0.00	    0.00	    0.00	 1222.14	 1686.38
17:02:04	 7871.33	 2959.92	 4911.41	   51.40	    0.00	    0.00	    0.00	 1222.14	 1686.38
17:02:06	 7871.33	 2959.91	 4911.42	   51.40	    0.00	    0.00	    0.00	 1222.14	 1686.37
17:02:08	 7871.33	 2959.91	 4911.42	   51.40	    0.00	    0.00	    0.00	 1222.15	 1686.37
17:02:10	 7871.33	 2960.05	 4911.28	   51.40	    0.00	    0.00	    0.00	 1222.15	 1686.50
17:02:12	 7871.33	 2959.94	 4911.39	   51.40	    0.00	    0.00	    0.00	 1222.16	 1686.38
17:02:14	 7871.33	 2959.94	 4911.39	   51.40	    0.00	    0.00	    0.00	 1222.16	 1686.38
17:02:16	 7871.33	 2959.81	 4911.52	   51.40	    0.00	    0.00	    0.00	 1222.16	 1686.25
17:02:18	 7871.33	 2959.81	 4911.52	   51.40	    0.00	    0.00	    0.00	 1222.16	 1686.25
17:02:20	 7871.33	 2959.81	 4911.52	   51.40	    0.00	    0.00	    0.00	 1222.17	 1686.24
17:02:22	 7871.33	 2959.93	 4911.40	   51.40	    0.00	    0.00	    0.00	 1222.18	 1686.36
17:02:24	 7871.33	 2959.71	 4911.62	   51.40	    0.00	    0.00	    0.00	 1222.18	 1686.13
17:02:26	 7871.33	 2960.58	 4910.75	   51.40	    0.00	    0.00	    0.00	 1222.19	 1686.99
17:02:28	 7871.33	 2960.21	 4911.12	   51.40	    0.00	    0.00	    0.00	 1222.19	 1686.62
17:02:30	 7871.33	 2960.09	 4911.25	   51.40	    0.00	    0.00	    0.00	 1222.19	 1686.50
17:02:33	 7871.33	 2960.15	 4911.18	   51.40	    0.00	    0.00	    0.00	 1222.20	 1686.56
17:02:35	 7871.33	 2960.28	 4911.05	   51.40	    0.00	    0.00	    0.00	 1222.18	 1686.71
17:02:37	 7871.33	 2960.27	 4911.06	   51.40	    0.00	    0.00	    0.00	 1222.18	 1686.70
17:02:39	 7871.33	 2960.36	 4910.97	   51.40	    0.00	    0.00	    0.00	 1222.18	 1686.78
17:02:41	 7871.33	 2960.23	 4911.11	   51.40	    0.00	    0.00	    0.00	 1222.19	 1686.64
17:02:43	 7871.33	 2959.98	 4911.35	   51.40	    0.00	    0.00	    0.00	 1222.19	 1686.40
17:02:45	 7871.33	 2959.98	 4911.35	   51.40	    0.00	    0.00	    0.00	 1222.20	 1686.38
17:02:47	 7871.33	 2959.98	 4911.35	   51.40	    0.00	    0.00	    0.00	 1222.21	 1686.38
17:02:49	 7871.33	 2959.96	 4911.37	   51.40	    0.00	    0.00	    0.00	 1222.21	 1686.35
17:02:51	 7871.33	 2960.07	 4911.26	   51.40	    0.00	    0.00	    0.00	 1222.21	 1686.46
17:02:53	 7871.33	 2960.20	 4911.14	   51.40	    0.00	    0.00	    0.00	 1222.22	 1686.58
17:02:55	 7871.33	 2960.21	 4911.12	   51.40	    0.00	    0.00	    0.00	 1222.22	 1686.59
17:02:57	 7871.33	 2960.22	 4911.11	   51.40	    0.00	    0.00	    0.00	 1222.22	 1686.60
17:02:59	 7871.33	 2960.22	 4911.11	   51.40	    0.00	    0.00	    0.00	 1222.23	 1686.59
17:03:01	 7871.33	 2960.07	 4911.26	   51.40	    0.00	    0.00	    0.00	 1222.23	 1686.45
17:03:03	 7871.33	 2960.07	 4911.26	   51.40	    0.00	    0.00	    0.00	 1222.23	 1686.44
17:03:05	 7871.33	 2959.95	 4911.38	   51.40	    0.00	    0.00	    0.00	 1222.23	 1686.32
17:03:07	 7871.33	 2960.07	 4911.26	   51.40	    0.00	    0.00	    0.00	 1222.24	 1686.44
17:03:09	 7871.33	 2960.06	 4911.27	   51.40	    0.00	    0.00	    0.00	 1222.24	 1686.42
17:03:11	 7871.33	 2960.13	 4911.20	   51.40	    0.00	    0.00	    0.00	 1222.24	 1686.49
17:03:13	 7871.33	 2960.25	 4911.08	   51.40	    0.00	    0.00	    0.00	 1222.25	 1686.61
17:03:15	 7871.33	 2960.13	 4911.20	   51.40	    0.00	    0.00	    0.00	 1222.25	 1686.48
17:03:17	 7871.33	 2960.11	 4911.22	   51.40	    0.00	    0.00	    0.00	 1222.25	 1686.46
17:03:19	 7871.33	 2960.35	 4910.98	   51.40	    0.00	    0.00	    0.00	 1222.25	 1686.70
17:03:21	 7871.33	 2959.98	 4911.35	   51.40	    0.00	    0.00	    0.00	 1222.26	 1686.32
17:03:23	 7871.33	 2960.34	 4910.99	   51.40	    0.00	    0.00	    0.00	 1222.27	 1686.67
17:03:25	 7871.33	 2960.20	 4911.13	   51.40	    0.00	    0.00	    0.00	 1222.27	 1686.53
17:03:27	 7871.33	 2959.71	 4911.62	   51.40	    0.00	    0.00	    0.00	 1222.27	 1686.04
17:03:29	 7871.33	 2959.95	 4911.38	   51.40	    0.00	    0.00	    0.00	 1222.28	 1686.28
17:03:31	 7871.33	 2960.21	 4911.12	   51.40	    0.00	    0.00	    0.00	 1222.28	 1686.53
17:03:33	 7871.33	 2960.19	 4911.14	   51.40	    0.00	    0.00	    0.00	 1222.28	 1686.51
17:03:35	 7871.33	 2960.07	 4911.27	   51.40	    0.00	    0.00	    0.00	 1222.29	 1686.38
17:03:37	 7871.33	 2960.06	 4911.27	   51.40	    0.00	    0.00	    0.00	 1222.29	 1686.37
17:03:39	 7871.33	 2960.18	 4911.15	   51.40	    0.00	    0.00	    0.00	 1222.29	 1686.49
17:03:41	 7871.33	 2961.20	 4910.13	   51.40	    0.00	    0.00	    0.00	 1222.29	 1687.51
17:03:43	 7871.33	 2960.38	 4910.95	   51.40	    0.00	    0.00	    0.00	 1222.30	 1686.68
17:03:45	 7871.33	 2960.38	 4910.95	   51.40	    0.00	    0.00	    0.00	 1222.30	 1686.68
17:03:47	 7871.33	 2960.38	 4910.95	   51.40	    0.00	    0.00	    0.00	 1222.31	 1686.67
17:03:49	 7871.33	 2959.95	 4911.39	   51.40	    0.00	    0.00	    0.00	 1222.31	 1686.23
17:03:51	 7871.33	 2959.76	 4911.57	   51.40	    0.00	    0.00	    0.00	 1222.30	 1686.06
