    Time	  MemTotal	   MemUsed	   MemFree	   MemBuff	SwapTotal	SwapUsed	SwapFree	SwapCached	RealUsedMem
17:02:00	 7871.39	 7740.47	  130.92	 4969.25	 4102.53	    0.00	 4102.53	 1045.91	 1725.31
17:02:02	 7871.39	 7740.71	  130.68	 4969.51	 4102.53	    0.00	 4102.53	 1045.91	 1725.30
17:02:04	 7871.39	 7740.71	  130.69	 4969.51	 4102.53	    0.00	 4102.53	 1045.91	 1725.28
17:02:06	 7871.39	 7740.71	  130.69	 4969.76	 4102.53	    0.00	 4102.53	 1045.92	 1725.03
17:02:08	 7871.39	 7740.71	  130.69	 4969.77	 4102.53	    0.00	 4102.53	 1045.92	 1725.02
17:02:10	 7871.39	 7740.59	  130.81	 4969.77	 4102.53	    0.00	 4102.53	 1045.92	 1724.89
17:02:12	 7871.39	 7740.72	  130.67	 4970.02	 4102.53	    0.00	 4102.53	 1045.93	 1724.78
17:02:14	 7871.39	 7740.71	  130.69	 4970.03	 4102.53	    0.00	 4102.53	 1045.93	 1724.75
17:02:16	 7871.39	 7740.71	  130.69	 4970.28	 4102.53	    0.00	 4102.53	 1045.93	 1724.50
17:02:18	 7871.39	 7740.95	  130.45	 4970.28	 4102.53	    0.00	 4102.53	 1045.93	 1724.74
17:02:20	 7871.39	 7741.62	  129.77	 4970.29	 4102.53	    0.00	 4102.53	 1045.93	 1725.41
17:02:22	 7871.39	 7741.91	  129.48	 4970.54	 4102.53	    0.00	 4102.53	 1045.95	 1725.43
17:02:24	 7871.39	 7741.79	  129.60	 4970.54	 4102.53	    0.00	 4102.53	 1045.95	 1725.31
17:02:26	 7871.39	 7741.79	  129.60	 4970.79	 4102.53	    0.00	 4102.53	 1045.95	 1725.05
17:02:28	 7871.39	 7741.91	  129.48	 4970.79	 4102.53	    0.00	 4102.53	 1045.96	 1725.16
17:02:30	 7871.39	 7741.99	  129.41	 4970.79	 4102.53	    0.00	 4102.53	 1045.96	 1725.24
17:02:32	 7871.39	 7742.96	  128.43	 4971.05	 4102.53	    0.00	 4102.53	 1045.96	 1725.95
17:02:34	 7871.39	 7742.35	  129.04	 4971.05	 4102.53	    0.00	 4102.53	 1045.95	 1725.36
17:02:36	 7871.39	 7742.71	  128.69	 4971.30	 4102.53	    0.00	 4102.53	 1045.95	 1725.46
17:02:38	 7871.39	 7742.44	  128.95	 4971.31	 4102.53	    0.00	 4102.53	 1045.95	 1725.18
17:02:40	 7871.39	 7742.68	  128.71	 4971.31	 4102.53	    0.00	 4102.53	 1045.96	 1725.42
17:02:42	 7871.39	 7743.06	  128.33	 4971.57	 4102.53	    0.00	 4102.53	 1045.95	 1725.54
17:02:44	 7871.39	 7742.68	  128.71	 4971.57	 4102.53	    0.00	 4102.53	 1045.96	 1725.15
17:02:46	 7871.39	 7742.80	  128.59	 4971.82	 4102.53	    0.00	 4102.53	 1045.98	 1725.01
17:02:48	 7871.39	 7743.04	  128.36	 4971.82	 4102.53	    0.00	 4102.53	 1045.98	 1725.23
17:02:50	 7871.39	 7742.89	  128.50	 4971.82	 4102.53	    0.00	 4102.53	 1045.98	 1725.09
17:02:52	 7871.39	 7742.53	  128.86	 4972.07	 4102.53	    0.00	 4102.53	 1045.98	 1724.47
17:02:54	 7871.39	 7742.77	  128.62	 4972.08	 4102.53	    0.00	 4102.53	 1046.00	 1724.70
17:02:56	 7871.39	 7743.15	  128.24	 4972.33	 4102.53	    0.00	 4102.53	 1046.00	 1724.82
17:02:58	 7871.39	 7743.27	  128.12	 4972.34	 4102.53	    0.00	 4102.53	 1046.00	 1724.93
17:03:00	 7871.39	 7743.15	  128.24	 4972.34	 4102.53	    0.00	 4102.53	 1046.01	 1724.80
17:03:02	 7871.39	 7743.48	  127.91	 4972.59	 4102.53	    0.00	 4102.53	 1046.01	 1724.88
17:03:04	 7871.39	 7743.48	  127.91	 4972.60	 4102.53	    0.00	 4102.53	 1046.01	 1724.88
17:03:06	 7871.39	 7743.48	  127.92	 4972.85	 4102.53	    0.00	 4102.53	 1046.02	 1724.61
17:03:08	 7871.39	 7743.82	  127.57	 4972.85	 4102.53	    0.00	 4102.53	 1046.02	 1724.96
17:03:10	 7871.39	 7743.70	  127.69	 4972.86	 4102.53	    0.00	 4102.53	 1046.02	 1724.83
17:03:13	 7871.39	 7722.04	  149.36	 4951.11	 4102.53	    0.00	 4102.53	 1046.13	 1724.80
17:03:15	 7871.39	 7721.79	  149.61	 4951.11	 4102.53	    0.00	 4102.53	 1046.03	 1724.65
17:03:17	 7871.39	 7722.03	  149.37	 4951.36	 4102.53	    0.00	 4102.53	 1046.03	 1724.64
17:03:19	 7871.39	 7721.91	  149.49	 4951.36	 4102.53	    0.00	 4102.53	 1046.04	 1724.51
17:03:21	 7871.39	 7722.03	  149.37	 4951.61	 4102.53	    0.00	 4102.53	 1045.96	 1724.46
17:03:23	 7871.39	 7722.27	  149.12	 4951.62	 4102.53	    0.00	 4102.53	 1046.04	 1724.61
17:03:25	 7871.39	 7722.27	  149.12	 4951.62	 4102.53	    0.00	 4102.53	 1046.04	 1724.61
17:03:27	 7871.39	 7722.51	  148.88	 4951.87	 4102.53	    0.00	 4102.53	 1046.05	 1724.59
17:03:29	 7871.39	 7722.51	  148.88	 4951.88	 4102.53	    0.00	 4102.53	 1046.05	 1724.58
17:03:31	 7871.39	 7722.88	  148.52	 4952.13	 4102.53	    0.00	 4102.53	 1045.98	 1724.77
17:03:33	 7871.39	 7722.88	  148.52	 4952.13	 4102.53	    0.00	 4102.53	 1046.06	 1724.68
17:03:35	 7871.39	 7722.88	  148.52	 4952.14	 4102.53	    0.00	 4102.53	 1046.07	 1724.67
17:03:37	 7871.39	 7726.20	  145.20	 4952.39	 4102.53	    0.00	 4102.53	 1046.07	 1727.74
17:03:39	 7871.39	 7723.82	  147.58	 4952.39	 4102.53	    0.00	 4102.53	 1046.07	 1725.35
17:03:41	 7871.39	 7723.46	  147.93	 4952.64	 4102.53	    0.00	 4102.53	 1046.00	 1724.82
17:03:43	 7871.39	 7724.01	  147.38	 4952.64	 4102.53	    0.00	 4102.53	 1046.08	 1725.29
17:03:45	 7871.39	 7723.27	  148.12	 4952.65	 4102.53	    0.00	 4102.53	 1046.08	 1724.54
17:03:47	 7871.39	 7723.27	  148.12	 4952.90	 4102.53	    0.00	 4102.53	 1046.09	 1724.28
17:03:49	 7871.39	 7723.91	  147.49	 4952.90	 4102.53	    0.00	 4102.53	 1046.09	 1724.91
17:03:51	 7871.39	 7724.02	  147.38	 4953.16	 4102.53	    0.00	 4102.53	 1045.98	 1724.88
17:03:53	 7871.39	 7723.07	  148.33	 4953.16	 4102.53	    0.00	 4102.53	 1046.07	 1723.83
17:03:55	 7871.39	 7723.62	  147.77	 4953.16	 4102.53	    0.00	 4102.53	 1046.08	 1724.38
17:03:57	 7871.39	 7724.23	  147.16	 4953.42	 4102.53	    0.00	 4102.53	 1046.08	 1724.73
17:03:59	 7871.39	 7724.00	  147.39	 4953.42	 4102.53	    0.00	 4102.53	 1046.09	 1724.50
17:04:01	 7871.39	 7724.35	  147.04	 4953.67	 4102.53	    0.00	 4102.53	 1046.09	 1724.59
17:04:03	 7871.39	 7724.59	  146.80	 4953.68	 4102.53	    0.00	 4102.53	 1046.10	 1724.82
17:04:05	 7871.39	 7724.47	  146.92	 4953.68	 4102.53	    0.00	 4102.53	 1046.10	 1724.70
17:04:07	 7871.39	 7724.34	  147.06	 4953.93	 4102.53	    0.00	 4102.53	 1046.10	 1724.31
17:04:09	 7871.39	 7724.58	  146.82	 4953.93	 4102.53	    0.00	 4102.53	 1046.11	 1724.54
17:04:11	 7871.39	 7724.82	  146.57	 4954.18	 4102.53	    0.00	 4102.53	 1046.11	 1724.53
17:04:13	 7871.39	 7725.20	  146.20	 4954.19	 4102.53	    0.00	 4102.53	 1046.11	 1724.90
