    Time	  MemTotal	   MemUsed	   MemFree	   MemBuff	SwapTotal	SwapUsed	SwapFree	SwapCached	RealUsedMem
17:02:00	 7871.33	 2956.41	 4914.92	   51.06	    0.00	    0.00	    0.00	 1217.10	 1688.25
17:02:02	 7871.33	 2956.52	 4914.82	   51.06	    0.00	    0.00	    0.00	 1217.10	 1688.36
17:02:04	 7871.33	 2956.52	 4914.82	   51.06	    0.00	    0.00	    0.00	 1217.10	 1688.36
17:02:06	 7871.33	 2956.64	 4914.70	   51.06	    0.00	    0.00	    0.00	 1217.11	 1688.47
17:02:08	 7871.33	 2956.78	 4914.55	   51.06	    0.00	    0.00	    0.00	 1217.11	 1688.61
17:02:10	 7871.33	 2956.53	 4914.80	   51.06	    0.00	    0.00	    0.00	 1217.11	 1688.36
17:02:12	 7871.33	 2956.52	 4914.81	   51.06	    0.00	    0.00	    0.00	 1217.11	 1688.35
17:02:14	 7871.33	 2956.52	 4914.81	   51.06	    0.00	    0.00	    0.00	 1217.12	 1688.35
17:02:16	 7871.33	 2956.40	 4914.93	   51.06	    0.00	    0.00	    0.00	 1217.12	 1688.22
17:02:18	 7871.33	 2956.52	 4914.81	   51.06	    0.00	    0.00	    0.00	 1217.12	 1688.34
17:02:20	 7871.33	 2956.19	 4915.14	   51.06	    0.00	    0.00	    0.00	 1217.12	 1688.01
17:02:22	 7871.33	 2956.40	 4914.93	   51.06	    0.00	    0.00	    0.00	 1217.13	 1688.21
17:02:24	 7871.33	 2956.66	 4914.67	   51.06	    0.00	    0.00	    0.00	 1217.14	 1688.46
17:02:26	 7871.33	 2958.39	 4912.94	   51.06	    0.00	    0.00	    0.00	 1217.14	 1690.20
17:02:28	 7871.33	 2956.75	 4914.58	   51.06	    0.00	    0.00	    0.00	 1217.14	 1688.55
17:02:30	 7871.33	 2956.66	 4914.68	   51.06	    0.00	    0.00	    0.00	 1217.15	 1688.45
17:02:32	 7871.33	 2956.22	 4915.11	   51.06	    0.00	    0.00	    0.00	 1217.15	 1688.01
17:02:34	 7871.33	 2956.73	 4914.60	   51.06	    0.00	    0.00	    0.00	 1217.14	 1688.54
17:02:36	 7871.33	 2956.85	 4914.48	   51.06	    0.00	    0.00	    0.00	 1217.14	 1688.65
17:02:38	 7871.33	 2956.82	 4914.51	   51.06	    0.00	    0.00	    0.00	 1217.14	 1688.62
17:02:40	 7871.33	 2956.56	 4914.77	   51.06	    0.00	    0.00	    0.00	 1217.14	 1688.36
17:02:42	 7871.33	 2956.55	 4914.79	   51.06	    0.00	    0.00	    0.00	 1217.15	 1688.34
17:02:44	 7871.33	 2956.67	 4914.66	   51.06	    0.00	    0.00	    0.00	 1217.16	 1688.45
17:02:46	 7871.33	 2956.52	 4914.81	   51.06	    0.00	    0.00	    0.00	 1217.16	 1688.30
17:02:48	 7871.33	 2956.52	 4914.81	   51.06	    0.00	    0.00	    0.00	 1217.17	 1688.30
17:02:50	 7871.33	 2956.64	 4914.69	   51.06	    0.00	    0.00	    0.00	 1217.18	 1688.41
17:02:52	 7871.33	 2956.64	 4914.69	   51.06	    0.00	    0.00	    0.00	 1217.18	 1688.41
17:02:54	 7871.33	 2956.40	 4914.93	   51.06	    0.00	    0.00	    0.00	 1217.18	 1688.16
17:02:56	 7871.33	 2956.79	 4914.54	   51.06	    0.00	    0.00	    0.00	 1217.18	 1688.55
17:02:58	 7871.33	 2956.79	 4914.54	   51.06	    0.00	    0.00	    0.00	 1217.19	 1688.54
17:03:00	 7871.33	 2956.80	 4914.53	   51.06	    0.00	    0.00	    0.00	 1217.19	 1688.55
17:03:02	 7871.33	 2956.67	 4914.66	   51.06	    0.00	    0.00	    0.00	 1217.19	 1688.42
17:03:04	 7871.33	 2956.64	 4914.69	   51.06	    0.00	    0.00	    0.00	 1217.20	 1688.39
17:03:06	 7871.33	 2956.52	 4914.81	   51.06	    0.00	    0.00	    0.00	 1217.20	 1688.27
17:03:08	 7871.33	 2956.89	 4914.45	   51.06	    0.00	    0.00	    0.00	 1217.20	 1688.63
17:03:10	 7871.33	 2956.77	 4914.57	   51.06	    0.00	    0.00	    0.00	 1217.20	 1688.50
17:03:12	 7871.33	 2956.64	 4914.69	   51.06	    0.00	    0.00	    0.00	 1217.21	 1688.38
17:03:14	 7871.33	 2956.52	 4914.81	   51.06	    0.00	    0.00	    0.00	 1217.21	 1688.25
17:03:16	 7871.33	 2956.52	 4914.81	   51.06	    0.00	    0.00	    0.00	 1217.21	 1688.25
17:03:18	 7871.33	 2956.52	 4914.81	   51.06	    0.00	    0.00	    0.00	 1217.21	 1688.25
17:03:20	 7871.33	 2956.68	 4914.66	   51.06	    0.00	    0.00	    0.00	 1217.22	 1688.40
17:03:22	 7871.33	 2956.66	 4914.67	   51.06	    0.00	    0.00	    0.00	 1217.23	 1688.38
17:03:24	 7871.33	 2956.55	 4914.78	   51.06	    0.00	    0.00	    0.00	 1217.23	 1688.27
17:03:26	 7871.33	 2956.42	 4914.91	   51.06	    0.00	    0.00	    0.00	 1217.23	 1688.12
17:03:29	 7871.33	 2956.42	 4914.91	   51.06	    0.00	    0.00	    0.00	 1217.24	 1688.12
17:03:31	 7871.33	 2956.56	 4914.77	   51.06	    0.00	    0.00	    0.00	 1217.24	 1688.27
17:03:33	 7871.33	 2956.05	 4915.28	   51.06	    0.00	    0.00	    0.00	 1217.24	 1687.75
17:03:35	 7871.33	 2956.41	 4914.92	   51.06	    0.00	    0.00	    0.00	 1217.25	 1688.11
17:03:37	 7871.33	 2956.41	 4914.92	   51.06	    0.00	    0.00	    0.00	 1217.25	 1688.10
17:03:39	 7871.33	 2956.64	 4914.69	   51.06	    0.00	    0.00	    0.00	 1217.25	 1688.34
17:03:41	 7871.33	 2956.52	 4914.81	   51.06	    0.00	    0.00	    0.00	 1217.25	 1688.21
17:03:43	 7871.33	 2956.98	 4914.35	   51.06	    0.00	    0.00	    0.00	 1217.26	 1688.66
17:03:45	 7871.33	 2956.62	 4914.71	   51.06	    0.00	    0.00	    0.00	 1217.26	 1688.30
17:03:47	 7871.33	 2956.57	 4914.76	   51.06	    0.00	    0.00	    0.00	 1217.27	 1688.25
17:03:49	 7871.33	 2956.96	 4914.37	   51.06	    0.00	    0.00	    0.00	 1217.27	 1688.64
17:03:51	 7871.33	 2956.71	 4914.62	   51.06	    0.00	    0.00	    0.00	 1217.25	 1688.39
17:03:53	 7871.33	 2956.84	 4914.50	   51.06	    0.00	    0.00	    0.00	 1217.26	 1688.52
17:03:55	 7871.33	 2956.43	 4914.91	   51.06	    0.00	    0.00	    0.00	 1217.26	 1688.11
17:03:57	 7871.33	 2956.30	 4915.03	   51.06	    0.00	    0.00	    0.00	 1217.27	 1687.98
17:03:59	 7871.33	 2956.54	 4914.79	   51.06	    0.00	    0.00	    0.00	 1217.27	 1688.21
17:04:01	 7871.33	 2956.66	 4914.67	   51.06	    0.00	    0.00	    0.00	 1217.27	 1688.33
17:04:03	 7871.33	 2956.66	 4914.67	   51.06	    0.00	    0.00	    0.00	 1217.27	 1688.33
17:04:05	 7871.33	 2956.66	 4914.67	   51.06	    0.00	    0.00	    0.00	 1217.28	 1688.32
17:04:07	 7871.33	 2956.64	 4914.69	   51.06	    0.00	    0.00	    0.00	 1217.28	 1688.31
17:04:09	 7871.33	 2956.64	 4914.69	   51.06	    0.00	    0.00	    0.00	 1217.28	 1688.30
17:04:11	 7871.33	 2956.77	 4914.57	   51.06	    0.00	    0.00	    0.00	 1217.29	 1688.42
17:04:13	 7871.33	 2956.77	 4914.57	   51.06	    0.00	    0.00	    0.00	 1217.29	 1688.42
17:04:15	 7871.33	 2956.39	 4914.94	   51.06	    0.00	    0.00	    0.00	 1217.29	 1688.05
17:04:17	 7871.33	 2956.52	 4914.82	   51.06	    0.00	    0.00	    0.00	 1217.29	 1688.16
17:04:19	 7871.33	 2956.39	 4914.94	   51.06	    0.00	    0.00	    0.00	 1217.30	 1688.04
17:04:21	 7871.33	 2956.75	 4914.58	   51.06	    0.00	    0.00	    0.00	 1217.30	 1688.39
17:04:24	 7871.33	 2956.88	 4914.45	   51.06	    0.00	    0.00	    0.00	 1217.31	 1688.51
17:04:26	 7871.33	 2956.87	 4914.46	   51.06	    0.00	    0.00	    0.00	 1217.31	 1688.50
17:04:28	 7871.33	 2956.51	 4914.82	   51.06	    0.00	    0.00	    0.00	 1217.32	 1688.13
17:04:30	 7871.33	 2956.39	 4914.95	   51.06	    0.00	    0.00	    0.00	 1217.32	 1688.01
17:04:32	 7871.33	 2956.63	 4914.70	   51.06	    0.00	    0.00	    0.00	 1217.32	 1688.25
17:04:34	 7871.33	 2956.29	 4915.04	   51.06	    0.00	    0.00	    0.00	 1217.32	 1687.91
17:04:36	 7871.33	 2956.53	 4914.80	   51.06	    0.00	    0.00	    0.00	 1217.33	 1688.14
17:04:38	 7871.33	 2956.41	 4914.92	   51.06	    0.00	    0.00	    0.00	 1217.33	 1688.02
17:04:40	 7871.33	 2956.53	 4914.80	   51.06	    0.00	    0.00	    0.00	 1217.33	 1688.14
17:04:42	 7871.33	 2956.89	 4914.44	   51.06	    0.00	    0.00	    0.00	 1217.34	 1688.50
17:04:44	 7871.33	 2956.89	 4914.45	   51.06	    0.00	    0.00	    0.00	 1217.35	 1688.48
17:04:46	 7871.33	 2956.89	 4914.45	   51.06	    0.00	    0.00	    0.00	 1217.35	 1688.48
17:04:48	 7871.33	 2956.87	 4914.46	   51.06	    0.00	    0.00	    0.00	 1217.36	 1688.46
17:04:50	 7871.33	 2956.87	 4914.46	   51.06	    0.00	    0.00	    0.00	 1217.36	 1688.45
17:04:52	 7871.33	 2956.62	 4914.71	   51.06	    0.00	    0.00	    0.00	 1217.36	 1688.20
17:04:54	 7871.33	 2956.99	 4914.34	   51.06	    0.00	    0.00	    0.00	 1217.37	 1688.57
17:04:56	 7871.33	 2956.88	 4914.45	   51.06	    0.00	    0.00	    0.00	 1217.37	 1688.45
17:04:58	 7871.33	 2956.62	 4914.71	   51.06	    0.00	    0.00	    0.00	 1217.37	 1688.19
