    Time	  MemTotal	   MemUsed	   MemFree	   MemBuff	SwapTotal	SwapUsed	SwapFree	SwapCached	RealUsedMem
17:02:00	 7871.33	 3257.11	 4614.23	   49.05	    0.00	    0.00	    0.00	 1632.26	 1575.80
17:02:03	 7871.33	 3257.34	 4613.99	   49.05	    0.00	    0.00	    0.00	 1632.27	 1576.03
17:02:05	 7871.33	 3257.22	 4614.11	   49.05	    0.00	    0.00	    0.00	 1632.27	 1575.90
17:02:07	 7871.33	 3257.20	 4614.13	   49.05	    0.00	    0.00	    0.00	 1632.27	 1575.89
17:02:09	 7871.33	 3257.20	 4614.13	   49.05	    0.00	    0.00	    0.00	 1632.27	 1575.88
17:02:11	 7871.33	 3257.33	 4614.00	   49.05	    0.00	    0.00	    0.00	 1632.28	 1576.01
17:02:13	 7871.33	 3257.32	 4614.01	   49.05	    0.00	    0.00	    0.00	 1632.28	 1576.00
17:02:15	 7871.33	 3257.44	 4613.89	   49.05	    0.00	    0.00	    0.00	 1632.28	 1576.11
17:02:17	 7871.33	 3257.45	 4613.88	   49.05	    0.00	    0.00	    0.00	 1632.29	 1576.12
17:02:19	 7871.33	 3257.35	 4613.98	   49.05	    0.00	    0.00	    0.00	 1632.29	 1576.01
17:02:21	 7871.33	 3257.33	 4614.00	   49.05	    0.00	    0.00	    0.00	 1632.29	 1576.00
17:02:23	 7871.33	 3257.86	 4613.47	   49.05	    0.00	    0.00	    0.00	 1632.29	 1576.52
17:02:25	 7871.33	 3257.98	 4613.35	   49.05	    0.00	    0.00	    0.00	 1632.30	 1576.64
17:02:27	 7871.33	 3257.59	 4613.75	   49.05	    0.00	    0.00	    0.00	 1632.30	 1576.24
17:02:29	 7871.33	 3257.81	 4613.52	   49.05	    0.00	    0.00	    0.00	 1632.30	 1576.46
17:02:31	 7871.33	 3257.44	 4613.89	   49.05	    0.00	    0.00	    0.00	 1632.30	 1576.09
17:02:33	 7871.33	 3257.55	 4613.78	   49.05	    0.00	    0.00	    0.00	 1632.31	 1576.20
17:02:35	 7871.33	 3257.66	 4613.67	   49.05	    0.00	    0.00	    0.00	 1632.29	 1576.32
17:02:37	 7871.33	 3257.64	 4613.70	   49.05	    0.00	    0.00	    0.00	 1632.30	 1576.29
17:02:39	 7871.33	 3257.60	 4613.73	   49.05	    0.00	    0.00	    0.00	 1632.30	 1576.25
17:02:41	 7871.33	 3257.57	 4613.76	   49.05	    0.00	    0.00	    0.00	 1632.30	 1576.22
17:02:43	 7871.33	 3257.45	 4613.88	   49.05	    0.00	    0.00	    0.00	 1632.30	 1576.10
17:02:45	 7871.33	 3257.45	 4613.88	   49.05	    0.00	    0.00	    0.00	 1632.32	 1576.09
17:02:47	 7871.33	 3257.83	 4613.50	   49.05	    0.00	    0.00	    0.00	 1632.32	 1576.46
17:02:49	 7871.33	 3257.53	 4613.80	   49.05	    0.00	    0.00	    0.00	 1632.32	 1576.16
17:02:51	 7871.33	 3257.52	 4613.82	   49.05	    0.00	    0.00	    0.00	 1632.33	 1576.14
17:02:53	 7871.33	 3257.51	 4613.82	   49.05	    0.00	    0.00	    0.00	 1632.34	 1576.12
17:02:55	 7871.33	 3257.64	 4613.69	   49.05	    0.00	    0.00	    0.00	 1632.34	 1576.26
17:02:57	 7871.33	 3257.65	 4613.68	   49.05	    0.00	    0.00	    0.00	 1632.34	 1576.26
