    Time	  MemTotal	   MemUsed	   MemFree	   MemBuff	SwapTotal	SwapUsed	SwapFree	SwapCached	RealUsedMem
17:02:01	 7871.33	 2971.70	 4899.63	   51.06	    0.00	    0.00	    0.00	 1217.05	 1703.59
17:02:03	 7871.33	 2971.46	 4899.87	   51.06	    0.00	    0.00	    0.00	 1217.06	 1703.34
17:02:05	 7871.33	 2971.34	 4899.99	   51.06	    0.00	    0.00	    0.00	 1217.06	 1703.22
17:02:07	 7871.33	 2971.46	 4899.87	   51.06	    0.00	    0.00	    0.00	 1217.07	 1703.34
17:02:09	 7871.33	 2971.58	 4899.75	   51.06	    0.00	    0.00	    0.00	 1217.07	 1703.46
17:02:11	 7871.33	 2971.70	 4899.63	   51.06	    0.00	    0.00	    0.00	 1217.07	 1703.57
17:02:13	 7871.33	 2971.70	 4899.63	   51.06	    0.00	    0.00	    0.00	 1217.07	 1703.57
17:02:15	 7871.33	 2971.46	 4899.87	   51.06	    0.00	    0.00	    0.00	 1217.07	 1703.33
17:02:17	 7871.33	 2971.58	 4899.75	   51.06	    0.00	    0.00	    0.00	 1217.08	 1703.45
17:02:19	 7871.33	 2971.46	 4899.87	   51.06	    0.00	    0.00	    0.00	 1217.08	 1703.32
17:02:21	 7871.33	 2971.46	 4899.87	   51.06	    0.00	    0.00	    0.00	 1217.09	 1703.32
17:02:23	 7871.33	 2971.22	 4900.11	   51.06	    0.00	    0.00	    0.00	 1217.09	 1703.07
17:02:25	 7871.33	 2971.22	 4900.11	   51.06	    0.00	    0.00	    0.00	 1217.09	 1703.07
17:02:27	 7871.33	 2972.36	 4898.98	   51.06	    0.00	    0.00	    0.00	 1217.10	 1704.20
17:02:29	 7871.33	 2971.80	 4899.54	   51.06	    0.00	    0.00	    0.00	 1217.11	 1703.63
17:02:31	 7871.33	 2971.81	 4899.52	   51.06	    0.00	    0.00	    0.00	 1217.11	 1703.65
17:02:33	 7871.33	 2972.88	 4898.45	   51.06	    0.00	    0.00	    0.00	 1217.11	 1704.71
17:02:35	 7871.33	 2971.77	 4899.56	   51.06	    0.00	    0.00	    0.00	 1217.09	 1703.62
17:02:37	 7871.33	 2971.77	 4899.56	   51.06	    0.00	    0.00	    0.00	 1217.10	 1703.62
17:02:39	 7871.33	 2971.05	 4900.28	   51.06	    0.00	    0.00	    0.00	 1217.10	 1702.89
17:02:41	 7871.33	 2971.39	 4899.95	   51.06	    0.00	    0.00	    0.00	 1217.11	 1703.22
17:02:43	 7871.33	 2971.51	 4899.82	   51.06	    0.00	    0.00	    0.00	 1217.12	 1703.33
17:02:45	 7871.33	 2971.63	 4899.70	   51.06	    0.00	    0.00	    0.00	 1217.12	 1703.45
17:02:47	 7871.33	 2971.99	 4899.34	   51.06	    0.00	    0.00	    0.00	 1217.12	 1703.81
17:02:49	 7871.33	 2971.86	 4899.48	   51.06	    0.00	    0.00	    0.00	 1217.13	 1703.67
17:02:51	 7871.33	 2971.98	 4899.36	   51.06	    0.00	    0.00	    0.00	 1217.13	 1703.79
17:02:53	 7871.33	 2971.96	 4899.37	   51.06	    0.00	    0.00	    0.00	 1217.14	 1703.77
17:02:55	 7871.33	 2971.96	 4899.37	   51.06	    0.00	    0.00	    0.00	 1217.14	 1703.76
17:02:57	 7871.33	 2971.86	 4899.47	   51.06	    0.00	    0.00	    0.00	 1217.14	 1703.66
17:02:59	 7871.33	 2971.99	 4899.34	   51.06	    0.00	    0.00	    0.00	 1217.14	 1703.79
17:03:01	 7871.33	 2971.98	 4899.36	   51.06	    0.00	    0.00	    0.00	 1217.15	 1703.77
