    Time	  MemTotal	   MemUsed	   MemFree	   MemBuff	SwapTotal	SwapUsed	SwapFree	SwapCached	RealUsedMem
17:02:01	 7871.33	 3499.79	 4371.54	   51.16	    0.00	    0.00	    0.00	 1691.96	 1756.68
17:02:03	 7871.33	 3499.55	 4371.78	   51.16	    0.00	    0.00	    0.00	 1691.96	 1756.43
17:02:05	 7871.33	 3499.67	 4371.66	   51.16	    0.00	    0.00	    0.00	 1691.97	 1756.54
17:02:07	 7871.33	 3499.45	 4371.89	   51.16	    0.00	    0.00	    0.00	 1691.97	 1756.32
17:02:09	 7871.33	 3499.59	 4371.74	   51.16	    0.00	    0.00	    0.00	 1691.97	 1756.46
17:02:11	 7871.33	 3499.32	 4372.02	   51.16	    0.00	    0.00	    0.00	 1691.98	 1756.18
17:02:13	 7871.33	 3499.44	 4371.89	   51.16	    0.00	    0.00	    0.00	 1691.98	 1756.30
17:02:15	 7871.33	 3499.56	 4371.77	   51.16	    0.00	    0.00	    0.00	 1691.98	 1756.42
17:02:17	 7871.33	 3499.82	 4371.52	   51.16	    0.00	    0.00	    0.00	 1691.98	 1756.67
17:02:19	 7871.33	 3499.66	 4371.67	   51.16	    0.00	    0.00	    0.00	 1691.99	 1756.52
17:02:21	 7871.33	 3499.66	 4371.67	   51.16	    0.00	    0.00	    0.00	 1691.99	 1756.52
17:02:23	 7871.33	 3500.07	 4371.26	   51.16	    0.00	    0.00	    0.00	 1692.00	 1756.91
17:02:25	 7871.33	 3499.93	 4371.40	   51.16	    0.00	    0.00	    0.00	 1692.00	 1756.77
17:02:27	 7871.33	 3499.53	 4371.80	   51.16	    0.00	    0.00	    0.00	 1692.00	 1756.37
17:02:29	 7871.33	 3499.75	 4371.58	   51.16	    0.00	    0.00	    0.00	 1692.00	 1756.59
17:02:31	 7871.33	 3499.86	 4371.48	   51.16	    0.00	    0.00	    0.00	 1692.01	 1756.69
17:02:33	 7871.33	 3499.76	 4371.57	   51.16	    0.00	    0.00	    0.00	 1692.01	 1756.59
17:02:35	 7871.33	 3499.59	 4371.74	   51.16	    0.00	    0.00	    0.00	 1692.01	 1756.42
17:02:37	 7871.33	 3499.71	 4371.62	   51.16	    0.00	    0.00	    0.00	 1692.02	 1756.54
17:02:39	 7871.33	 3499.66	 4371.68	   51.16	    0.00	    0.00	    0.00	 1692.02	 1756.48
17:02:41	 7871.33	 3499.54	 4371.80	   51.16	    0.00	    0.00	    0.00	 1692.02	 1756.35
17:02:43	 7871.33	 3499.54	 4371.80	   51.16	    0.00	    0.00	    0.00	 1692.02	 1756.35
17:02:45	 7871.33	 3499.53	 4371.80	   51.16	    0.00	    0.00	    0.00	 1692.03	 1756.34
17:02:48	 7871.33	 3499.31	 4372.02	   51.16	    0.00	    0.00	    0.00	 1692.03	 1756.12
17:02:50	 7871.33	 3499.53	 4371.80	   51.16	    0.00	    0.00	    0.00	 1692.03	 1756.34
17:02:52	 7871.33	 3499.53	 4371.80	   51.16	    0.00	    0.00	    0.00	 1692.04	 1756.33
17:02:54	 7871.33	 3499.41	 4371.93	   51.16	    0.00	    0.00	    0.00	 1692.04	 1756.21
17:02:56	 7871.33	 3500.57	 4370.77	   51.16	    0.00	    0.00	    0.00	 1692.04	 1757.36
17:02:58	 7871.33	 3499.86	 4371.47	   51.16	    0.00	    0.00	    0.00	 1692.04	 1756.66
17:03:00	 7871.33	 3499.73	 4371.61	   51.16	    0.00	    0.00	    0.00	 1692.05	 1756.52
17:03:02	 7871.33	 3499.70	 4371.64	   51.16	    0.00	    0.00	    0.00	 1692.05	 1756.48
17:03:04	 7871.33	 3499.70	 4371.64	   51.16	    0.00	    0.00	    0.00	 1692.05	 1756.48
17:03:06	 7871.33	 3499.54	 4371.79	   51.16	    0.00	    0.00	    0.00	 1692.06	 1756.32
17:03:08	 7871.33	 3499.80	 4371.53	   51.16	    0.00	    0.00	    0.00	 1692.06	 1756.58
17:03:10	 7871.33	 3499.20	 4372.14	   51.16	    0.00	    0.00	    0.00	 1692.07	 1755.97
17:03:12	 7871.33	 3500.06	 4371.27	   51.16	    0.00	    0.00	    0.00	 1692.07	 1756.83
17:03:14	 7871.33	 3499.80	 4371.53	   51.16	    0.00	    0.00	    0.00	 1692.07	 1756.57
17:03:16	 7871.33	 3499.68	 4371.65	   51.16	    0.00	    0.00	    0.00	 1692.07	 1756.45
17:03:18	 7871.33	 3499.45	 4371.88	   51.16	    0.00	    0.00	    0.00	 1692.08	 1756.21
17:03:20	 7871.33	 3499.67	 4371.66	   51.16	    0.00	    0.00	    0.00	 1692.08	 1756.43
17:03:22	 7871.33	 3499.67	 4371.66	   51.16	    0.00	    0.00	    0.00	 1692.08	 1756.43
17:03:24	 7871.33	 3499.67	 4371.66	   51.16	    0.00	    0.00	    0.00	 1692.09	 1756.43
17:03:26	 7871.33	 3499.55	 4371.78	   51.16	    0.00	    0.00	    0.00	 1692.09	 1756.30
17:03:28	 7871.33	 3499.70	 4371.64	   51.16	    0.00	    0.00	    0.00	 1692.09	 1756.45
