    Time	  MemTotal	   MemUsed	   MemFree	   MemBuff	SwapTotal	SwapUsed	SwapFree	SwapCached	RealUsedMem
17:02:00	 7871.33	 7742.35	  128.98	 4040.54	 4102.53	    0.00	 4102.53	 1725.43	 1976.38
17:02:02	 7871.33	 7742.12	  129.21	 4040.55	 4102.53	    0.00	 4102.53	 1725.43	 1976.14
17:02:04	 7871.33	 7714.76	  156.57	 4013.80	 4102.53	    0.00	 4102.53	 1725.47	 1975.48
17:02:06	 7871.33	 7714.86	  156.47	 4013.80	 4102.53	    0.00	 4102.53	 1725.44	 1975.61
17:02:08	 7871.33	 7714.86	  156.47	 4013.81	 4102.53	    0.00	 4102.53	 1725.45	 1975.60
17:02:10	 7871.33	 7715.22	  156.11	 4014.06	 4102.53	    0.00	 4102.53	 1725.45	 1975.71
17:02:12	 7871.33	 7715.22	  156.11	 4014.06	 4102.53	    0.00	 4102.53	 1725.46	 1975.70
17:02:14	 7871.33	 7715.60	  155.73	 4014.32	 4102.53	    0.00	 4102.53	 1725.38	 1975.90
17:02:16	 7871.33	 7715.59	  155.75	 4014.32	 4102.53	    0.00	 4102.53	 1725.47	 1975.80
17:02:18	 7871.33	 7716.31	  155.02	 4014.33	 4102.53	    0.00	 4102.53	 1725.46	 1976.52
17:02:20	 7871.33	 7716.07	  155.26	 4014.58	 4102.53	    0.00	 4102.53	 1725.48	 1976.02
17:02:22	 7871.33	 7715.83	  155.50	 4014.58	 4102.53	    0.00	 4102.53	 1725.48	 1975.77
17:02:24	 7871.33	 7715.96	  155.37	 4014.84	 4102.53	    0.00	 4102.53	 1725.41	 1975.72
17:02:26	 7871.33	 7716.19	  155.14	 4014.84	 4102.53	    0.00	 4102.53	 1725.49	 1975.86
17:02:28	 7871.33	 7717.05	  154.28	 4014.84	 4102.53	    0.00	 4102.53	 1725.50	 1976.72
17:02:30	 7871.33	 7717.15	  154.18	 4015.09	 4102.53	    0.00	 4102.53	 1725.51	 1976.55
17:02:32	 7871.33	 7716.80	  154.53	 4015.10	 4102.53	    0.00	 4102.53	 1725.51	 1976.19
17:02:34	 7871.33	 7717.04	  154.29	 4015.36	 4102.53	    0.00	 4102.53	 1725.41	 1976.27
17:02:36	 7871.33	 7717.03	  154.30	 4015.36	 4102.53	    0.00	 4102.53	 1725.51	 1976.16
17:02:38	 7871.33	 7716.91	  154.43	 4015.37	 4102.53	    0.00	 4102.53	 1725.51	 1976.03
17:02:40	 7871.33	 7717.27	  154.06	 4015.62	 4102.53	    0.00	 4102.53	 1725.52	 1976.13
17:02:42	 7871.33	 7717.07	  154.26	 4015.62	 4102.53	    0.00	 4102.53	 1725.52	 1975.92
17:02:44	 7871.33	 7716.96	  154.37	 4015.88	 4102.53	    0.00	 4102.53	 1725.45	 1975.64
17:02:46	 7871.33	 7717.05	  154.28	 4015.88	 4102.53	    0.00	 4102.53	 1725.54	 1975.63
17:02:48	 7871.33	 7716.96	  154.38	 4015.89	 4102.53	    0.00	 4102.53	 1725.54	 1975.53
17:02:50	 7871.33	 7717.43	  153.91	 4016.14	 4102.53	    0.00	 4102.53	 1725.56	 1975.73
17:02:52	 7871.33	 7717.55	  153.79	 4016.14	 4102.53	    0.00	 4102.53	 1725.57	 1975.84
17:02:54	 7871.33	 7717.80	  153.54	 4016.40	 4102.53	    0.00	 4102.53	 1725.49	 1975.91
17:02:56	 7871.33	 7718.05	  153.29	 4016.40	 4102.53	    0.00	 4102.53	 1725.57	 1976.07
17:02:58	 7871.33	 7718.04	  153.29	 4016.40	 4102.53	    0.00	 4102.53	 1725.58	 1976.06
17:03:00	 7871.33	 7718.28	  153.05	 4016.66	 4102.53	    0.00	 4102.53	 1725.58	 1976.04
17:03:02	 7871.33	 7718.27	  153.07	 4016.66	 4102.53	    0.00	 4102.53	 1725.59	 1976.02
17:03:04	 7871.33	 7718.04	  153.29	 4016.91	 4102.53	    0.00	 4102.53	 1725.51	 1975.62
17:03:06	 7871.33	 7718.13	  153.20	 4016.91	 4102.53	    0.00	 4102.53	 1725.61	 1975.61
17:03:08	 7871.33	 7718.25	  153.08	 4016.91	 4102.53	    0.00	 4102.53	 1725.61	 1975.73
17:03:10	 7871.33	 7718.37	  152.96	 4017.16	 4102.53	    0.00	 4102.53	 1725.61	 1975.60
17:03:12	 7871.33	 7718.48	  152.85	 4017.17	 4102.53	    0.00	 4102.53	 1725.61	 1975.70
17:03:14	 7871.33	 7718.86	  152.47	 4017.42	 4102.53	    0.00	 4102.53	 1725.63	 1975.81
17:03:16	 7871.33	 7718.73	  152.61	 4017.43	 4102.53	    0.00	 4102.53	 1725.63	 1975.67
17:03:18	 7871.33	 7718.85	  152.48	 4017.43	 4102.53	    0.00	 4102.53	 1725.63	 1975.78
17:03:20	 7871.33	 7719.57	  151.76	 4017.68	 4102.53	    0.00	 4102.53	 1725.64	 1976.25
17:03:22	 7871.33	 7719.33	  152.00	 4017.68	 4102.53	    0.00	 4102.53	 1725.64	 1976.00
17:03:24	 7871.33	 7719.36	  151.98	 4017.95	 4102.53	    0.00	 4102.53	 1725.65	 1975.76
17:03:26	 7871.33	 7719.57	  151.76	 4017.95	 4102.53	    0.00	 4102.53	 1725.66	 1975.97
17:03:28	 7871.33	 7719.57	  151.76	 4017.95	 4102.53	    0.00	 4102.53	 1725.66	 1975.96
17:03:30	 7871.33	 7720.06	  151.27	 4018.21	 4102.53	    0.00	 4102.53	 1725.67	 1976.18
17:03:32	 7871.33	 7720.20	  151.14	 4018.21	 4102.53	    0.00	 4102.53	 1725.67	 1976.32
17:03:34	 7871.33	 7720.44	  150.89	 4018.46	 4102.53	    0.00	 4102.53	 1725.68	 1976.30
17:03:36	 7871.33	 7720.57	  150.77	 4018.46	 4102.53	    0.00	 4102.53	 1725.68	 1976.42
17:03:38	 7871.33	 7720.57	  150.77	 4018.46	 4102.53	    0.00	 4102.53	 1725.70	 1976.41
17:03:40	 7871.33	 7720.79	  150.55	 4018.71	 4102.53	    0.00	 4102.53	 1725.70	 1976.37
17:03:42	 7871.33	 7720.66	  150.67	 4018.72	 4102.53	    0.00	 4102.53	 1725.70	 1976.24
17:03:45	 7871.33	 7723.71	  147.62	 4018.97	 4102.53	    0.00	 4102.53	 1725.71	 1979.02
17:03:47	 7871.33	 7721.27	  150.07	 4018.97	 4102.53	    0.00	 4102.53	 1725.71	 1976.58
17:03:49	 7871.33	 7720.78	  150.55	 4019.23	 4102.53	    0.00	 4102.53	 1725.64	 1975.91
17:03:51	 7871.33	 7721.39	  149.94	 4019.23	 4102.53	    0.00	 4102.53	 1725.71	 1976.45
17:03:53	 7871.33	 7721.39	  149.94	 4019.23	 4102.53	    0.00	 4102.53	 1725.71	 1976.45
17:03:55	 7871.33	 7721.49	  149.84	 4019.50	 4102.53	    0.00	 4102.53	 1725.72	 1976.27
17:03:57	 7871.33	 7721.47	  149.86	 4019.50	 4102.53	    0.00	 4102.53	 1725.73	 1976.24
17:03:59	 7871.33	 7721.45	  149.88	 4019.76	 4102.53	    0.00	 4102.53	 1725.65	 1976.04
17:04:01	 7871.33	 7721.81	  149.52	 4019.76	 4102.53	    0.00	 4102.53	 1725.74	 1976.31
17:04:03	 7871.33	 7722.17	  149.16	 4019.76	 4102.53	    0.00	 4102.53	 1725.75	 1976.66
17:04:05	 7871.33	 7721.80	  149.53	 4020.02	 4102.53	    0.00	 4102.53	 1725.75	 1976.03
17:04:07	 7871.33	 7721.65	  149.68	 4020.02	 4102.53	    0.00	 4102.53	 1725.76	 1975.87
17:04:09	 7871.33	 7722.00	  149.34	 4020.27	 4102.53	    0.00	 4102.53	 1725.68	 1976.05
17:04:11	 7871.33	 7721.87	  149.46	 4020.28	 4102.53	    0.00	 4102.53	 1725.76	 1975.83
17:04:13	 7871.33	 7721.87	  149.46	 4020.28	 4102.53	    0.00	 4102.53	 1725.77	 1975.82
17:04:15	 7871.33	 7722.38	  148.96	 4020.53	 4102.53	    0.00	 4102.53	 1725.78	 1976.07
17:04:17	 7871.33	 7722.23	  149.10	 4020.54	 4102.53	    0.00	 4102.53	 1725.78	 1975.91
17:04:19	 7871.33	 7722.35	  148.98	 4020.79	 4102.53	    0.00	 4102.53	 1725.70	 1975.86
17:04:21	 7871.33	 7722.84	  148.49	 4020.79	 4102.53	    0.00	 4102.53	 1725.79	 1976.27
