    Time	  MemTotal	   MemUsed	   MemFree	   MemBuff	SwapTotal	SwapUsed	SwapFree	SwapCached	RealUsedMem
17:02:00	 7871.33	 3533.64	 4337.70	   51.56	    0.00	    0.00	    0.00	 1667.79	 1814.29
17:02:02	 7871.33	 3533.89	 4337.45	   51.56	    0.00	    0.00	    0.00	 1667.79	 1814.54
17:02:04	 7871.33	 3533.87	 4337.46	   51.56	    0.00	    0.00	    0.00	 1667.79	 1814.52
17:02:06	 7871.33	 3533.63	 4337.70	   51.56	    0.00	    0.00	    0.00	 1667.79	 1814.27
17:02:08	 7871.33	 3533.63	 4337.70	   51.56	    0.00	    0.00	    0.00	 1667.80	 1814.27
17:02:10	 7871.33	 3535.45	 4335.88	   51.56	    0.00	    0.00	    0.00	 1667.80	 1816.09
17:02:12	 7871.33	 3533.41	 4337.92	   51.56	    0.00	    0.00	    0.00	 1667.80	 1814.04
17:02:14	 7871.33	 3533.63	 4337.70	   51.56	    0.00	    0.00	    0.00	 1667.80	 1814.26
17:02:16	 7871.33	 3533.63	 4337.70	   51.56	    0.00	    0.00	    0.00	 1667.81	 1814.26
17:02:18	 7871.33	 3533.62	 4337.71	   51.56	    0.00	    0.00	    0.00	 1667.81	 1814.25
17:02:20	 7871.33	 3533.86	 4337.47	   51.56	    0.00	    0.00	    0.00	 1667.81	 1814.49
17:02:22	 7871.33	 3533.88	 4337.45	   51.56	    0.00	    0.00	    0.00	 1667.82	 1814.50
17:02:24	 7871.33	 3533.74	 4337.59	   51.56	    0.00	    0.00	    0.00	 1667.82	 1814.36
17:02:26	 7871.33	 3533.62	 4337.71	   51.56	    0.00	    0.00	    0.00	 1667.82	 1814.23
17:02:28	 7871.33	 3534.11	 4337.23	   51.56	    0.00	    0.00	    0.00	 1667.82	 1814.72
17:02:30	 7871.33	 3534.96	 4336.37	   51.56	    0.00	    0.00	    0.00	 1667.83	 1815.57
17:02:32	 7871.33	 3534.01	 4337.32	   51.56	    0.00	    0.00	    0.00	 1667.83	 1814.62
17:02:34	 7871.33	 3533.87	 4337.46	   51.56	    0.00	    0.00	    0.00	 1667.82	 1814.49
17:02:36	 7871.33	 3533.99	 4337.34	   51.56	    0.00	    0.00	    0.00	 1667.82	 1814.61
17:02:38	 7871.33	 3533.87	 4337.46	   51.56	    0.00	    0.00	    0.00	 1667.82	 1814.48
17:02:40	 7871.33	 3533.75	 4337.59	   51.56	    0.00	    0.00	    0.00	 1667.83	 1814.36
17:02:43	 7871.33	 3533.68	 4337.65	   51.56	    0.00	    0.00	    0.00	 1667.83	 1814.29
17:02:45	 7871.33	 3533.55	 4337.79	   51.56	    0.00	    0.00	    0.00	 1667.85	 1814.14
