==> /var/local/nectar/log/Supervisor.log.flip <==
12/11/2015 15:54:55.185 | MatedPairService(30044) | SYS | INT | US1 | SupervisedObject::watchdogStillHere : MatedPairService still alive.
12/11/2015 15:54:55.435 | SupervisedCluster(30049) | SYS | INT | DBG | SupervisedCluster::LongTicker::expireHandler debut
12/11/2015 15:54:57.915 | SupervisedCluster(30049) | SYS | INT | DBG | Cluster allocation seen by mgmd: 41044416
12/11/2015 15:54:57.915 | SupervisedCluster(30049) | SYS | INT | DBG | Cluster allocation seen by mysqld: 40620032
12/11/2015 15:54:57.915 | SupervisedCluster(30049) | SYS | INT | DBG | SupervisedCluster::checkUsage() All nodes reported usage data:  data: 0.841728 index: 0.699417 thr1: 0.8 thr2: 0.9 recovery1: 0.8 recovery2: 0.9 maxUsage: 0.841728
12/11/2015 15:54:58.760 | SftpAudit(30535) | SYS | INT | US2 | Libssh2Wrapper::bind OK for source ip: 192.169.57.129
12/11/2015 15:54:58.937 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:54:59.439 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=10 cpuload=2 memload=0
12/11/2015 15:55:00.440 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=0 memload=0
12/11/2015 15:55:01.442 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=10 cpuload=1 memload=0

==> /var/local/nectar/log/Supervisor.log.flop <==
09/11/2015 07:58:53.953 | MdsObsApiService(26500) | SYS | INT | FIL | RateValueProbe::getValue PassiveDbErrorRate, nb Err = 0, nb Mes = 0, rate = 0
09/11/2015 07:58:56.076 | MatedPairCheckReplication(3022 | SYS | INT | DBG | Replication Latency pgmps:  8=6 9=8 10=28 11=17 12=1
09/11/2015 07:58:56.076 | MatedPairCheckReplication(3022 | SYS | INT | DBG | Replication Latency result:  <0 =108, 0 =704068, 1 =34483, 2 =790, 3 =143, 4 =118, 5 =90, 6 =61, 7 =46, 8 =28, 9 =14 >9 =1674604
 mysql not running = 359 diff time with master = 0 checkPollEvent = 60
09/11/2015 07:58:59.321 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=2 init=1)
09/11/2015 07:59:02.969 | MatedPairService(30044) | SYS | INT | DBG | Injection periodic observation: binlog size=3474/3517, size of data=0, time to inject binlog=0mn 0s
09/11/2015 07:59:07.783 | MysqlSupervision(1090) | SYS | INT | DBG | Connected to mysql @STATION_A : 15306
09/11/2015 07:59:10.332 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=2 init=1)
09/11/2015 07:59:15.434 | MatedPairService(30044) | SYS | INT | DBG | SHOW SLAVE STATUS fetch row failed 
09/11/2015 07:59:21.840 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=2 init=1)

==> /var/local/nectar/log/Supervisor.log.flip <==
12/11/2015 15:55:06.165 | SupervisedCluster(30049) | SYS | INT | DBG | Cluster allocation seen by mgmd: 41044416
12/11/2015 15:55:06.165 | SupervisedCluster(30049) | SYS | INT | DBG | Cluster allocation seen by mysqld: 40620032
12/11/2015 15:55:06.165 | SupervisedCluster(30049) | SYS | INT | DBG | SupervisedCluster::checkUsage() All nodes reported usage data:  data: 0.841728 index: 0.699417 thr1: 0.8 thr2: 0.9 recovery1: 0.8 recovery2: 0.9 maxUsage: 0.841728
12/11/2015 15:55:12.453 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=4 cpuload=1 memload=0
12/11/2015 15:55:12.462 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:55:14.988 | SftpAudit(30535) | SYS | INT | US2 | Libssh2Wrapper::bind OK for source ip: 192.169.57.129
12/11/2015 15:55:16.163 | MatedPairService(30044) | SYS | INT | DBG | Binlog periodic observation: binlog size=4098/4078, binlog inserts=0/109, binlog updates=64995/64554, binlog deletes=126/16, size of data=534, time to fill binlog= 10h 0mn
12/11/2015 15:55:20.968 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=11 cpuload=1 memload=0
12/11/2015 15:55:21.471 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=10 cpuload=2 memload=0
12/11/2015 15:55:21.473 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=1 memload=0
12/11/2015 15:55:22.970 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=11 cpuload=0 memload=0
12/11/2015 15:55:23.475 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=10 cpuload=1 memload=0
12/11/2015 15:55:24.490 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:55:24.993 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=7 cpuload=1 memload=0
12/11/2015 15:55:25.493 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=3 cpuload=1 memload=0
12/11/2015 15:55:25.493 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=10 cpuload=2 memload=0
12/11/2015 15:55:26.995 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=7 cpuload=0 memload=0
12/11/2015 15:55:27.494 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=2 memload=0
12/11/2015 15:55:29.498 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=3 cpuload=0 memload=0
12/11/2015 15:55:31.401 | SftpAudit(30535) | SYS | INT | US2 | Libssh2Wrapper::bind OK for source ip: 192.169.57.129
12/11/2015 15:55:31.738 | MysqlSupervision(1090) | SYS | INT | DBG | Connected to mysql @STATION_A : 15306
12/11/2015 15:55:35.505 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=1 memload=0
12/11/2015 15:55:35.506 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=10 cpuload=1 memload=0
12/11/2015 15:55:36.576 | MdsObsApiService(26500) | SYS | INT | FIL | RateValueProbe::getValue PassiveDbErrorRate, nb Err = 0, nb Mes = 0, rate = 0
12/11/2015 15:55:37.122 | MatedPairService(30044) | SYS | INT | DBG | Binlog periodic observation: binlog size=4060/4083, binlog inserts=0/96, binlog updates=64499/64618, binlog deletes=126/28, size of data=406, time to fill binlog= 10h 0mn
12/11/2015 15:55:37.507 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=0 memload=0
