Linux 2.6.32-504.12.2.el6.x86_64 (ATCA57-0-0-9) 	11/12/15 	_x86_64_	(2 CPU)

11/12/15 15:55:12
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               8.27    39.26    0.37  151.37    54.14  1537.61    10.49     0.60    3.96   0.56   8.52
sdb               6.10     0.69    0.30    1.41    51.23    51.68    60.00     0.01    6.44   3.82   0.66
sdc               0.00     0.00    0.00    0.00     0.00     0.00     9.55     0.00    0.56   0.55   0.00
dm-0              0.00     0.00    0.00    0.53     0.09     4.26     8.15     0.12  226.79   0.61   0.03
dm-1              0.00     0.00    0.00    0.01     0.00     0.10     8.00     0.00  349.20   0.04   0.00
dm-2              0.00     0.00    0.00    0.06     0.00     3.20    54.02     0.00   12.64   3.32   0.02
dm-3              0.00     0.00    0.00    6.13     0.00    54.46     8.89     0.10   16.02   0.70   0.43
dm-4              0.00     0.00    0.00    0.04     0.03     0.33     8.41     0.02  411.14   0.17   0.00
dm-5              0.00     0.00    0.00    0.04     0.13     0.31    10.66     0.02  398.68   0.11   0.00
dm-6              0.00     0.00    0.00    2.94     0.01    23.53     8.00     0.06   20.77   3.99   1.17
dm-7              0.00     0.00    0.00   16.02     0.00   128.15     8.00     0.29   18.10   0.79   1.27
dm-8              0.00     0.00    0.00    0.35     0.00     8.21    23.77     0.01   17.01   0.19   0.01
dm-9              0.00     0.00    0.00    0.00     0.00     0.10    25.64     0.00   18.21   3.28   0.00
dm-10             0.00     0.00    0.00    0.56     0.00     4.48     8.00     0.01   16.51   2.72   0.15
dm-11             0.00     0.00    0.00    0.00     0.00     0.28   232.70     0.00   33.60   1.91   0.00

11/12/15 15:55:17
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.00   108.40    0.40   41.60    51.20  1195.20    29.68     2.48   59.04   1.74   7.32
sdb               6.00     1.20    0.40    1.80    51.20    24.00    34.18     0.01    6.27   4.09   0.90
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    1.20     0.00     9.60     8.00     0.01    1.50   2.67   0.32
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-6              0.00     0.00    0.00    2.20     0.00    17.60     8.00     0.02    7.55   2.64   0.58
dm-7              0.00     0.00    0.00   92.40     0.00   739.20     8.00     1.06   11.48   0.20   1.84
dm-8              0.00     0.00    0.00    0.20     0.00     1.60     8.00     0.00    8.00   8.00   0.16
dm-9              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-10             0.00     0.00    0.00    2.20     0.00    17.60     8.00     0.02    9.64   2.18   0.48
dm-11             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

11/12/15 15:55:22
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    26.40    0.20    5.40    51.20   259.20    55.43     0.05    9.36   4.57   2.56
sdb               6.00     2.20    0.40    3.00    51.20    41.60    27.29     0.03    7.47   3.35   1.14
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    1.20     0.00     9.60     8.00     0.01   14.83   2.33   0.28
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-6              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.02    9.30   3.50   0.70
dm-7              0.00     0.00    0.00   10.60     0.00    84.80     8.00     0.09    8.06   0.42   0.44
dm-8              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-9              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-10             0.00     0.00    0.00    3.80     0.00    30.40     8.00     0.03    9.11   1.89   0.72
dm-11             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

11/12/15 15:55:27
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.00   134.20    0.40  419.40    51.20  4428.80    10.67    20.06   47.78   0.47  19.64
sdb               5.80     0.80    0.60    2.40    51.20    25.60    25.60     0.01    4.93   2.93   0.88
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    3.20     0.00    25.60     8.00     0.04   11.50   3.12   1.00
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00   16.80     0.00   134.40     8.00     0.86   51.07   0.73   1.22
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-6              0.00     0.00    0.00    1.40     0.00    11.20     8.00     0.01    7.43   3.43   0.48
dm-7              0.00     0.00    0.00   91.00     0.00   728.00     8.00     1.84   20.24   0.38   3.50
dm-8              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-9              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-10             0.00     0.00    0.00    1.60     0.00    12.80     8.00     0.01    5.25   2.37   0.38
dm-11             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

11/12/15 15:55:32
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.00    34.80    0.40   39.80    51.20   596.80    16.12     2.65   66.04   1.78   7.14
sdb               6.00     1.20    0.40    2.40    51.20    28.80    28.57     0.02    5.79   3.00   0.84
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.03   13.20   3.50   0.70
