Linux 2.6.32-504.12.2.el6.x86_64 (ATCA57-0-0-10) 	11/12/15 	_x86_64_	(2 CPU)

11/12/15 15:55:21
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.18    24.20    0.51   47.46    57.54  6659.61   140.03     0.14    2.87   2.30  11.03
sdb               6.21     0.00    0.20    0.00    51.27     0.00   255.77     0.00    0.80   0.79   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00    12.70     0.00    1.89   1.89   0.00
dm-0              0.00     0.00    0.02    0.14     0.51     1.16    10.28     0.01   50.94   1.39   0.02
dm-1              0.00     0.00    0.00    0.00     0.01     0.00     7.97     0.00    5.45   5.33   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     7.78     0.00    2.10   1.03   0.00
dm-3              0.00     0.00    0.06    1.27     1.66     9.35     8.29     0.00    2.19   1.45   0.19
dm-4              0.00     0.00    0.01    0.00     0.43     0.00    45.04     0.00    7.42   1.05   0.00
dm-5              0.00     0.00    0.15    4.88     1.77    39.06     8.11     0.01    2.84   1.31   0.66
dm-6              0.00     0.00    0.03   58.75     1.87  6609.11   112.46     0.14    2.41   1.75  10.31
dm-7              0.00     0.00    0.00    0.05     0.02     0.39     8.35     0.00    3.23   2.51   0.01

11/12/15 15:55:26
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    23.80    0.20   58.00    51.20 19468.80   335.40     0.18    3.16   2.37  13.82
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    5.00   5.00   0.10
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.00    1.30   1.30   0.26
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    1.20     0.00     9.60     8.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    4.00     0.00    32.00     8.00     0.01    2.50   1.40   0.56
dm-6              0.00     0.00    0.00   68.40     0.00 19411.20   283.79     0.19    2.79   1.92  13.12
dm-7              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

11/12/15 15:55:31
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.19    52.50    0.20   74.65    51.10  1786.83    24.55     0.18    2.41   2.06  15.39
sdb               6.19     0.00    0.20    0.00    51.10     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    3.79     0.00    30.34     8.00     0.01    1.32   0.74   0.28
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    2.00     0.00    14.37     7.20     0.00    1.90   1.20   0.24
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    6.39     0.00    51.10     8.00     0.02    3.22   1.16   0.74
dm-6              0.00     0.00    0.00  102.99     0.00  1694.21    16.45     0.19    1.82   1.40  14.45
dm-7              0.00     0.00    0.00    1.40     0.00    11.18     8.00     0.00    3.00   2.71   0.38

11/12/15 15:55:36
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.00    55.40    0.40   76.80    51.20  1724.80    23.01     0.20    2.57   2.24  17.32
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
