Linux 2.6.32-504.12.2.el6.x86_64 (ATCA57-0-0-2) 	11/12/15 	_x86_64_	(2 CPU)

11/12/15 15:56:04
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               6.20     0.00    0.20    0.00    51.20     0.00   255.78     0.00    1.61   1.61   0.03
sda               6.19    22.17    0.51   47.35    57.88  6641.32   139.97     0.14    2.99   2.43  11.61
sdc               0.00     0.00    0.00    0.00     0.00     0.00    12.70     0.00    0.45   0.45   0.00
dm-0              0.00     0.00    0.02    0.15     0.56     1.16    10.37     0.01   36.74   1.42   0.02
dm-1              0.00     0.00    0.00    0.00     0.01     0.00     7.97     0.00    5.66   5.57   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     7.79     0.00    1.52   1.01   0.00
dm-3              0.00     0.00    0.06    1.27     1.96     9.39     8.51     0.00    2.26   1.49   0.20
dm-4              0.00     0.00    0.01    0.00     0.37     0.00    38.71     0.00    6.21   1.69   0.00
dm-5              0.00     0.00    0.15    4.84     1.71    38.71     8.11     0.01    2.91   1.36   0.68
dm-6              0.00     0.00    0.05   56.61     1.98  6590.88   116.37     0.15    2.55   1.92  10.86
dm-7              0.00     0.00    0.00    0.06     0.03     0.49     8.40     0.00    3.27   2.46   0.02

11/12/15 15:56:09
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sda               6.20    48.40    3.20   79.20    99.20  1662.40    21.38     0.24    2.90   2.25  18.56
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.00    0.00   0.67   0.12
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    3.00    1.40    48.00     9.60    13.09     0.01    1.91   0.59   0.26
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    6.00     0.00    48.00     8.00     0.02    2.53   1.53   0.92
dm-6              0.00     0.00    0.00  105.20     0.00  1579.20    15.01     0.24    2.26   1.67  17.60
dm-7              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.01    3.11   2.56   0.46

11/12/15 15:56:14
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
