Linux 2.6.32-504.12.2.el6.x86_64 (ATCA57-0-0-11) 	11/12/15 	_x86_64_	(2 CPU)

11/12/15 15:55:30
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.17    23.38    0.50   47.42    57.18  6658.55   140.15     0.14    2.95   2.37  11.34
sdb               6.20     0.00    0.20    0.00    51.20     0.00   255.79     0.00    1.49   1.49   0.03
sdc               0.00     0.00    0.00    0.00     0.00     0.00    12.70     0.00    1.62   1.62   0.00
dm-0              0.00     0.00    0.02    0.14     0.48     1.16    10.06     0.01   50.27   1.38   0.02
dm-1              0.00     0.00    0.00    0.00     0.01     0.00     7.96     0.00    5.53   5.44   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     7.77     0.00    1.83   0.90   0.00
dm-3              0.00     0.00    0.05    1.27     1.49     9.32     8.21     0.00    2.21   1.46   0.19
dm-4              0.00     0.00    0.01    0.00     0.36     0.00    45.58     0.00    5.95   1.08   0.00
dm-5              0.00     0.00    0.15    4.82     1.71    38.60     8.10     0.01    2.88   1.35   0.67
dm-6              0.00     0.00    0.04   57.95     1.90  6608.53   114.01     0.14    2.48   1.83  10.59
dm-7              0.00     0.00    0.00    0.05     0.02     0.40     8.36     0.00    3.31   2.58   0.01

11/12/15 15:55:35
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    51.40    0.20   78.00    51.20  1689.60    22.26     0.21    2.67   2.22  17.38
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.01    3.11   3.11   0.56
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.20     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    4.20     0.00    33.60     8.00     0.01    2.33   1.43   0.60
dm-6              0.00     0.00    0.00  109.80     0.00  1630.40    14.85     0.22    1.99   1.50  16.48
dm-7              0.00     0.00    0.00    1.40     0.00    11.20     8.00     0.00    2.71   1.86   0.26

11/12/15 15:55:40
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    58.60    0.20   83.00    51.20  1894.40    23.38     0.24    2.92   2.10  17.50
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    0.00   0.00   0.00
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    1.60     0.00    12.80     8.00     0.00    3.00   0.37   0.06
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.00    1.33   1.33   0.24
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    5.80     0.00    46.40     8.00     0.02    2.69   1.41   0.82
dm-6              0.00     0.00    0.00  119.60     0.00  1819.20    15.21     0.26    2.22   1.40  16.80
dm-7              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

11/12/15 15:55:45
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    56.60    0.20   83.80    51.20  1862.40    22.78     0.20    2.42   2.08  17.50
