Linux 2.6.32-504.12.2.el6.x86_64 (ATCA57-0-0-3) 	11/12/15 	_x86_64_	(2 CPU)

11/12/15 15:56:13
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.17    22.28    0.48   47.24    56.96  6647.31   140.50     0.13    2.82   2.26  10.79
sdb               6.20     0.00    0.20    0.00    51.20     0.00   255.79     0.00    1.60   1.60   0.03
sdc               0.00     0.00    0.00    0.00     0.00     0.00    12.70     0.00    0.49   0.49   0.00
dm-0              0.00     0.00    0.02    0.14     0.52     1.15    10.36     0.01   37.88   1.36   0.02
dm-1              0.00     0.00    0.00    0.00     0.01     0.00     7.96     0.00    5.37   5.27   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     7.78     0.00    1.58   0.86   0.00
dm-3              0.00     0.00    0.05    1.27     1.57     9.33     8.25     0.00    2.16   1.45   0.19
dm-4              0.00     0.00    0.01    0.00     0.36     0.00    45.54     0.00    5.74   1.16   0.00
dm-5              0.00     0.00    0.13    4.83     1.38    38.66     8.06     0.01    2.82   1.33   0.66
dm-6              0.00     0.00    0.03   56.65     1.87  6597.17   116.41     0.14    2.40   1.77  10.04
dm-7              0.00     0.00    0.00    0.05     0.02     0.40     8.31     0.00    3.17   2.48   0.01

11/12/15 15:56:18
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    23.20    0.20   54.00    51.20 20848.00   385.59     0.21    3.78   2.55  13.82
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.00    0.89   0.67   0.12
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.00    2.56   2.56   0.46
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    4.80     0.00    38.40     8.00     0.02    4.04   2.29   1.10
dm-6              0.00     0.00    0.00   62.00     0.00 20771.20   335.02     0.20    3.20   2.13  13.18
dm-7              0.00     0.00    0.00    1.40     0.00    11.20     8.00     0.00    1.29   1.29   0.18

11/12/15 15:56:23
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    21.20    0.20   52.80    51.20 20502.40   387.80     0.18    3.40   2.48  13.14
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    1.60     0.00    12.80     8.00     0.01    4.12   0.88   0.14
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.20     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    4.60     0.00    36.80     8.00     0.01    2.39   1.17   0.54
dm-6              0.00     0.00    0.00   60.20     0.00 20436.80   339.48     0.18    2.97   2.00  12.02
dm-7              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.01    2.80   2.20   0.44

11/12/15 15:56:28
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    17.20    1.60   53.40    99.20 21123.20   385.86     0.20    3.73   2.48  13.64
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    3.80     0.00    30.40     8.00     0.01    3.84   2.16   0.82
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    1.40    2.00    48.00    16.00    18.82     0.04   10.71   2.94   1.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    5.00     0.00    40.00     8.00     0.01    1.44   0.84   0.42
dm-6              0.00     0.00    0.00   53.80     0.00 21033.60   390.96     0.18    3.32   2.37  12.76
dm-7              0.00     0.00    0.00    0.20     0.00     1.60     8.00     0.00    3.00   3.00   0.06

11/12/15 15:56:33
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    18.60    0.20   57.20    51.20 18483.20   322.90     0.22    3.82   2.50  14.34
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.01    3.10   2.40   0.48
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    2.40     0.00    17.60     7.33     0.01    3.50   2.92   0.70
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    3.20     0.00    25.60     8.00     0.01    4.12   0.94   0.30
dm-6              0.00     0.00    0.00   60.00     0.00 18409.60   306.83     0.19    3.23   2.24  13.44
dm-7              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.02    8.56   3.11   0.56

11/12/15 15:56:38
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    28.80    0.20   65.00    51.20 19587.20   301.20     0.22    3.43   2.44  15.92
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    2.20     0.00    17.60     8.00     0.01    3.36   2.36   0.52
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    2.20     0.00    17.60     8.00     0.01    4.73   3.18   0.70
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    5.20     0.00    41.60     8.00     0.02    3.27   1.23   0.64
dm-6              0.00     0.00    0.00   75.00     0.00 19494.40   259.93     0.21    2.80   1.91  14.34
dm-7              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.00    2.10   1.90   0.38

11/12/15 15:56:43
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.00    24.40    0.40   57.00    51.20 15424.00   269.60     0.17    2.93   2.25  12.90
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    0.00   0.00   0.00
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    2.20     0.00    17.60     8.00     0.01    3.36   2.55   0.56
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.20     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    6.00     0.00    48.00     8.00     0.01    1.73   1.13   0.68
dm-6              0.00     0.00    0.00   65.20     0.00 15347.20   235.39     0.16    2.51   1.82  11.88
dm-7              0.00     0.00    0.00    1.40     0.00    11.20     8.00     0.00    3.00   2.29   0.32

11/12/15 15:56:48
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    37.80    0.20   71.00    51.20 14657.60   206.58     0.25    3.46   2.29  16.34
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    7.00   7.00   0.14
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    2.40     0.00    19.20     8.00     0.01    2.83   1.83   0.44
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.01    5.89   2.89   0.52
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    4.40     0.00    35.20     8.00     0.02    4.41   2.23   0.98
dm-6              0.00     0.00    0.00   89.20     0.00 14576.00   163.41     0.24    2.72   1.72  15.30
dm-7              0.00     0.00    0.00    1.60     0.00    12.80     8.00     0.01    4.50   3.75   0.60

11/12/15 15:56:53
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.00    23.80    0.40   61.60    51.20 20896.00   337.86     0.19    3.08   2.35  14.60
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    2.20     0.00    17.60     8.00     0.00    1.27   0.82   0.18
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.20     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    4.20     0.00    33.60     8.00     0.01    2.90   1.71   0.72
dm-6              0.00     0.00    0.00   70.80     0.00 20835.20   294.28     0.19    2.65   1.93  13.68
dm-7              0.00     0.00    0.00    1.40     0.00    11.20     8.00     0.00    2.00   2.00   0.28

11/12/15 15:56:58
