Linux 2.6.32-504.12.2.el6.x86_64 (ATCA57-0-0-12) 	11/12/15 	_x86_64_	(2 CPU)

11/12/15 15:55:38
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               6.21     0.00    0.20    0.00    51.27     0.00   255.78     0.00    0.96   0.93   0.02
sda               6.18    22.34    0.50   47.28    57.31  6653.27   140.46     0.13    2.82   2.25  10.77
sdc               0.00     0.00    0.00    0.00     0.00     0.00    12.70     0.00    1.49   1.49   0.00
dm-0              0.00     0.00    0.02    0.14     0.54     1.15    10.34     0.01   42.72   1.40   0.02
dm-1              0.00     0.00    0.00    0.00     0.01     0.00     7.97     0.00    5.65   5.52   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     7.82     0.00    1.64   0.99   0.00
dm-3              0.00     0.00    0.06    1.27     1.84     9.34     8.42     0.00    2.18   1.46   0.19
dm-4              0.00     0.00    0.01    0.00     0.29     0.00    41.81     0.00    5.31   1.22   0.00
dm-5              0.00     0.00    0.15    4.83     1.47    38.64     8.06     0.01    2.82   1.33   0.66
dm-6              0.00     0.00    0.03   56.75     1.85  6603.20   116.32     0.14    2.42   1.77  10.03
dm-7              0.00     0.00    0.00    0.05     0.02     0.41     8.39     0.00    3.23   2.52   0.01

11/12/15 15:55:43
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sda               6.20    52.60    0.20   79.60    51.20  1804.80    23.26     0.19    2.36   2.07  16.48
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.00    1.11   1.11   0.20
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.00    1.60   1.60   0.32
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    5.20     0.00    41.60     8.00     0.01    2.19   1.12   0.58
dm-6              0.00     0.00    0.00  110.40     0.00  1728.00    15.65     0.20    1.77   1.41  15.62
dm-7              0.00     0.00    0.00    0.80     0.00     6.40     8.00     0.00    3.75   3.75   0.30

11/12/15 15:55:48
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sda               6.00    52.20    0.40   80.00    51.20  1715.20    21.97     0.19    2.45   2.05  16.48
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    1.60     0.00    12.80     8.00     0.00    3.00   0.37   0.06
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    2.40     0.00    17.60     7.33     0.01    4.42   3.50   0.84
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    5.00     0.00    40.00     8.00     0.02    3.16   1.84   0.92
dm-6              0.00     0.00    0.00  110.60     0.00  1643.20    14.86     0.20    1.85   1.45  16.02
dm-7              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

11/12/15 15:55:53
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sda               6.00    56.40    0.40   90.20    51.20  1928.00    21.85     0.20    2.26   2.06  18.64
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    4.00     0.00    32.00     8.00     0.01    1.45   0.95   0.38
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    3.40     0.00    27.20     8.00     0.00    0.88   0.71   0.24
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    5.40     0.00    43.20     8.00     0.01    1.70   1.04   0.56
dm-6              0.00     0.00    0.00  118.40     0.00  1811.20    15.30     0.21    1.80   1.44  17.04
dm-7              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.00    1.89   1.89   0.34

11/12/15 15:55:58
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sda               6.20    45.60    0.20   82.00    51.20  1761.60    22.05     0.24    2.92   2.14  17.56
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.01    3.10   2.40   0.48
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.20     0.00     0.00     0.00     0.00    1.00   1.00   0.02
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    4.60     0.00    36.80     8.00     0.02    4.30   2.43   1.12
dm-6              0.00     0.00    0.00  106.80     0.00  1696.00    15.88     0.23    2.20   1.55  16.58
dm-7              0.00     0.00    0.00    1.60     0.00    12.80     8.00     0.01    6.25   5.50   0.88

11/12/15 15:56:03
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sda               6.20    50.40    0.20   80.60    51.20  1816.00    23.11     0.21    2.53   2.20  17.74
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    2.20     0.00    17.60     8.00     0.01    3.09   2.45   0.54
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
