Linux 2.6.32-504.12.2.el6.x86_64 (ATCA57-0-0-4) 	11/12/15 	_x86_64_	(2 CPU)

11/12/15 15:56:23
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.18    23.37    0.51   47.49    57.53  6662.19   139.99     0.14    2.97   2.38  11.43
sdb               6.20     0.00    0.20    0.00    51.20     0.00   255.77     0.00    1.56   1.56   0.03
sdc               0.00     0.00    0.00    0.00     0.00     0.00    12.70     0.00    0.86   0.86   0.00
dm-0              0.00     0.00    0.02    0.14     0.51     1.15    10.21     0.01   36.18   1.38   0.02
dm-1              0.00     0.00    0.00    0.00     0.01     0.00     7.98     0.00    5.51   5.45   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     7.78     0.00    1.64   0.87   0.00
dm-3              0.00     0.00    0.06    1.27     1.74     9.36     8.35     0.00    2.22   1.46   0.19
dm-4              0.00     0.00    0.01    0.00     0.39     0.00    43.08     0.00    7.00   1.04   0.00
dm-5              0.00     0.00    0.16    4.83     1.72    38.65     8.09     0.01    2.88   1.34   0.67
dm-6              0.00     0.00    0.04   57.99     1.93  6612.14   113.97     0.15    2.50   1.84  10.68
dm-7              0.00     0.00    0.00    0.05     0.02     0.39     8.37     0.00    3.32   2.60   0.01

11/12/15 15:56:28
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    19.20    0.20   57.40    51.20 21259.20   369.97     0.21    3.66   2.57  14.80
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.00    1.40   1.10   0.22
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    1.40     0.00     9.60     6.86     0.00    0.43   0.29   0.04
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    5.40     0.00    43.20     8.00     0.01    2.74   1.81   0.98
dm-6              0.00     0.00    0.00   61.00     0.00 21182.40   347.25     0.21    3.50   2.29  13.96
dm-7              0.00     0.00    0.00    1.00     0.00     8.00     8.00     0.00    2.80   2.60   0.26

11/12/15 15:56:33
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    20.80    0.20   50.40    51.20 20782.40   411.73     0.19    3.59   2.74  13.84
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    2.00   2.00   0.04
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    2.80     0.00    22.40     8.00     0.01    2.79   1.50   0.42
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.00    2.44   1.67   0.30
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    5.40     0.00    43.20     8.00     0.01    2.15   1.19   0.64
dm-6              0.00     0.00    0.00   54.60     0.00 21097.60   386.40     0.18    3.23   2.25  12.26
dm-7              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.00    1.90   1.90   0.38

11/12/15 15:56:38
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    30.60    0.20   64.60    51.20 17379.20   268.99     0.26    4.06   2.59  16.78
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    2.40     0.00    19.20     8.00     0.00    0.83   0.17   0.04
