Linux 2.6.32-504.12.2.el6.x86_64 (ATCA57-0-0-13) 	11/12/15 	_x86_64_	(2 CPU)

11/12/15 15:55:47
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.18    21.73    0.50   47.63    57.28  6645.91   139.28     0.15    3.02   2.46  11.84
sdb               6.21     0.00    0.20    0.00    51.27     0.00   255.75     0.00    0.97   0.97   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00    12.70     0.00    0.62   0.62   0.00
dm-0              0.00     0.00    0.02    0.15     0.48     1.17    10.01     0.01   38.92   1.44   0.02
dm-1              0.00     0.00    0.00    0.00     0.01     0.00     7.97     0.00    5.88   5.60   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     7.78     0.00    1.68   0.94   0.00
dm-3              0.00     0.00    0.06    1.27     1.85     9.36     8.42     0.00    2.29   1.51   0.20
dm-4              0.00     0.00    0.01    0.00     0.32     0.00    40.98     0.00    6.20   1.15   0.00
dm-5              0.00     0.00    0.15    4.87     1.48    38.95     8.06     0.01    2.92   1.35   0.68
dm-6              0.00     0.00    0.03   56.42     1.88  6595.43   116.87     0.15    2.59   1.97  11.10
dm-7              0.00     0.00    0.00    0.06     0.03     0.45     8.42     0.00    3.32   2.51   0.01

11/12/15 15:55:52
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    52.20    0.20   80.20    51.20  1766.40    22.61     0.22    2.73   2.37  19.02
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.00    1.44   1.44   0.26
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    1.00     0.00     8.00     8.00     0.00    0.40   0.20   0.02
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    4.40     0.00    35.20     8.00     0.02    3.50   1.27   0.56
dm-6              0.00     0.00    0.00  111.00     0.00  1694.40    15.26     0.23    2.07   1.62  18.02
dm-7              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.01    3.00   2.00   0.36

11/12/15 15:55:57
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    57.80    0.20   83.60    51.20  1873.60    22.97     0.23    2.79   2.28  19.08
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    0.00   0.00   0.00
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.01    6.89   1.44   0.26
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    2.60     0.00    19.20     7.38     0.02    9.31   2.38   0.62
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    4.40     0.00    35.20     8.00     0.01    2.64   1.36   0.60
dm-6              0.00     0.00    0.00  117.80     0.00  1793.60    15.23     0.25    2.15   1.52  17.96
dm-7              0.00     0.00    0.00    1.60     0.00    12.80     8.00     0.00    1.75   1.75   0.28

11/12/15 15:56:02
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    48.60    0.20   80.80    51.20  1761.60    22.38     0.22    2.77   2.35  19.00
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    3.40     0.00    27.20     8.00     0.01    2.29   1.53   0.52
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    1.40     0.00    11.20     8.00     0.00    1.00   0.14   0.02
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    6.00     0.00    48.00     8.00     0.01    2.47   1.30   0.78
dm-6              0.00     0.00    0.00  105.20     0.00  1664.00    15.82     0.23    2.18   1.67  17.60
dm-7              0.00     0.00    0.00    1.40     0.00    11.20     8.00     0.00    3.43   2.29   0.32

11/12/15 15:56:07
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    49.20    0.20   79.00    51.20  1684.80    21.92     0.21    2.64   2.26  17.86
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    0.00   0.00   0.00
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    3.20     0.00    25.60     8.00     0.01    1.81   1.37   0.44
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    2.00     0.00    14.40     7.20     0.00    1.60   1.60   0.32
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    4.80     0.00    38.40     8.00     0.01    1.67   1.13   0.54
dm-6              0.00     0.00    0.00  106.00     0.00  1604.80    15.14     0.22    2.05   1.60  16.92
dm-7              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

11/12/15 15:56:12
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    54.40    0.20   83.00    51.20  3032.00    37.06     0.24    2.89   2.37  19.70
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    2.80     0.00    22.40     8.00     0.01    3.64   1.93   0.54
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    1.00     0.00     8.00     8.00     0.00    0.40   0.20   0.02
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    5.60     0.00    44.80     8.00     0.02    3.86   1.86   1.04
dm-6              0.00     0.00    0.00  113.60     0.00  2944.00    25.92     0.25    2.20   1.63  18.56
dm-7              0.00     0.00    0.00    1.60     0.00    12.80     8.00     0.00    2.88   2.25   0.36

11/12/15 15:56:17
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    24.20    0.20   60.40    51.20 21300.80   352.34     0.23    3.78   2.57  15.58
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.01    4.00   2.80   0.56
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    2.00     0.00    14.40     7.20     0.02    8.20   3.30   0.66
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    5.00     0.00    40.00     8.00     0.02    3.40   1.36   0.68
dm-6              0.00     0.00    0.00   68.40     0.00 21224.00   310.29     0.21    3.10   2.11  14.40
dm-7              0.00     0.00    0.00    0.80     0.00     6.40     8.00     0.00    3.25   1.00   0.08

11/12/15 15:56:22
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.00    19.20    0.40   51.60    51.20 20723.20   399.51     0.19    3.63   2.67  13.86
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    4.00   4.00   0.08
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    2.80     0.00    22.40     8.00     0.01    2.14   1.64   0.46
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    1.00     0.00     8.00     8.00     0.01    6.00   1.20   0.12
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    5.80     0.00    46.40     8.00     0.01    2.17   1.03   0.60
dm-6              0.00     0.00    0.00   56.20     0.00 20646.40   367.37     0.18    3.28   2.25  12.66
dm-7              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

11/12/15 15:56:27
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    22.00    0.60   59.00    65.60 20867.20   351.22     0.22    3.72   2.66  15.86
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    3.20     0.00    25.60     8.00     0.01    2.31   1.37   0.44
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    2.00     0.00    14.40     7.20     0.00    2.00   2.00   0.40
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    4.20     0.00    33.60     8.00     0.01    2.57   1.52   0.64
dm-6              0.00     0.00    0.40   63.20    14.40 20779.20   326.94     0.21    3.31   2.19  13.92
dm-7              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.00    2.56   2.11   0.38

11/12/15 15:56:32
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    19.00    0.20   56.00    51.20 21224.00   378.56     0.21    3.82   2.64  14.86
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    3.40     0.00    27.20     8.00     0.01    2.47   1.24   0.42
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    1.20     0.00     9.60     8.00     0.00    1.33   0.33   0.04
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    4.80     0.00    38.40     8.00     0.02    4.75   1.67   0.80
dm-6              0.00     0.00    0.00   58.00     0.00 21132.80   364.36     0.21    3.57   2.38  13.78
dm-7              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.01    3.20   2.40   0.48

11/12/15 15:56:37
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    28.20    0.20   64.40    51.20 17060.80   264.89     0.22    3.42   2.39  15.46
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
