Linux 2.6.32-504.12.2.el6.x86_64 (ATCA57-0-0-5) 	11/12/15 	_x86_64_	(2 CPU)

11/12/15 15:56:32
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.18    22.24    0.50   47.26    57.62  6646.32   140.38     0.14    2.93   2.35  11.25
sdb               6.21     0.00    0.20    0.00    51.27     0.00   255.70     0.00    1.54   1.54   0.03
sdc               0.00     0.00    0.00    0.00     0.00     0.00    12.70     0.00    1.30   1.30   0.00
dm-0              0.00     0.00    0.02    0.14     0.59     1.15    10.71     0.01   37.66   1.43   0.02
dm-1              0.00     0.00    0.00    0.00     0.01     0.00     7.97     0.00    5.49   5.39   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     7.78     0.00    1.46   0.91   0.00
dm-3              0.00     0.00    0.06    1.27     1.83     9.36     8.42     0.00    2.22   1.47   0.19
dm-4              0.00     0.00    0.01    0.00     0.53     0.00    49.81     0.00    8.68   0.95   0.00
dm-5              0.00     0.00    0.15    4.83     1.49    38.61     8.06     0.01    2.85   1.35   0.67
dm-6              0.00     0.00    0.03   56.65     1.87  6596.33   116.41     0.14    2.50   1.85  10.49
dm-7              0.00     0.00    0.00    0.05     0.02     0.41     8.38     0.00    3.39   2.62   0.01

11/12/15 15:56:37
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    26.60    0.40   60.60    52.80 18182.40   298.94     0.23    3.80   2.53  15.42
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.00    1.56   1.11   0.20
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.20    1.80     1.60    14.40     8.00     0.01    2.70   2.70   0.54
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    5.00     0.00    40.00     8.00     0.04    7.20   2.12   1.06
dm-6              0.00     0.00    0.00   70.00     0.00 18102.40   258.61     0.22    3.11   2.07  14.52
dm-7              0.00     0.00    0.00    1.40     0.00    11.20     8.00     0.00    3.43   2.29   0.32

11/12/15 15:56:42
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    22.60    0.20   54.60    51.20 19168.00   350.72     0.21    3.86   2.62  14.34
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    1.60     0.00    12.80     8.00     0.00    3.00   0.75   0.12
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    1.40     0.00     9.60     6.86     0.00    0.43   0.14   0.02
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    5.40     0.00    43.20     8.00     0.02    4.33   2.41   1.30
dm-6              0.00     0.00    0.00   61.80     0.00 19089.60   308.89     0.21    3.33   2.23  13.78
dm-7              0.00     0.00    0.00    1.60     0.00    12.80     8.00     0.00    2.00   2.00   0.32

11/12/15 15:56:47
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    30.80    0.20   70.60    51.20 15752.00   223.21     0.24    3.40   2.60  18.38
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    4.00     0.00    32.00     8.00     0.01    2.45   1.05   0.42
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.00    1.50   1.50   0.30
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    6.40     0.00    51.20     8.00     0.02    2.38   1.56   1.00
dm-6              0.00     0.00    0.00   78.40     0.00 15635.20   199.43     0.23    2.88   2.14  16.78
dm-7              0.00     0.00    0.00    2.20     0.00    17.60     8.00     0.01    3.27   3.18   0.70

11/12/15 15:56:52
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.00    31.80    0.40   69.80    51.20 14280.00   204.15     0.21    3.06   2.53  17.78
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.00    2.44   2.44   0.44
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    2.40     0.00    17.60     7.33     0.00    1.58   1.58   0.38
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    4.40     0.00    35.20     8.00     0.01    2.86   1.82   0.80
dm-6              0.00     0.00    0.00   83.80     0.00 14211.20   169.58     0.21    2.48   1.99  16.70
dm-7              0.00     0.00    0.00    0.20     0.00     1.60     8.00     0.00    3.00   3.00   0.06

11/12/15 15:56:57
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
