Linux 2.6.32-504.12.2.el6.x86_64 (ATCA57-0-0-14) 	11/12/15 	_x86_64_	(2 CPU)

11/12/15 15:55:55
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.18    22.78    0.51   47.31    57.42  6658.82   140.47     0.14    2.87   2.30  11.01
sdb               6.21     0.00    0.20    0.00    51.27     0.00   255.77     0.00    1.56   1.56   0.03
sdc               0.00     0.00    0.00    0.00     0.00     0.00    12.70     0.00    0.91   0.90   0.00
dm-0              0.00     0.00    0.02    0.14     0.51     1.15    10.21     0.01   45.80   1.43   0.02
dm-1              0.00     0.00    0.00    0.00     0.01     0.00     7.97     0.00    5.61   5.46   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     7.78     0.00    1.64   0.93   0.00
dm-3              0.00     0.00    0.06    1.27     1.85     9.32     8.42     0.00    2.21   1.48   0.20
dm-4              0.00     0.00    0.01    0.00     0.36     0.00    44.35     0.00    6.62   1.08   0.00
dm-5              0.00     0.00    0.15    4.84     1.48    38.70     8.06     0.01    2.88   1.36   0.68
dm-6              0.00     0.00    0.04   57.22     1.90  6608.73   115.45     0.14    2.44   1.79  10.25
dm-7              0.00     0.00    0.00    0.05     0.02     0.40     8.37     0.00    3.29   2.60   0.01

11/12/15 15:56:00
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    52.80    0.20   78.80    51.20  1785.60    23.25     0.21    2.63   2.17  17.18
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    4.00   4.00   0.08
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.00    2.22   1.44   0.26
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    1.20     0.00     9.60     8.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    4.60     0.00    36.80     8.00     0.01    2.70   1.30   0.60
dm-6              0.00     0.00    0.00  110.00     0.00  1712.00    15.56     0.22    2.00   1.46  16.02
