Linux 2.6.32-504.12.2.el6.x86_64 (ATCA57-0-0-6) 	11/12/15 	_x86_64_	(2 CPU)

11/12/15 15:56:41
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.18    23.86    0.46   47.55    56.60  6668.44   140.08     0.14    2.96   2.38  11.44
sdb               6.20     0.00    0.20    0.00    51.20     0.00   255.78     0.00    1.56   1.56   0.03
sdc               0.00     0.00    0.00    0.00     0.00     0.00    12.70     0.00    0.64   0.64   0.00
dm-0              0.00     0.00    0.02    0.14     0.50     1.15    10.21     0.01   37.23   1.34   0.02
dm-1              0.00     0.00    0.00    0.00     0.01     0.00     7.96     0.00    5.17   4.96   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     7.77     0.00    1.48   0.87   0.00
dm-3              0.00     0.00    0.05    1.27     1.44     9.34     8.17     0.00    2.21   1.45   0.19
dm-4              0.00     0.00    0.01    0.00     0.31     0.00    44.83     0.00    5.66   1.22   0.00
dm-5              0.00     0.00    0.12    4.83     1.21    38.66     8.05     0.01    2.86   1.34   0.66
dm-6              0.00     0.00    0.04   58.54     1.90  6618.37   113.02     0.15    2.48   1.83  10.69
dm-7              0.00     0.00    0.00    0.05     0.02     0.39     8.37     0.00    3.31   2.58   0.01

11/12/15 15:56:46
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    32.40    0.20   59.40    51.20  8185.60   138.20     0.17    2.78   2.28  13.56
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.00    1.89   1.11   0.20
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    1.40     0.00    11.20     8.00     0.00    1.29   0.29   0.04
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    5.60     0.00    44.80     8.00     0.01    2.11   1.11   0.62
dm-6              0.00     0.00    0.00   73.40     0.00  8099.20   110.34     0.17    2.32   1.68  12.36
dm-7              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.00    1.60   1.60   0.32

11/12/15 15:56:51
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    41.80    0.20   78.00    51.20 21566.40   276.44     0.29    3.69   2.39  18.72
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    1.60     0.00    12.80     8.00     0.00    3.00   0.37   0.06
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    2.00     0.00    14.40     7.20     0.00    2.00   1.40   0.28
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    4.00     0.00    32.00     8.00     0.01    3.70   2.00   0.80
dm-6              0.00     0.00    0.00  101.00     0.00 21489.60   212.77     0.30    3.01   1.76  17.82
dm-7              0.00     0.00    0.00    2.40     0.00    19.20     8.00     0.01    2.83   2.00   0.48

11/12/15 15:56:56
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    17.40    0.20   51.00    51.20 20707.20   405.44     0.18    3.55   2.43  12.44
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    4.80     0.00    38.40     8.00     0.01    1.50   0.88   0.42
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    1.20     0.00     9.60     8.00     0.00    0.33   0.17   0.02
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    3.80     0.00    30.40     8.00     0.01    3.47   2.16   0.82
dm-6              0.00     0.00    0.00   52.40     0.00 20616.00   393.44     0.17    3.27   2.18  11.40
dm-7              0.00     0.00    0.00    1.40     0.00    11.20     8.00     0.01    4.00   3.43   0.48

11/12/15 15:57:01
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.00    20.00    0.40   57.20    51.20 20675.20   359.83     0.22    3.84   2.59  14.94
sdb               6.20     0.00    0.20    0.00    51.20     0.00   256.00     0.00    1.00   1.00   0.02
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    2.00     0.00    16.00     8.00     0.01    4.10   3.80   0.76
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    2.00     0.00    14.40     7.20     0.01    3.60   3.60   0.72
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    4.20     0.00    33.60     8.00     0.01    3.14   2.10   0.88
