procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 280188 170260 5304516 1034992    0    0    27   382    3    5  3  4 90  3  0	
 0  0 280188 168300 5304772 1036016    0    0    51   606 9759 7396  3  5 90  2  0	
 0  0 280188 167168 5305036 1037008    0    0    51   145 9825 7448  3  5 91  1  0	
 0  0 280188 165664 5305300 1037988    0    0    51  2154 10474 7765  6  8 79  6  0	
 1  0 280188 164356 5305564 1038980    0    0    51   234 9698 7494  3  5 91  2  0	
 0  0 280188 163108 5305828 1039952    0    0    51   274 9535 7610  5  8 86  1  0	
 0  0 280188 161984 5306096 1040948    0    0    51  2010 10214 7674  4  7 81  8  0	
 0  0 280188 161044 5306360 1041940    0    0    51   466 9794 7744  5  8 87  0  0	
 0  0 280188 159144 5306624 1042924    0    0    51   350 10150 7800  5  9 85  1  0	
 0  0 280188 158796 5306888 1043892    0    0    51  2050 10231 7444  3  6 84  7  0	
 3  0 280188 157440 5307152 1044868    0    0    51   345 10046 7543  3  5 91  1  0	
 2  1 280188 155960 5307416 1045820    0    0    51   326 9926 7773  6  8 86  0  0	
 0  1 280188 155076 5307680 1046800    0    0    51  1945 10191 7594  3  6 85  6  0	
 1  1 280188 151828 5307948 1047784    0    0    51   427 9954 7604  3  5 90  1  0	
 0  1 280188 152048 5308208 1048756    0    0    51   350 9823 7844  5  9 85  1  0	
 0  1 280188 150916 5308472 1049724    0    0    51  1995 10184 7568  3  5 85  7  0	
 3  1 280188 148016 5308736 1050716    0    0    51   415 9956 7649  3  6 90  1  0	
 1  0 280188 148544 5308996 1051708    0    0    51   261 10226 7910  5  8 87  1  0	
 0  0 280188 148172 5309260 1052672    0    0    51  2014 10327 7502  3  5 85  7  0	
 0  0 280188 146252 5309524 1053640    0    0    51   438 9953 7658  3  6 89  1  0	
 0  0 280188 145384 5309788 1054624    0    0    51   267 9613 7532  3  6 89  1  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 280188 144440 5310052 1055592    0    0    51  2011 9814 7370  2  4 88  6  0	
 0  0 280188 142144 5310316 1056572    0    0    51   422 10055 7754  4  8 86  2  0	
 1  0 280188 141672 5310580 1057548    0    0    51   262 9832 7586  4  6 89  1  0	
 0  3 280188 138804 5310840 1058516    0    0    51  1109 9986 7549  3  6 87  4  0	
 1  1 280188 139184 5311108 1059504    0    0    51  1210 10171 7635  4  8 85  3  0	
 3  1 280188 138208 5311368 1060480    0    0    51   369 9841 7418  2  5 92  1  0	
 0  2 280188 136060 5311632 1061456    0    0    51  1815 10541 7758  5  8 81  6  0	
 1  1 280188 135316 5311896 1062424    0    0    51   618 9643 7454  2  4 92  2  0	
 0  1 280188 133968 5312160 1063424    0    0    51   138 9505 7562  3  6 90  1  0	
 1  1 280188 132728 5312424 1064376    0    0    51  2181 9606 7341  3  7 83  7  0	
 0  1 280188 131008 5312692 1065364    0    0    51   266 9733 7519  3  5 91  1  0	
 0  1 280188 130512 5312952 1066348    0    0    51   370 9678 7410  2  4 93  1  0	
 0  1 280188 128380 5313216 1067312    0    0    51  1963 10388 7651  5  8 80  7  0	
 0  0 280188 128056 5313476 1068300    0    0    51   359 9867 7373  2  3 95  1  0	
 0  0 280188 125924 5313740 1069292    0    0    51   234 10101 7791  4  7 88  1  0	
 0  1 280188 125156 5314004 1070268    0    0    51  1892 9859 7496  3  5 85  7  0	
 0  0 280188 124360 5314268 1071236    0    0    51   702 9895 7472  2  4 92  2  0	
