procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0 1001120 123896 273940 281236    0    0    28  1710    2    5  8  9 79  5  0	
 4  0 1001120 122020 274212 281296    0    0    51  9734 20833 18100 37 32 27  3  0	
 8  2 1001120 118700 274504 281344    0    0    51   895 21257 20472 30 27 39  4  0	
 2  0 1001120 121508 274784 281396    0    0    51   858 20848 19602 33 33 31  3  0	
 6  0 1001120 121260 275084 281436    0    0    51   957 21620 20608 29 27 39  5  0	
 1  0 1001120 120664 275368 281488    0    0    51   930 21008 19555 33 33 31  3  0	
 0  0 1001120 120664 275652 281516    0    0    51   953 21451 20679 27 26 43  4  0	
 4  0 1001120 119904 275940 281568    0    0    51   926 21201 19630 33 33 31  3  0	
 1  0 1001120 119656 276248 281608    0    0    51   885 21389 20645 30 28 39  4  0	
 2  0 1001120 113872 276540 281656    0    0    51   921 21011 19782 33 33 31  4  0	
 2  0 1001120 118904 276832 281696    0    0    51  3898 21065 19344 34 29 33  5  0	
 1  0 1001120 118300 277112 281744    0    0    51 10705 21169 19094 34 28 34  4  0	
 1  1 1001120 128932 267016 281780    0    0    51 10557 20643 18780 36 31 31  2  0	
 3  0 1001120 128436 267304 281832    0    0    51 10188 21088 18223 36 28 34  3  0	
 4  0 1001120 128032 267592 281880    0    0    51 10620 20507 17830 38 31 29  2  0	
 3  1 1001120 127288 267880 281912    0    0    51  8723 21458 19912 33 27 38  3  0	
 4  1 1001120 126164 268164 281960    0    0    51 10382 20920 19136 36 30 31  3  0	
 2  0 1001120 126460 268448 281992    0    0    51  4107 21230 19919 31 27 38  4  0	
 1  0 1001120 126956 268728 282036    0    0    51 10758 20970 19169 34 29 34  4  0	
 4  0 1001120 126088 269016 282084    0    0    51 10324 21049 19622 33 28 35  4  0	
 5  1 1001120 126104 269300 282128    0    0    51 10577 21060 19125 34 29 35  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 1001120 125080 269596 282168    0    0    51 10327 21254 19573 32 29 35  3  0	
 1  0 1001120 125608 269872 282208    0    0    51   835 21485 20242 31 29 37  2  0	
 3  1 1001120 123840 270168 282256    0    0    51   934 21414 20485 28 27 41  4  0	
 5  1 1001120 121700 270456 282288    0    0    51   930 21491 20294 33 30 34  3  0	
 2  0 1001120 124244 270736 282332    0    0    51   922 21222 20338 29 28 39  5  0	
 1  0 1001120 124220 271020 282380    0    0    51   934 21294 20236 32 29 35  4  0	
 2  1 1001120 123756 271300 282416    0    0    51  2338 20962 19422 35 29 31  4  0	
 1  1 1001120 123492 271596 282456    0    0    51  9448 21294 19320 33 28 35  4  0	
 1  0 1001120 122888 271876 282500    0    0    51 10455 21255 19546 33 30 34  3  0	
 1  0 1001120 121732 272160 282548    0    0    51 10638 21210 19802 30 26 41  3  0	
 2  1 1001120 122484 272448 282584    0    0    51 10646 21046 19117 33 30 34  2  0	
 1  0 1001120 122516 272728 282628    0    0    51 10567 21630 20541 31 26 40  3  0	
 1  0 1001120 121756 273000 282664    0    0    51 10149 20832 19147 34 31 32  3  0	
 2  0 1001120 121508 273292 282704    0    0    51 10608 21088 20114 30 26 40  4  0	
 2  0 1001120 120748 273572 282756    0    0    51 10618 21046 19415 34 32 31  3  0	
 3  1 1001120 120872 273860 282784    0    0    51 10581 21422 20236 31 25 41  3  0	
 4  1 1001120 119144 274132 282832    0    0    51  8466 20781 19053 34 33 31  2  0	
 2  1 1001120 120036 274428 282860    0    0    51 10709 21384 20263 30 25 41  4  0	
 3  1 1001120 115848 274716 282908    0    0    51 10232 21133 19216 33 30 34  3  0	
 1  0 1001120 119384 274984 282944    0    0    51  6099 21310 19814 32 29 37  2  0	
 2  0 1001120 117904 275268 282992    0    0    51  5032 21361 19297 33 26 37  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 1001120 119012 275552 283036    0    0    51  5624 21121 18503 36 31 29  4  0	
 1  1 1001120 119308 275844 283076    0    0    51 10390 21291 19061 34 27 35  5  0	
 4  0 1001120 118532 276120 283120    0    0    51  5151 21093 19342 35 33 30  2  0	
 3  1 1001120 117788 276420 283160    0    0    51  6000 21401 19414 34 27 35  4  0	
 5  0 1001120 115912 276700 283220    0    0    51   878 21325 19891 33 31 34  2  0	
 4  0 1001120 116936 276992 283260    0    0    51  7050 21459 19119 33 27 36  4  0	
 4  0 1001120 116176 277272 283316    0    0    51 10308 21185 18405 36 30 32  3  0	
 1  0 1001120 116408 277564 283376    0    0    51  6991 21057 19451 32 29 36  3  0	
 1  0 1001120 125988 268788 282884    0    0    51   866 21078 19885 30 28 38  4  0	
 1  0 1001120 125476 269080 282944    0    0    51  2705 20916 19252 31 28 36  4  0	
 6  0 1001120 125244 269364 282976    0    0    51  5780 21209 19687 33 29 34  4  0	
 4  1 1001120 124608 269648 283360    0    0   120  5292 21005 18339 35 30 33  3  0	
 3  1 1001120 124128 269932 283396    0    0    51 10542 21183 18109 37 28 32  4  0	
 4  0 1001120 123756 270212 283440    0    0    51  3655 21251 20388 28 27 42  3  0	
