procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 1170292 124944 298940 244104    0    0    28  1698    3    2  9  9 77  5  0	
 6  1 1170292 119352 299216 244296    0    0    75   825 21723 20535 38 36 23  3  0	
 2  0 1170292 121532 299504 244324    0    0    51  7598 22625 20659 38 29 29  4  0	
 1  0 1170292 121672 299772 244380    0    0    51 10608 21476 19062 42 34 22  2  0	
 0  0 1170292 120960 300064 244416    0    0    51 10377 22524 20780 36 28 32  4  0	
 6  0 1170292 118028 300336 244472    0    0    51 10358 21658 19227 40 34 24  2  0	
 1  0 1170292 120456 300624 244512    0    0    51 10608 22623 20899 37 28 32  3  0	
 1  0 1170292 120596 300908 244568    0    0    51  8543 22320 20303 38 34 26  3  0	
 5  0 1170292 119564 301200 244604    0    0    51  8795 22676 21219 37 29 32  2  0	
 5  0 1170292 119852 301472 244644    0    0    51  5965 21836 20323 37 32 28  4  0	
 2  0 1170292 119340 301764 244692    0    0    51 10631 22243 20705 36 29 31  3  0	
 2  0 1170292 117208 302044 244732    0    0    51 10290 22174 20661 37 29 31  3  0	
 1  0 1170292 117712 302324 244776    0    0    51 10611 21852 20080 38 32 27  3  0	
 0  0 1170292 118720 302604 244844    0    0    51  6517 22566 21382 35 31 32  2  0	
 5  1 1170292 118364 302896 244880    0    0    51   908 22942 22039 34 31 31  4  0	
 3  1 1170292 117944 303188 244912    0    0    51   940 22547 21512 34 30 33  3  0	
 8  0 1170292 117612 303452 244964    0    0    51   890 22759 21819 33 31 33  3  0	
 1  0 1170292 117844 303740 245012    0    0    51   854 22415 21495 33 30 33  4  0	
 6  0 1170292 116728 304016 245040    0    0    51   892 22155 21377 34 30 31  4  0	
 5  0 1170292 115844 304300 245104    0    0    51  5336 22332 20723 36 30 30  4  0	
 2  1 1170292 116380 304580 245144    0    0    51  9476 21775 19796 40 32 25  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
