procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 986812 125664 228840 294268    0    0    28  1710    4    4  8  9 79  5  0	
 3  0 986812 122012 229156 294336    0    0    51   843 21298 20013 32 32 33  3  0	
 0  0 986812 122384 229472 294392    0    0    51   954 21645 20542 30 27 39  4  0	
 0  0 986812 122632 229800 294424    0    0    51   930 21247 19857 34 32 30  4  0	
 4  1 986812 119972 230112 294472    0    0    51   914 21469 20802 29 26 40  5  0	
 3  0 986812 121500 230428 294512    0    0    51   879 21425 20013 35 33 29  4  0	
 2  0 986812 121004 230752 294552    0    0    51   918 21342 20643 30 26 40  5  0	
 7  0 986812 118692 231044 294592    0    0    51   922 20977 19732 32 30 35  3  0	
 2  0 986812 119252 231340 294624    0    0    51   910 21618 20573 30 29 37  4  0	
 4  0 986812 120228 231656 294676    0    0    51  9526 21154 18331 36 30 31  3  0	
 1  0 986812 119476 231936 294720    0    0    51 10614 20702 18181 38 32 28  3  0	
 3  0 986812 119360 232232 294760    0    0    51 10248 21144 19365 33 27 37  4  0	
 5  0 986812 128544 222728 294640    0    0    51 10414 20649 18392 38 31 29  3  0	
 3  0 986812 128660 223040 294696    0    0    51  8796 21065 19532 31 27 38  4  0	
 4  0 986812 128288 223348 294740    0    0    51 10518 20687 18276 38 31 28  3  0	
 2  0 986812 128312 223656 294788    0    0    52  7012 21418 20425 31 27 38  3  0	
 6  0 986812 126312 223996 294836    0    0    51  7813 21224 19371 34 29 32  4  0	
 1  0 986812 127576 224300 294864    0    0    51 10573 21219 19508 34 27 35  3  0	
 3  0 986812 126468 224584 294908    0    0    58 10390 21127 19353 34 29 35  3  0	
 7  0 986812 126924 224884 294944    0    0    51 10424 21255 19393 34 29 34  4  0	
 4  0 986812 122536 225168 295000    0    0    51  4808 21474 20665 31 28 38  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 986812 126196 225500 295032    0    0    51   879 21108 20205 31 28 36  5  0	
 4  0 986812 125600 225816 295076    0    0    51   970 21310 20588 31 27 38  5  0	
 0  0 986812 125204 226116 295128    0    0    51   926 21534 20243 33 31 33  3  0	
 1  0 986812 124608 226456 295156    0    0    51   926 21621 20672 28 27 41  4  0	
 1  0 986812 124724 226804 295196    0    0    51   877 21433 20135 31 31 35  3  0	
 1  0 986812 123336 227144 295240    0    0    51  7430 21642 19218 34 28 34  4  0	
 0  0 986812 124104 227424 295284    0    0    51  8787 20406 18952 34 31 33  3  0	
 0  0 986812 123460 227732 295328    0    0    51 10626 21210 19679 32 27 37  3  0	
 2  0 986812 122996 228028 295372    0    0    51 10574 21119 19754 33 30 34  4  0	
 1  0 986812 122220 228324 295412    0    0    51 10632 21144 19816 32 26 39  3  0	
 1  0 986812 122996 228632 295452    0    0    51 10131 21275 19551 34 30 34  2  0	
 2  0 986812 121028 228932 295496    0    0    51 10614 21210 20078 30 26 41  3  0	
 1  0 986812 121632 229212 295532    0    0    51 10559 21093 19347 35 31 32  2  0	
 0  0 986812 120920 229528 295576    0    0    51 10618 21413 20230 30 26 41  3  0	
 2  0 986812 117980 229816 295612    0    0    51 10415 21163 19454 34 31 32  3  0	
 2  0 986812 120160 230120 295640    0    0    51  8731 21188 19965 32 26 38  4  0	
 2  0 986812 120368 230404 295696    0    0    51 10202 21061 19622 32 29 36  3  0	
 0  0 986812 119292 230692 295728    0    0    51 10402 20978 19705 32 29 37  3  0	
 2  0 986812 118072 230992 295768    0    0    51  6011 21546 18949 35 28 34  3  0	
 3  0 986812 119004 231316 295812    0    0    51   956 21163 19877 30 30 36  3  0	
 3  0 986812 118540 231632 295860    0    0    51  9921 21377 18925 34 27 36  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 986812 117492 231916 295904    0    0    51 10299 21025 18261 37 32 29  2  0	
 1  0 986812 117912 232224 295944    0    0    51  3262 21217 19782 31 26 38  5  0	
 4  0 986812 127404 221700 295288    0    0    51  3622 20731 18882 35 31 31  3  0	
 4  0 986812 128840 222020 295336    0    0    51  1276 21080 20169 31 28 38  4  0	
 1  0 986812 128180 222312 295388    0    0    51 10722 20697 18382 37 31 28  4  0	
 5  0 986812 127848 222612 295428    0    0    51 10134 21208 18746 35 27 35  3  0	
 8  0 986812 124916 222904 295476    0    0    51  3066 21546 20233 32 31 35  2  0	
