procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 1091688 125076 303740 284796    0    0    28  1703    2    1  8  9 79  5  0	
 1  0 1091688 122508 304020 284872    0    0    51 10418 20744 18288 37 31 29  3  0	
 1  1 1091688 122052 304300 284892    0    0    51 10256 21084 18893 36 31 30  3  0	
 2  0 1091688 121928 304580 285080    0    0    75 10563 21100 19093 32 27 36  4  0	
 1  0 1091688 121292 304860 285120    0    0    51  9242 21148 19012 37 32 29  2  0	
 1  0 1091688 121292 305152 285164    0    0    51  9794 20944 18840 33 29 34  4  0	
 2  1 1091688 120788 305432 285204    0    0    51  7712 21109 19563 33 31 33  3  0	
 2  0 1091688 120696 305720 285240    0    0    51  7329 21239 19514 31 27 38  4  0	
 1  0 1091688 119656 305996 285284    0    0    51 10442 21108 19204 35 31 31  3  0	
 4  0 1091688 119920 306280 285320    0    0    58 10412 21305 19682 31 27 38  4  0	
 3  1 1091688 116036 306560 285372    0    0    51 10620 21143 19481 33 27 36  4  0	
 3  0 1091688 119184 306844 285412    0    0    51  5138 21183 19952 33 30 35  3  0	
 3  0 1091688 118728 307132 285448    0    0    51   881 21499 20790 28 27 41  4  0	
 0  0 1091688 118456 307412 285492    0    0    51   950 20961 19693 32 32 32  3  0	
 1  1 1091688 117728 307696 285532    0    0    51   913 21487 20434 29 27 40  4  0	
 3  0 1091688 118044 307976 285564    0    0    51   854 21240 20024 33 31 33  3  0	
 5  1 1091688 117464 308264 285604    0    0    51   906 21476 20741 28 26 42  4  0	
 3  0 1091688 117604 308536 285652    0    0    51  7002 20906 18523 36 30 30  4  0	
12  0 1091688 114300 308824 285688    0    0    51  9605 21145 19637 33 29 35  3  0	
 4  0 1091688 126656 299964 285160    0    0    51 10644 21113 19335 33 31 33  3  0	
 5  1 1091688 125748 300252 285192    0    0    51 10623 21415 19996 32 29 36  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1 1091688 125548 300524 285228    0    0    51 10434 21232 19586 33 29 35  3  0	
 4  1 1091688 125276 300800 285276    0    0    51 10331 21199 19782 31 28 38  3  0	
 4  1 1091688 125028 301080 285312    0    0    51 10572 21074 19464 32 30 35  3  0	
 2  1 1091688 123168 301364 285344    0    0    51 10630 21459 20119 31 26 40  3  0	
21  1 1091688 121352 301644 285392    0    0    51 10417 20902 19363 33 30 35  3  0	
 5  0 1091688 123944 301920 285428    0    0    51 10626 21365 20203 31 28 38  3  0	
 2  0 1091688 124036 302200 285476    0    0    51  8629 21166 19760 33 28 35  3  0	
 1  0 1091688 123432 302480 285516    0    0    51 10301 21297 19804 33 30 34  3  0	
 5  0 1091688 123556 302760 285572    0    0    51 10263 21064 19681 30 29 38  3  0	
 0  0 1091688 122828 303040 285600    0    0    51  5833 21394 18831 36 29 32  3  0	
 1  1 1091688 122564 303328 285636    0    0    51   774 21418 20280 31 28 38  2  0	
 1  2 1091688 121796 303600 285672    0    0    51 10302 20708 18212 37 30 30  3  0	
 1  0 1091688 121952 303872 285724    0    0    51 10117 21205 18811 33 27 36  4  0	
 1  1 1091688 121416 304152 285756    0    0    51  3713 21289 19226 34 31 32  3  0	
 3  1 1091688 121332 304432 285808    0    0    51  2974 21430 20043 30 27 39  4  0	
 3  1 1091688 120928 304712 285856    0    0    51  2302 20955 19226 36 33 28  3  0	
 4  0 1091688 120912 304992 285888    0    0    51 10485 21335 19454 33 28 35  4  0	
 1  1 1091688 119928 305264 285940    0    0    51 10449 20984 18006 38 31 28  2  0	
 4  1 1091688 120192 305552 285964    0    0    51  1986 21495 20709 28 28 42  3  0	
 4  1 1091688 115128 305832 286008    0    0    51   885 21202 20051 30 28 38  4  0	
 0  0 1091688 128864 297480 285212    0    0    51  7413 20767 18594 35 29 32  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 1091688 128400 297764 285252    0    0    51  1687 21308 20687 28 25 42  4  0	
 1  0 1091688 128632 298036 285308    0    0    51  9532 20587 17714 39 31 26  3  0	
 2  0 1091688 127780 298328 285336    0    0    51  8386 21389 19363 34 26 37  3  0	
 2  0 1091688 127624 298608 285392    0    0    51   780 21249 19856 32 31 35  2  0	
 2  0 1091672 125524 298892 285432    0    0    51   885 21334 20577 29 28 39  4  0	
 1  0 1091672 125724 299180 285484    0    0    51   862 21275 19800 32 32 33  3  0	
 1  0 1091672 126392 299472 285532    0    0    51   898 21417 20682 28 26 42  4  0	
 1  1 1091672 126424 299756 285564    0    0    51  3884 20948 19077 34 30 32  4  0	
 1  0 1091672 125788 300036 285592    0    0    51 10558 21198 19233 33 28 34  5  0	
 3  0 1091672 125680 300308 285644    0    0    51  8570 21045 18502 37 30 31  2  0	
 1  0 1091672 125276 300596 285692    0    0    51  8530 21186 19000 34 28 34  3  0	
 3  0 1091672 124996 300876 285720    0    0    51  8582 21020 18221 36 31 31  2  0	
 7  0 1091672 121268 301164 285760    0    0    51 10327 21056 17082 40 29 28  3  0	
 8  0 1091672 121972 301444 285808    0    0    51  5475 21355 20027 30 28 39  3  0	
 4  1 1091672 123820 301716 285860    0    0    51  5342 21330 19400 34 27 36  3  0	
 5  1 1091672 123912 302004 285880    0    0    51 10366 21079 19117 35 28 33  5  0	
 1  0 1091672 123308 302272 285936    0    0    51 10609 20997 18892 35 29 32  3  0	
 1  0 1091672 123060 302552 285980    0    0    51 10327 20610 18744 36 27 35  2  0	
 3  0 1091672 122456 302832 286008    0    0    51 10027 20660 17936 38 29 31  2  0	
 2  0 1091672 121556 303124 286068    0    0    51 10419 20982 17976 38 29 30  2  0	
 2  0 1091672 121844 303404 286104    0    0    51 10406 21247 18442 37 30 30  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 1091672 121844 303696 286136    0    0    51 10378 21253 19009 34 26 36  3  0	
 2  0 1091672 121200 303980 286192    0    0    58 10222 20781 18407 36 31 31  2  0	
 1  1 1091672 121464 304268 286224    0    0    51 10318 21091 19031 32 26 38  4  0	
 1  0 1091672 120936 304540 286264    0    0    51 10602 20859 18680 35 30 33  3  0	
 0  0 1091672 120588 304824 286308    0    0    51  2357 20970 20181 29 28 40  3  0	
 5  0 1091672 119904 305104 286364    0    0    51   802 20950 19583 32 30 35  3  0	
 4  0 1091672 120068 305396 286376    0    0    51   893 21291 20440 30 27 39  4  0	
 5  0 1091672 117144 305668 286436    0    0    51  1349 21441 20421 29 26 41  4  0	
 1  0 1091672 119440 305932 286472    0    0    51   807 21272 19800 33 35 30  2  0	
 1  0 1091672 118852 306212 286508    0    0    51   885 21448 20565 28 26 42  5  0	
 3  1 1091672 119076 306492 286564    0    0    51  2312 20949 19195 35 33 28  4  0	
 2  0 1091672 118100 306772 286608    0    0    51 10807 21124 19852 29 26 39  6  0	
 6  0 1091672 118176 307044 286644    0    0    51 10261 20812 18943 35 31 31  3  0	
 3  1 1091672 117572 307332 286680    0    0    51 10250 21290 20018 31 25 40  4  0	
 3  0 1091672 116340 307612 286708    0    0    51 10423 20969 19119 33 30 35  3  0	
 2  0 1091672 116992 307892 286760    0    0    51 10630 21419 19846 32 27 37  4  0	
 4  1 1091672 116720 308164 286784    0    0    51 10559 21268 19584 33 29 36  2  0	
 1  0 1091672 116232 308436 286848    0    0    51 10406 21177 19675 32 28 37  3  0	
 3  1 1091672 125548 298804 286808    0    0    51 10420 21005 19480 32 29 35  3  0	
 0  0 1091672 125516 299084 286868    0    0    51 10624 21121 19588 32 28 37  3  0	
 2  0 1091672 125292 299356 286920    0    0    51 10553 21324 19600 32 29 36  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1 1091672 124772 299644 286952    0    0    51  8941 20934 19584 31 28 38  3  0	
 4  0 1091672 122748 299916 286992    0    0    51   746 21424 20407 30 28 39  3  0	
 1  1 1091672 123936 300196 287032    0    0    51   832 21037 19823 30 29 38  3  0	
 3  2 1091672 124036 300468 287076    0    0    51   971 21569 20619 29 28 39  4  0	
 0  0 1091672 132864 300732 277600    0    0    69   873 20593 19119 33 32 31  3  0	
 4  0 1091672 132972 301024 277640    0    0    51   948 20972 19877 31 30 34  5  0	
 0  0 1091672 132492 301304 277676    0    0    51   906 21157 19943 30 30 37  3  0	
 1  1 1091672 132460 301584 277728    0    0    51   954 21459 20494 30 28 39  4  0	
 2  0 1091672 131468 301860 277756    0    0    51   899 21201 20164 30 30 36  4  0	
 1  0 1091672 131584 302144 277800    0    0    51  6684 21154 18540 33 26 36  4  0	
 1  2 1091672 130740 302416 277844    0    0    51 10437 21002 17935 38 30 28  3  0	
 2  1 1091672 130864 302696 277868    0    0    51 10329 21537 19910 32 26 39  3  0	
 2  0 1091672 129624 302968 277928    0    0    51 10151 20945 18880 36 31 31  2  0	
 4  0 1091672 129764 303256 277960    0    0    51 10317 20998 19134 32 25 39  4  0	
 3  0 1091672 125832 303536 278008    0    0    51 10679 20562 17599 38 32 28  3  0	
 1  0 1091672 129516 303816 278036    0    0    51 10574 21284 18778 35 26 36  3  0	
 0  0 1091672 128732 304096 278092    0    0    51 10406 21036 18303 37 29 32  3  0	
 1  0 1091672 129104 304372 278128    0    0    51 10264 20962 18427 36 29 32  3  0	
 2  0 1091672 127384 304664 278180    0    0    51 10621 20954 18101 34 28 34  4  0	
 1  0 1091672 128020 304936 278216    0    0    51 10555 21125 18011 38 30 30  2  0	
 1  0 1091672 127524 305224 278260    0    0    51 10410 21266 18533 34 27 36  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 1091672 127756 305496 278300    0    0    51  4494 21222 19735 33 31 34  3  0	
13  1 1091672 124120 305784 278344    0    0    51   907 21073 20253 30 27 41  2  0	
 1  0 1091672 127244 306056 278384    0    0    51  1145 20860 19774 32 31 34  4  0	
 1  1 1091672 126912 306348 278428    0    0    58   561 21282 20528 28 27 42  4  0	
 6  0 1091672 126508 306612 278456    0    0    51   458 21060 19856 31 31 36  2  0	
 0  0 1091672 125888 306892 278504    0    0    51   700 21272 20486 29 27 41  3  0	
 2  0 1091672 124508 307164 278540    0    0    51   936 21392 20189 31 29 37  3  0	
 0  0 1091672 125044 307444 278584    0    0    51   852 21285 20314 29 27 39  4  0	
 6  0 1091672 121684 307716 278616    0    0    51   910 21330 20582 30 26 39  5  0	
 3  2 1091672 124284 307992 278660    0    0    51   923 21120 19862 32 30 34  4  0	
 0  2 1091672 124424 308268 278688    0    0    51   927 21321 20740 28 25 41  5  0	
 1  0 1091672 123648 308540 278732    0    0    51   858 21063 19713 32 32 33  3  0	
 6  0 1091672 123804 308828 278780    0    0    51   933 21741 20778 28 26 42  4  0	
 1  0 1091672 123168 309112 278820    0    0    51   874 21408 19892 31 32 33  3  0	
 0  1 1091672 123060 309396 278872    0    0    51   916 21630 20914 28 26 42  4  0	
 7  0 1091672 120532 309680 278904    0    0    51   855 20845 19414 32 32 33  3  0	
 0  1 1091672 122780 309960 278948    0    0    51   934 21172 20387 29 26 40  5  0	
 7  0 1091672 122308 310232 278984    0    0    51   930 20839 19827 31 30 35  3  0	
 3  1 1091672 122068 310512 279024    0    0    51   977 21168 20380 29 27 40  4  0	
 1  0 1091672 121200 310792 279064    0    0    51  5930 20628 17491 40 32 25  3  0	
 0  0 1091672 120920 311076 279108    0    0    51 10476 21346 19077 36 27 34  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 1091672 117664 311356 279152    0    0    51   813 21569 20119 31 30 36  2  0	
