procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 962072 122820 212652 297152    0    0    28  1710    5    4  8  9 79  5  0	
 3  0 962072 120044 212996 297228    0    0    51   842 21295 19998 32 30 34  4  0	
 2  0 962072 120036 213352 297280    0    0    51   918 21365 20222 33 31 33  3  0	
 6  1 962072 119004 213696 297316    0    0    51   958 21357 20142 32 30 34  4  0	
11  1 962072 115228 214048 297352    0    0    51   881 21574 20410 31 29 36  3  0	
 0  1 962072 118228 214396 297400    0    0    51   901 21588 20200 32 30 35  3  0	
 0  0 962072 118492 214732 297440    0    0    51   848 21773 21027 28 27 41  4  0	
 6  0 962072 117780 215028 297492    0    0    51  8426 21169 18669 37 31 28  4  0	
 1  0 962072 117516 215324 297528    0    0    51 10612 21230 18945 36 27 34  3  0	
 3  1 962072 127932 204184 297256    0    0    52 10395 20817 18367 38 32 27  3  0	
 1  1 962072 128180 204504 297304    0    0    51 10565 21091 18928 35 27 35  4  0	
 3  0 962072 126296 204828 297336    0    0    51  9619 20852 18738 35 31 30  3  0	
 6  0 962072 124008 205160 297376    0    0    60  9501 21677 19216 35 29 34  2  0	
 2  1 962072 126296 205464 297468    0    0    51  8001 21300 19377 33 31 33  2  0	
 1  1 962072 126468 205776 297508    0    0    51  6962 21775 19786 33 28 36  3  0	
 0  0 962072 125856 206072 297544    0    0    58 10451 20945 18522 35 32 30  3  0	
 5  0 962072 122560 206368 297600    0    0    51 10396 21412 19553 34 27 36  4  0	
 2  1 962072 125104 206656 297640    0    0    51 10599 21437 19405 34 30 32  3  0	
 1  0 962072 125104 206980 297664    0    0    51  5528 21600 20644 31 26 39  4  0	
 5  0 962072 121180 207332 297704    0    0    51   889 21531 20298 31 30 35  4  0	
 2  0 962072 124616 207632 297764    0    0    51   934 21945 20678 29 28 39  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1 962072 123964 207988 297792    0    0    51   944 22022 20634 31 29 36  4  0	
 2  0 962072 124004 208328 297840    0    0    51   853 21735 20501 31 30 36  4  0	
 2  0 962072 123368 208652 297892    0    0    51   874 22077 20741 30 30 37  3  0	
 1  0 962072 123260 208944 297920    0    0    51  7026 21356 18555 36 29 30  4  0	
 0  0 962072 122484 209240 297964    0    0    51  9611 21242 19917 33 29 35  4  0	
 1  1 962072 122220 209548 298016    0    0    51 10646 21117 19797 33 29 35  4  0	
 1  0 962072 120864 209852 298048    0    0    51 10422 21100 19643 32 29 36  3  0	
 2  1 962072 121872 210156 298084    0    0    51 10620 21565 19690 33 31 34  3  0	
 0  0 962072 121268 210448 298136    0    0    51 10297 21523 19961 30 27 40  3  0	
