procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 918508 116416 226344 329284    0    0    28  1713    1    2  8  8 79  5  0	
 1  0 918508 124304 216656 329128    0    0    51 10417 20693 18446 37 30 30  3  0	
 0  0 918508 123924 216968 329160    0    0    51 10553 21082 19256 35 29 33  3  0	
 0  0 918508 123708 217272 329204    0    0    51  8741 20721 19260 35 30 31  4  0	
 0  0 918508 123196 217584 329248    0    0    51  9001 20851 19464 35 28 34  3  0	
 4  0 918508 122964 217912 329280    0    0    51  5581 21269 19523 34 29 34  3  0	
 3  0 918508 122436 218212 329336    0    0    58 10610 21065 19442 33 27 37  3  0	
 1  0 918508 122484 218516 329496    0    0    75 10373 20991 18910 35 32 30  3  0	
 0  0 918508 121576 218816 329536    0    0    51 10613 21239 19606 32 27 38  3  0	
 2  0 918508 121940 219120 329556    0    0    51  7324 21154 19880 32 30 35  3  0	
 1  0 918508 119576 219432 329616    0    0    51   903 21191 20560 29 26 42  4  0	
 1  0 918508 117428 219764 329664    0    0    51   910 21415 20554 32 32 32  5  0	
 2  0 918508 120376 220100 329688    0    0    51   938 21410 20803 28 27 40  5  0	
 2  0 918508 120716 220416 329752    0    0    51   917 21590 20619 30 29 37  4  0	
 1  0 918508 119756 220724 329784    0    0    51   843 21446 20325 30 29 38  3  0	
 3  1 918508 119980 221064 329824    0    0    51  4908 21158 19760 33 28 35  4  0	
 1  0 918508 119128 221372 329868    0    0    51  9463 20957 19045 33 29 34  3  0	
 1  1 918508 119088 221684 329928    0    0    51 10669 21121 19907 32 27 37  4  0	
 0  0 918508 118220 221980 329956    0    0    51 10376 21248 19766 34 29 34  3  0	
 3  0 918508 118500 222272 329992    0    0    51 10607 21280 19980 30 26 40  4  0	
 2  0 918508 117880 222552 330040    0    0    51 10141 21011 19627 34 32 32  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1 918508 118128 222856 330072    0    0    51 10630 21148 19677 31 27 39  3  0	
 1  0 918508 116880 223132 330128    0    0    51 10562 21068 19515 35 31 32  3  0	
 6  0 918508 117020 223444 330176    0    0    51 10627 21124 19938 30 27 39  4  0	
 1  1 918508 130548 209668 329988    0    0    53 10605 20291 18655 36 32 29  2  0	
 3  0 918508 130308 209968 330024    0    0    51  8653 21156 19969 30 28 38  4  0	
 4  1 918508 125888 210268 330072    0    0    51 10348 21272 20166 31 27 38  4  0	
 1  0 918508 129704 210580 330108    0    0    51 10567 20776 19144 34 29 34  3  0	
