procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1 1015328 115864 178944 262072    0    0    28  1708    5    2  8  9 78  5  0	
 4  0 1015328 116104 179364 262160    0    0    51   882 21999 21164 40 34 23  3  0	
 2  1 1015328 116600 179764 262208    0    0    51   922 22843 22116 36 30 31  3  0	
 0  0 1015328 125396 170300 262140    0    0    51   858 22173 20950 39 34 23  3  0	
 5  0 1015328 125776 170676 262196    0    0    51   888 22892 22275 37 30 29  3  0	
 1  1 1015328 124544 171076 262236    0    0    51  1516 22252 20941 41 36 20  3  0	
 2  0 1015328 124916 171408 262292    0    0    51 10446 22647 20712 42 29 26  2  0	
 2  0 1015328 123504 171724 262344    0    0    51 10566 21126 19318 45 34 19  2  0	
 8  1 1015328 120728 172072 262376    0    0    58 10429 22330 20615 42 31 24  3  0	
 7  0 1015328 119092 172420 262408    0    0    51 10407 21702 19751 44 32 21  3  0	
 3  0 1015328 123264 172768 262468    0    0    51  8726 22013 20548 43 32 24  2  0	
 1  0 1015328 122668 173116 262520    0    0    51 10366 22559 20834 41 32 25  2  0	
 1  0 1015328 122288 173524 262548    0    0    51  5499 22399 21672 40 33 25  3  0	
 2  0 1015328 121304 173932 262624    0    0    51  9134 22667 21003 41 31 25  2  0	
 4  0 1015328 121908 174268 262680    0    0    51 10414 22033 20534 42 33 23  2  0	
 5  0 1015328 120916 174584 262728    0    0    51 10308 22626 21177 39 29 29  3  0	
 2  1 1015328 120784 174908 262768    0    0    51 10604 21945 20314 43 33 22  2  0	
 0  1 1015328 120188 175276 262808    0    0    51  3521 22540 22024 34 29 33  4  0	
 9  0 1015328 116380 175656 262836    0    0    51   898 22784 22177 38 32 27  3  0	
 4  1 1015328 119296 176068 262904    0    0    51   886 22672 21791 38 32 28  2  0	
 0  0 1015328 119328 176488 262948    0    0    51   903 23142 22421 36 29 32  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 1015328 118552 177016 262996    0    0    70   910 22257 21050 40 34 23  3  0	
 1  0 1015328 118832 177412 263028    0    0    51   894 23152 22596 35 28 32  4  0	
 4  0 1015328 117204 177760 263092    0    0    51  7628 21869 19582 46 35 17  2  0	
 1  0 1015328 117328 178116 263124    0    0    51  9667 22765 22051 37 29 31  4  0	
 7  0 1015328 114328 178456 263180    0    0    51 10420 21726 20411 42 35 22  2  0	
 4  0 1015328 116724 178792 263216    0    0    51 10629 22649 21423 39 32 26  2  0	
 1  0 1015328 126272 169232 262900    0    0    51 10558 22110 20689 40 33 25  2  0	
 3  0 1015328 126488 169568 262948    0    0    51 10255 22877 21756 40 31 26  3  0	
 0  0 1015328 125280 169936 262996    0    0    51 10438 22428 21092 41 32 25  2  0	
 2  0 1015328 125744 170280 263032    0    0    51 10603 22590 21397 39 30 29  2  0	
 5  0 1015328 122504 170584 263388    0    0   114 10558 22263 21333 40 30 28  2  0	
 4  0 1015328 121340 170932 263440    0    0    51 10225 22524 21686 38 31 28  3  0	
 3  0 1015328 123792 171288 263488    0    0    51  8682 22350 21137 39 30 28  3  0	
 4  0 1015328 123544 171620 263520    0    0    52 10318 22327 21057 39 32 27  3  0	
 1  0 1015328 122660 171960 263568    0    0    51  9747 22521 21374 39 31 28  2  0	
 3  0 1015328 122552 172340 263608    0    0    51  5781 22335 20511 42 32 24  3  0	
 2  0 1015328 122040 172712 263664    0    0    51   895 22360 21610 37 32 27  4  0	
 3  0 1015328 122164 173032 263696    0    0    51 10161 22222 19977 43 32 23  2  0	
 0  1 1015328 119784 173392 263740    0    0    58 10070 22422 20349 42 30 25  3  0	
 4  0 1015328 120940 173756 263780    0    0    51  3265 22142 20707 41 33 24  3  0	
 3  0 1015328 120568 174128 263824    0    0    51  3568 22780 21633 39 30 29  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 1015328 117628 174540 263868    0    0    51   870 22310 21495 40 33 24  3  0	
 2  0 1015328 119692 174896 263916    0    0    51 10796 22574 20245 42 29 27  2  0	
 4  0 1015328 119288 175244 263952    0    0    51  9920 22015 19316 46 33 19  2  0	
 1  0 1015328 118204 175624 264016    0    0    51  3518 22401 21386 38 34 26  2  0	
 4  0 1015328 115156 176040 264052    0    0    51   908 23106 22459 36 30 30  4  0	
 2  1 1015328 117460 176404 264104    0    0    51  6117 22281 20173 43 35 20  3  0	
 1  0 1015328 117716 176836 264140    0    0    51  2884 22705 22259 35 28 33  4  0	
 1  0 1015328 126984 167348 264040    0    0    51  7346 21651 19005 46 34 18  3  0	
 5  1 1015328 126752 167696 264080    0    0    51 10458 22764 20617 40 29 28  3  0	
17  0 1015328 125628 168048 264124    0    0    51   904 21939 21107 39 33 25  2  0	
 0  0 1015328 125652 168424 264172    0    0    51   912 22898 22392 35 30 32  3  0	
