procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 859976 124700 201840 332016    0    0    28  1709    1    1  8  9 79  5  0	
 4  0 859976 121148 202156 332092    0    0    52  9289 22455 22381 42 35 20  2  0	
 6  1 859976 121512 202448 332136    0    0    51  9591 22722 21748 45 34 19  2  0	
 0  0 859976 120644 202760 332180    0    0    51  7876 22962 23233 41 32 23  3  0	
 2  0 859976 120412 203080 332232    0    0    51  6935 22736 22571 42 34 21  3  0	
 2  0 859976 120132 203400 332268    0    0    51 10626 22252 21967 43 34 21  2  0	
 4  0 859976 118108 203704 332312    0    0    51 10278 23083 23011 40 31 27  2  0	
 6  0 859976 115992 204020 332356    0    0    51 10415 22362 22262 41 35 22  3  0	
 5  0 859976 119032 204328 332396    0    0    51  5672 23157 23673 37 32 28  3  0	
 3  0 859976 118296 204668 332412    0    0    51   911 22717 23356 38 35 23  4  0	
 4  0 859976 118652 205004 332480    0    0    51   898 23167 23975 38 32 27  3  0	
 2  1 859976 118032 205356 332516    0    0    51   894 22926 23409 39 35 22  4  0	
 2  0 859976 117924 205712 332556    0    0    58   919 23328 24082 38 32 25  5  0	
 4  1 859976 117196 206048 332592    0    0    51   874 23001 23280 39 35 23  3  0	
 4  1 859976 117064 206384 332648    0    0    51  5508 22896 23035 42 31 24  3  0	
 3  0 859976 116072 206696 332684    0    0    51  9610 22659 22122 43 34 22  2  0	
 2  0 859976 115304 207004 332724    0    0    51 10627 23139 23569 37 30 30  3  0	
 3  1 859976 122168 197216 332604    0    0    52 10609 22533 22589 40 35 22  2  0	
 0  1 859976 126116 197532 332648    0    0    51 10571 22771 23292 39 31 27  3  0	
 5  0 859976 125232 197824 332696    0    0    51 10045 22643 22924 40 34 24  2  0	
 2  0 859976 125248 198108 332732    0    0    51 10624 22599 22965 41 33 24  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  2 859976 124472 198412 332768    0    0    51 10614 22500 22725 40 33 25  2  0	
12  0 859976 124256 198700 332816    0    0    51 10341 22706 22478 42 36 21  1  0	
 4  0 859976 120928 199012 332864    0    0    51 10630 23092 23227 39 32 27  2  0	
 2  0 859976 123992 199324 332900    0    0    51  8674 22632 22597 41 34 23  2  0	
 0  0 859976 122892 199648 332936    0    0    51 10328 22796 23213 39 31 26  3  0	
 1  0 859976 122984 199940 332984    0    0    51 10358 22326 22370 42 34 21  2  0	
 1  0 859976 122272 200264 333016    0    0    51  5584 22706 22586 40 31 26  3  0	
 3  0 859976 122240 200600 333052    0    0    51  2282 22609 22892 42 34 20  3  0	
 0  1 859976 121736 200908 333104    0    0    51  8502 22944 22388 41 31 25  3  0	
13  0 859976 117084 201216 333144    0    0    51 10062 22887 22080 42 31 25  2  0	
 1  0 859976 121372 201552 333188    0    0    51  3399 22615 23035 40 34 22  3  0	
 7  0 859976 120744 201864 333216    0    0    51  5092 23145 22935 39 30 27  3  0	
 5  0 859976 120232 202236 333264    0    0    51   892 22413 23156 41 36 21  3  0	
 5  0 859976 120528 202548 333300    0    0    51  9214 22952 22230 42 31 24  3  0	
 3  0 859976 119280 202844 333352    0    0    51 10322 22042 20835 46 36 16  3  0	
 5  0 859976 119296 203180 333388    0    0    51  4686 22823 23431 38 31 28  4  0	
13  1 859976 115480 203512 333428    0    0    51   910 22682 23042 39 35 23  3  0	
 7  0 859976 118800 203856 333468    0    0    51  4093 22979 23047 39 31 27  3  0	
 3  1 859976 118048 204216 333512    0    0    51  4876 22642 22693 40 33 24  3  0	
 3  0 859976 118404 204568 333552    0    0    51  6187 22340 21448 46 34 18  3  0	
 8  1 859976 115124 204876 333596    0    0    51 10024 22466 21865 42 30 25  2  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 859976 116924 205236 333632    0    0    51  2495 22528 23291 40 34 22  3  0	
 2  0 859976 115824 205580 333692    0    0    51   899 22714 23932 36 30 28  6  0	
 8  0 859976 126448 196452 332556    0    0    51   890 22556 23143 38 36 22  4  0	
 2  0 859976 125720 196800 332596    0    0    51   932 23141 24035 36 31 29  4  0	
 4  0 859976 125860 197140 332636    0    0    51   834 22903 23608 38 32 27  3  0	
 2  1 859976 125116 197456 332684    0    0    53  8067 22848 22490 41 32 24  3  0	
 3  1 859976 125364 197780 332724    0    0    51  9446 22883 22343 42 33 22  3  0	
 1  0 859976 124348 198100 332760    0    0    52  9054 22427 21736 42 32 22  3  0	
 1  0 859976 124380 198404 332804    0    0    51  7018 22453 21753 43 33 22  2  0	
 3  0 859976 123604 198760 332844    0    0    51 10244 22381 21284 45 32 21  3  0	
 3  0 859976 123704 199060 332900    0    0    51 10062 22565 21384 44 33 20  3  0	
 5  0 859976 119836 199416 333092    0    0    80  1874 22978 23842 37 31 29  3  0	
 2  0 859976 120672 199748 333112    0    0    51  8631 22671 21940 42 33 22  3  0	
 1  0 859976 122008 200056 333160    0    0    51 10428 22304 21812 43 33 23  2  0	
 1  0 859976 122636 200388 333192    0    0    51 10197 22700 22097 42 31 24  3  0	
 6  0 859976 119760 200712 333232    0    0    51 10230 22058 21204 44 35 20  2  0	
 2  0 859976 121884 201032 333296    0    0    51 10375 22521 21278 44 33 21  2  0	
 5  1 859976 120536 201340 333324    0    0    51  9793 22226 21418 44 34 20  2  0	
 2  0 859976 120612 201668 333372    0    0    51 10172 22764 22469 43 31 24  3  0	
 6  0 859976 120172 201984 333416    0    0    51 10241 22254 20886 45 35 17  2  0	
 3  1 859976 120048 202300 333456    0    0    51 10622 23021 22550 41 29 27  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1 859976 119644 202620 333496    0    0    51 10270 22203 21386 44 35 20  2  0	
 2  0 859976 119428 202928 333528    0    0    51  9502 23131 23268 37 30 30  3  0	
12  0 859976 116464 203268 333580    0    0    51   925 22547 23347 39 33 24  4  0	
 1  1 859976 118940 203640 333616    0    0    51   881 22867 23707 37 31 27  5  0	
 1  0 859976 116652 203996 333668    0    0    51  1266 22743 23262 38 33 25  4  0	
 1  0 859976 118320 204340 333700    0    0    51   901 22801 23297 37 33 25  4  0	
 4  0 859976 117444 204700 333724    0    0    51   911 23184 24027 36 31 29  4  0	
 2  1 859976 117560 205032 333788    0    0    51   878 22433 22754 39 35 22  4  0	
 4  1 859976 116552 205388 333808    0    0    51  3398 23195 23680 37 31 28  5  0	
 6  0 859976 127088 196080 332996    0    0    51 10391 22208 21884 41 37 20  2  0	
 1  0 859976 126872 196152 333032    0    0     0 10287 22587 22840 38 30 29  4  0	
 2  2 859976 126980 196728 333084    0    0   102 10283 21972 22085 42 35 21  3  0	
 2  0 859976 125476 197056 333108    0    0    51 10358 22519 22699 39 31 27  3  0	
 4  0 859976 121584 197368 333152    0    0    58 10637 22257 22346 39 33 26  3  0	
 8  0 859976 125368 197668 333192    0    0    51 10624 22752 22881 39 31 27  3  0	
 1  1 859976 124872 197976 333224    0    0    51 10004 22943 23102 37 31 30  3  0	
 4  0 859976 123748 198276 333820    0    0   162 10576 22552 22308 41 35 22  2  0	
 5  0 859976 123392 198580 333868    0    0    51 10612 22850 22881 37 31 29  3  0	
 2  0 859976 122608 198896 333904    0    0    51 10426 22225 22052 41 34 23  2  0	
 0  1 859976 122896 199224 333952    0    0    51  8442 22593 22957 36 30 30  3  0	
 3  0 859976 120392 199600 333980    0    0    51   864 22681 23230 38 31 26  5  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 859976 122284 199960 334040    0    0    51   890 22972 23316 36 32 27  5  0	
 2  1 859976 121292 200328 334064    0    0    51   984 22732 23306 37 33 27  4  0	
 0  1 859976 121508 200704 334124    0    0    51   896 22615 23152 37 33 26  4  0	
 5  0 859976 120672 201068 334152    0    0    51   814 22568 23092 36 32 27  4  0	
 2  0 859976 120616 201448 334192    0    0    51   906 22534 23091 37 31 28  5  0	
 3  0 859976 116500 201812 334232    0    0    51   886 22537 22927 38 33 24  5  0	
 5  1 859976 119524 202184 334276    0    0    51   959 22840 23429 37 32 26  5  0	
 0  0 859976 118904 202488 334328    0    0    51  5007 22719 21839 41 28 26  5  0	
