procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1 973700 120632 215572 298976    0    0    28  1704    3    6  8  9 78  5  0	
 3  0 973700 116336 215920 299100    0    0    51   886 21148 20029 30 30 37  3  0	
 3  1 973700 117740 216248 299144    0    0    51   926 21378 20222 31 30 35  4  0	
 1  0 973700 116980 216580 299188    0    0    51  3040 21059 19549 33 28 35  3  0	
 3  0 973700 116584 216916 299236    0    0    51 10724 20817 18417 37 29 30  4  0	
 2  0 973700 115972 217220 299280    0    0    51 10629 20824 18972 34 27 36  3  0	
 5  0 973700 124652 208936 298824    0    0    51 10392 20461 18011 38 29 30  3  0	
 2  0 973700 123040 209260 298872    0    0    51 10343 21039 18810 36 28 34  2  0	
 3  0 973700 124272 209560 298908    0    0    51  8726 21285 19391 35 31 31  3  0	
 0  0 973700 123172 209860 299116    0    0    83 10455 21218 19443 34 27 35  3  0	
 8  0 973700 123148 210172 299168    0    0    51  3674 21241 19854 33 31 34  2  0	
 1  0 973700 122436 210492 299204    0    0    51 10907 21198 19444 32 27 36  5  0	
 4  0 973700 122412 210804 299228    0    0    51 10614 21141 19756 35 29 32  4  0	
 1  0 973700 121692 211112 299272    0    0    51 10349 20827 19326 33 26 37  4  0	
 8  1 973700 115324 211408 299336    0    0    51 10392 20295 18963 35 31 31  3  0	
 1  0 973700 121312 211716 299376    0    0    51  1577 21373 20497 30 28 39  3  0	
 2  0 973700 121312 212044 299408    0    0    51   906 21453 20684 29 26 41  4  0	
 0  0 973700 120676 212416 299444    0    0    51   942 21091 19981 32 31 34  3  0	
 1  1 973700 120320 212772 299492    0    0    51   909 21510 20776 28 26 42  4  0	
 0  0 973700 119932 213112 299540    0    0    51   831 21025 19777 32 31 34  4  0	
 1  0 973700 119980 213428 299572    0    0    51   894 21327 20662 28 25 41  5  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 973700 119452 213760 299620    0    0    51  9930 20943 18161 37 31 27  5  0	
 0  0 973700 119204 214072 299668    0    0    51 10050 21191 20100 31 25 39  5  0	
 4  0 973700 117244 214380 299720    0    0    51 10609 20768 19178 32 30 36  3  0	
 5  0 973700 118460 214692 299744    0    0    58 10639 21305 19940 31 27 39  4  0	
 2  1 973700 117996 214984 299788    0    0    51 10638 20829 19425 33 30 34  3  0	
 2  0 973700 117452 215296 299828    0    0    51 10026 21289 20063 31 27 39  3  0	
 2  0 973700 116748 215592 299880    0    0    58 10601 20887 19318 32 31 33  3  0	
 4  1 973700 116740 215888 299892    0    0    51 10613 21163 19994 32 26 38  4  0	
 3  1 973700 122512 207852 298648    0    0    52 10614 21027 19676 32 29 35  3  0	
 5  2 973700 122712 208156 298664    0    0    51  8585 20966 19967 31 26 40  3  0	
 3  0 973700 125172 208472 298708    0    0    51 10614 21462 20116 31 27 38  3  0	
 0  0 973700 125064 208784 298756    0    0    51 10320 21122 19339 34 31 32  2  0	
 0  0 973700 124536 209096 298796    0    0    51  6814 21343 20188 31 28 38  3  0	
 1  0 973700 124568 209416 298836    0    0    51  5779 21125 18993 37 29 31  3  0	
 1  0 973700 123172 209760 299376    0    0   151  4150 21316 19163 34 28 34  4  0	
 4  0 973700 123196 210080 299396    0    0    51 10468 21192 18640 37 29 30  4  0	
 1  0 973700 122428 210384 299472    0    0    51  6569 21139 19804 32 28 37  3  0	
 5  0 973700 122304 210704 299496    0    0    51  5967 20974 18582 36 28 32  4  0	
 2  0 973700 120552 211036 299548    0    0    51   817 21490 20576 29 27 40  3  0	
 1  0 973700 121560 211380 299572    0    0    51  5651 21002 18926 35 30 31  3  0	
 2  0 973700 121096 211664 299628    0    0    51 10209 21361 19202 35 27 35  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 973700 121080 211992 299676    0    0    51  8546 21474 19701 34 30 33  3  0	
 1  0 973700 120352 212312 299700    0    0    51   731 21435 20553 29 27 41  3  0	
 7  1 973700 116180 212692 299732    0    0    51  1320 21206 19874 33 29 34  4  0	
 2  0 973700 119492 213032 299784    0    0    51  7174 20861 19075 34 28 34  5  0	
 1  0 973700 119848 213364 299836    0    0    51  4011 20719 18973 35 28 35  3  0	
 1  0 973700 118624 213684 299880    0    0    51 10564 20951 17919 38 29 28  4  0	
 2  0 973700 119120 214012 299900    0    0    51  4838 21519 20632 29 26 42  3  0	
 1  0 973696 128008 204176 299904    0    0    51   826 21243 19995 32 32 33  3  0	
 0  1 973696 128272 204552 299940    0    0    51   892 21481 20464 30 29 39  3  0	
 4  0 973696 127388 204900 299992    0    0    51   859 20919 19663 31 31 34  4  0	
