procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0 961176 122276 257032 309228    0    0    28  1714    1    3  8  8 79  5  0	
 3  0 961176 119904 257312 309308    0    0    51  4086 21285 20012 33 31 33  3  0	
 3  0 961176 119640 257620 309344    0    0    51 10582 21366 19274 33 28 35  4  0	
 1  0 961176 119292 257908 309384    0    0    51 10562 21250 19511 34 31 33  3  0	
 6  0 961176 117144 258212 309440    0    0    51 10337 21166 19119 34 28 35  3  0	
 4  0 961176 118648 258492 309480    0    0    51 10614 20913 19136 36 30 31  3  0	
 2  0 961176 118432 258784 309508    0    0    51  1864 21283 20775 29 25 42  4  0	
10  0 961176 115452 259084 309564    0    0    51   874 21308 20526 32 29 35  5  0	
 5  0 961176 128468 250100 308532    0    0    51   957 21137 20346 31 29 36  4  0	
 3  1 961176 127956 250396 308580    0    0    51   923 21541 20355 31 29 36  4  0	
 6  1 961176 127724 250692 308616    0    0    51   924 21469 20699 32 29 36  3  0	
 1  0 961176 127568 250972 308672    0    0    51   879 21466 20400 30 29 38  4  0	
 1  0 961176 127196 251268 308700    0    0    51  9908 21250 18678 37 28 31  4  0	
 0  0 961176 126444 251560 308756    0    0    51  9887 21112 19618 32 28 36  5  0	
 0  0 961176 126468 251852 308784    0    0    51 10435 20916 19312 35 29 32  3  0	
 0  0 961176 125616 252136 308824    0    0    58 10566 21097 20055 32 26 39  3  0	
 4  0 961176 125716 252408 308872    0    0    51 10617 20672 19009 34 32 31  3  0	
 0  0 961176 124972 252688 308916    0    0    51 10244 21481 20139 30 27 40  4  0	
 6  0 961176 124832 252984 308956    0    0    58 10422 20702 18912 35 30 32  3  0	
 1  0 961176 124360 253276 308992    0    0    51 10577 21361 20101 30 27 39  3  0	
 6  0 961176 117908 253572 309028    0    0    51 10606 21287 19621 33 29 36  2  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1 961176 124104 253856 309148    0    0    68  8819 21210 19612 33 31 33  3  0	
 0  0 961176 123624 254136 309200    0    0    51 10450 21167 19939 31 25 40  5  0	
 0  0 961176 123096 254420 309248    0    0    51 10277 20926 19151 34 31 32  3  0	
 2  0 961176 123112 254712 309284    0    0    51  7188 21197 20452 30 25 41  4  0	
 3  0 961176 122368 254996 309328    0    0    51  5812 20647 18086 36 32 28  4  0	
 0  0 961176 122260 255296 309372    0    0    51  3268 21555 19839 31 26 39  4  0	
 8  0 961176 121500 255584 309404    0    0    51 10250 20900 18014 38 31 28  3  0	
 2  0 961176 121888 255868 309440    0    0    51  7710 21481 20157 30 26 41  4  0	
 3  0 961176 119632 256144 309496    0    0    51  5998 20609 18124 36 29 31  4  0	
 1  0 961176 121128 256436 309528    0    0    51   845 21185 20474 30 26 40  4  0	
 0  0 961176 120400 256708 309572    0    0    51  3932 20949 19003 35 30 31  4  0	
 2  0 961176 120384 256996 309612    0    0    51 10505 20896 18760 35 27 33  4  0	
 4  0 961176 119756 257276 309656    0    0    51  9910 21185 19144 34 30 33  3  0	
 4  0 961176 119492 257564 309696    0    0    51   866 21466 20286 32 29 36  3  0	
 0  0 961176 119152 257868 309732    0    0    51   890 21570 20175 31 30 35  4  0	
 3  0 961176 119144 258160 309780    0    0    51  7559 21443 18978 35 28 34  4  0	
 3  1 961176 116080 258440 309808    0    0    51  2531 21148 19864 31 27 38  4  0	
 0  0 961176 115764 258728 309856    0    0    51 10341 20754 17672 40 28 28  4  0	
 2  0 961176 117796 259012 309904    0    0    52  6579 20773 19243 33 29 34  3  0	
 3  0 961176 117788 259304 309948    0    0    51   858 20990 20060 32 29 36  4  0	
 2  0 961176 117036 259596 309996    0    0    51   922 21201 20169 29 28 39  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 961176 117300 259876 310036    0    0    51   938 21403 20391 29 28 39  4  0	
 2  0 961176 116912 260172 310088    0    0    51   870 21290 20063 30 28 38  4  0	
 2  0 961176 116812 260468 310124    0    0    51  5477 21342 19693 33 28 34  4  0	
 0  0 961176 125832 251316 309552    0    0    51  9703 21089 19499 33 29 35  4  0	
 4  0 961176 125708 251620 309584    0    0    53  8726 20745 17866 37 29 31  3  0	
 6  1 961176 122436 251904 309640    0    0    51  7724 21039 19700 33 28 36  4  0	
 2  0 961176 124872 252188 309812    0    0    78  9940 20761 17332 40 28 29  4  0	
 8  0 961176 124732 252488 309844    0    0    51 10310 21122 18084 36 27 34  3  0	
