    Time	  MemTotal	   MemUsed	   MemFree	   MemBuff	SwapTotal	SwapUsed	SwapFree	SwapCached	RealUsedMem
15:55:04	 7999.33	 7831.61	  167.72	 1935.54	 4110.34	  977.70	 3132.64	 2133.23	 3762.85
15:55:06	 7999.33	 7844.30	  155.04	 1935.80	 4110.34	  977.70	 3132.64	 2133.70	 3774.79
15:55:08	 7999.33	 7835.36	  163.97	 1935.82	 4110.34	  977.70	 3132.64	 2134.52	 3765.02
15:55:10	 7999.33	 7836.78	  162.55	 1935.84	 4110.34	  977.70	 3132.64	 2134.97	 3765.97
15:55:12	 7999.33	 7833.10	  166.23	 1932.02	 4110.34	  977.70	 3132.64	 2135.34	 3765.74
15:55:14	 7999.33	 7832.62	  166.71	 1920.04	 4110.34	  977.82	 3132.52	 2135.53	 3777.05
15:55:16	 7999.33	 7831.25	  168.08	 1912.38	 4110.34	  978.01	 3132.33	 2135.70	 3783.17
15:55:18	 7999.33	 7766.40	  232.93	 1912.40	 4110.34	  978.01	 3132.33	 2088.45	 3765.55
15:55:20	 7999.33	 7767.99	  231.34	 1912.41	 4110.34	  978.01	 3132.33	 2088.80	 3766.78
15:55:22	 7999.33	 7766.03	  233.30	 1912.79	 4110.34	  978.01	 3132.33	 2089.20	 3764.04
15:55:24	 7999.33	 7770.09	  229.24	 1912.82	 4110.34	  978.01	 3132.33	 2089.61	 3767.67
15:55:26	 7999.33	 7768.82	  230.51	 1913.07	 4110.34	  978.01	 3132.33	 2090.00	 3765.75
15:55:28	 7999.33	 7776.66	  222.68	 1913.08	 4110.34	  978.01	 3132.33	 2090.39	 3773.18
15:55:30	 7999.33	 7780.65	  218.68	 1913.11	 4110.34	  978.01	 3132.33	 2090.79	 3776.75
15:55:32	 7999.33	 7776.26	  223.07	 1913.37	 4110.34	  978.01	 3132.33	 2091.18	 3771.71
15:55:34	 7999.33	 7786.43	  212.90	 1913.38	 4110.34	  978.01	 3132.33	 2091.58	 3781.48
15:55:36	 7999.33	 7787.45	  211.89	 1913.52	 4110.34	  978.01	 3132.33	 2091.98	 3781.95
15:55:38	 7999.33	 7790.90	  208.43	 1913.53	 4110.34	  978.01	 3132.33	 2092.37	 3785.00
15:55:40	 7999.33	 7780.55	  218.79	 1913.55	 4110.34	  978.01	 3132.33	 2092.76	 3774.23
15:55:42	 7999.33	 7780.80	  218.53	 1913.95	 4110.34	  978.01	 3132.33	 2093.33	 3773.53
15:55:44	 7999.33	 7778.27	  221.06	 1913.95	 4110.34	  978.01	 3132.33	 2093.72	 3770.60
15:55:46	 7999.33	 7780.32	  219.01	 1914.21	 4110.34	  978.01	 3132.33	 2094.12	 3772.00
15:55:48	 7999.33	 7779.23	  220.10	 1914.22	 4110.34	  978.01	 3132.33	 2094.34	 3770.67
15:55:50	 7999.33	 7780.62	  218.71	 1914.25	 4110.34	  978.01	 3132.33	 2094.71	 3771.66
