    Time	  MemTotal	   MemUsed	   MemFree	   MemBuff	SwapTotal	SwapUsed	SwapFree	SwapCached	RealUsedMem
15:56:05	 7871.33	 7751.18	  120.15	  291.93	 4102.53	 1142.86	 2959.67	  238.38	 7220.86
15:56:07	 7871.33	 7751.92	  119.41	  291.94	 4102.53	 1142.86	 2959.67	  238.43	 7221.55
15:56:09	 7871.33	 7752.07	  119.26	  292.20	 4102.53	 1142.86	 2959.67	  238.52	 7221.36
15:56:11	 7871.33	 7752.41	  118.93	  292.23	 4102.53	 1142.86	 2959.67	  238.56	 7221.62
15:56:13	 7871.33	 7752.54	  118.80	  292.23	 4102.53	 1142.86	 2959.67	  238.58	 7221.73
15:56:15	 7871.33	 7752.78	  118.55	  292.49	 4102.53	 1142.86	 2959.67	  238.59	 7221.70
15:56:17	 7871.33	 7752.16	  119.18	  292.50	 4102.53	 1142.86	 2959.67	  238.62	 7221.04
15:56:19	 7871.33	 7752.40	  118.93	  292.75	 4102.53	 1142.86	 2959.67	  238.56	 7221.09
15:56:21	 7871.33	 7752.75	  118.58	  292.76	 4102.53	 1142.86	 2959.67	  238.66	 7221.33
15:56:23	 7871.33	 7752.75	  118.58	  292.77	 4102.53	 1142.86	 2959.67	  238.68	 7221.30
15:56:25	 7871.33	 7753.38	  117.96	  293.04	 4102.53	 1142.86	 2959.67	  238.68	 7221.66
15:56:27	 7871.33	 7756.21	  115.12	  293.05	 4102.53	 1142.86	 2959.67	  238.71	 7224.45
15:56:29	 7871.33	 7754.57	  116.76	  293.30	 4102.53	 1142.86	 2959.67	  238.65	 7222.62
15:56:31	 7871.33	 7753.34	  118.00	  293.31	 4102.53	 1142.86	 2959.67	  238.75	 7221.28
15:56:33	 7871.33	 7753.34	  118.00	  293.33	 4102.53	 1142.86	 2959.67	  238.76	 7221.25
15:56:35	 7871.33	 7753.83	  117.50	  293.58	 4102.53	 1142.86	 2959.67	  238.78	 7221.47
15:56:37	 7871.33	 7753.21	  118.12	  293.59	 4102.53	 1142.86	 2959.67	  238.80	 7220.82
15:56:39	 7871.33	 7753.58	  117.75	  293.86	 4102.53	 1142.86	 2959.67	  238.74	 7220.98
15:56:41	 7871.33	 7756.34	  115.00	  293.86	 4102.53	 1142.86	 2959.67	  238.83	 7223.64
15:56:43	 7871.33	 7753.71	  117.62	  293.88	 4102.53	 1142.86	 2959.67	  238.84	 7220.99
15:56:45	 7871.33	 7754.09	  117.24	  294.14	 4102.53	 1142.86	 2959.67	  238.87	 7221.08
15:56:47	 7871.33	 7753.85	  117.48	  294.15	 4102.53	 1142.86	 2959.67	  238.89	 7220.81
15:56:49	 7871.33	 7754.34	  117.00	  294.41	 4102.53	 1142.86	 2959.67	  238.82	 7221.11
15:56:51	 7871.33	 7754.29	  117.04	  294.43	 4102.53	 1142.86	 2959.67	  238.91	 7220.95
15:56:53	 7871.33	 7756.89	  114.44	  294.43	 4102.53	 1142.86	 2959.67	  238.95	 7223.52
15:56:55	 7871.33	 7754.67	  116.66	  294.70	 4102.53	 1142.86	 2959.67	  238.95	 7221.02
15:56:57	 7871.33	 7754.43	  116.91	  294.71	 4102.53	 1142.86	 2959.67	  238.98	 7220.73
15:56:59	 7871.33	 7757.15	  114.18	  294.96	 4102.53	 1142.86	 2959.67	  239.00	 7223.19
15:57:01	 7871.33	 7754.89	  116.44	  294.98	 4102.53	 1142.86	 2959.67	  239.02	 7220.90
15:57:03	 7871.33	 7754.89	  116.44	  294.98	 4102.53	 1142.86	 2959.67	  239.03	 7220.88
15:57:05	 7871.33	 7755.89	  115.44	  295.25	 4102.53	 1142.86	 2959.67	  239.06	 7221.59
15:57:07	 7871.33	 7754.79	  116.54	  295.26	 4102.53	 1142.86	 2959.67	  239.09	 7220.44
15:57:09	 7871.33	 7755.39	  115.94	  295.51	 4102.53	 1142.86	 2959.67	  239.11	 7220.78
15:57:11	 7871.33	 7755.38	  115.95	  295.52	 4102.53	 1142.86	 2959.67	  239.11	 7220.75
15:57:13	 7871.33	 7755.51	  115.82	  295.55	 4102.53	 1142.86	 2959.67	  239.13	 7220.83
15:57:15	 7871.33	 7755.98	  115.35	  295.80	 4102.53	 1142.86	 2959.67	  239.15	 7221.03
15:57:17	 7871.33	 7755.54	  115.79	  295.81	 4102.53	 1142.86	 2959.67	  239.17	 7220.56
15:57:19	 7871.33	 7756.02	  115.31	  296.08	 4102.53	 1142.86	 2959.67	  239.17	 7220.77
15:57:21	 7871.33	 7755.90	  115.43	  296.08	 4102.53	 1142.86	 2959.67	  239.20	 7220.62
15:57:23	 7871.33	 7756.24	  115.09	  296.08	 4102.53	 1142.86	 2959.67	  239.21	 7220.95
15:57:25	 7871.33	 7756.25	  115.08	  296.35	 4102.53	 1142.86	 2959.67	  239.23	 7220.68
15:57:27	 7871.33	 7756.39	  114.94	  296.36	 4102.53	 1142.86	 2959.67	  239.25	 7220.78
15:57:29	 7871.33	 7756.25	  115.08	  296.63	 4102.53	 1142.86	 2959.67	  239.26	 7220.36
15:57:31	 7871.33	 7759.60	  111.73	  296.63	 4102.53	 1142.86	 2959.67	  239.29	 7223.68
15:57:33	 7871.33	 7756.98	  114.36	  296.63	 4102.53	 1142.86	 2959.67	  239.29	 7221.05
15:57:35	 7871.33	 7757.20	  114.14	  296.90	 4102.53	 1142.86	 2959.67	  239.32	 7220.98
15:57:37	 7871.33	 7756.59	  114.74	  296.91	 4102.53	 1142.86	 2959.67	  239.35	 7220.33
15:57:39	 7871.33	 7758.44	  112.89	  297.18	 4102.53	 1142.86	 2959.67	  239.35	 7221.91
15:57:41	 7871.33	 7757.34	  113.99	  297.18	 4102.53	 1142.86	 2959.67	  239.37	 7220.79
15:57:43	 7871.33	 7757.21	  114.12	  297.18	 4102.53	 1142.86	 2959.67	  239.39	 7220.64
15:57:45	 7871.33	 7757.93	  113.40	  297.45	 4102.53	 1142.86	 2959.67	  239.41	 7221.07
15:57:47	 7871.33	 7757.32	  114.01	  297.46	 4102.53	 1142.86	 2959.67	  239.42	 7220.44
15:57:49	 7871.33	 7757.58	  113.75	  297.71	 4102.53	 1142.86	 2959.67	  239.43	 7220.43
15:57:51	 7871.33	 7758.61	  112.73	  297.73	 4102.53	 1142.86	 2959.67	  239.45	 7221.42
15:57:54	 7871.33	 7761.07	  110.26	  297.99	 4102.53	 1142.86	 2959.67	  239.39	 7223.70
15:57:56	 7871.33	 7758.18	  113.15	  298.00	 4102.53	 1142.86	 2959.67	  239.48	 7220.71
15:57:58	 7871.33	 7757.45	  113.88	  298.00	 4102.53	 1142.86	 2959.67	  239.51	 7219.94
15:58:00	 7871.33	 7758.06	  113.27	  298.26	 4102.53	 1142.86	 2959.67	  239.53	 7220.27
15:58:02	 7871.33	 7758.29	  113.04	  298.27	 4102.53	 1142.86	 2959.67	  239.54	 7220.48
15:58:04	 7871.33	 7758.68	  112.65	  298.53	 4102.53	 1142.86	 2959.67	  239.48	 7220.68
15:58:06	 7871.33	 7759.17	  112.16	  298.53	 4102.53	 1142.86	 2959.67	  239.58	 7221.07
15:58:08	 7871.33	 7758.45	  112.89	  298.54	 4102.53	 1142.86	 2959.67	  239.60	 7220.30
15:58:10	 7871.33	 7758.93	  112.40	  298.81	 4102.53	 1142.86	 2959.67	  239.61	 7220.52
15:58:12	 7871.33	 7759.04	  112.30	  298.82	 4102.53	 1142.86	 2959.67	  239.62	 7220.60
15:58:14	 7871.33	 7759.54	  111.79	  299.07	 4102.53	 1142.86	 2959.67	  239.57	 7220.91
15:58:16	 7871.33	 7750.08	  121.25	  289.54	 4102.53	 1142.86	 2959.67	  239.45	 7221.09
15:58:18	 7871.33	 7749.36	  121.98	  289.56	 4102.53	 1142.86	 2959.67	  239.47	 7220.33
15:58:20	 7871.33	 7749.82	  121.51	  289.82	 4102.53	 1142.86	 2959.67	  239.47	 7220.54
15:58:22	 7871.33	 7749.82	  121.51	  289.82	 4102.53	 1142.86	 2959.67	  239.50	 7220.50
15:58:24	 7871.33	 7750.55	  120.78	  290.09	 4102.53	 1142.86	 2959.67	  239.43	 7221.03
15:58:26	 7871.33	 7753.92	  117.41	  290.10	 4102.53	 1142.86	 2959.67	  239.53	 7224.29
15:58:28	 7871.33	 7750.70	  120.63	  290.11	 4102.53	 1142.86	 2959.67	  239.56	 7221.04
15:58:30	 7871.33	 7750.95	  120.39	  290.36	 4102.53	 1142.86	 2959.67	  239.57	 7221.01
15:58:32	 7871.33	 7751.04	  120.30	  290.38	 4102.53	 1142.86	 2959.67	  239.59	 7221.06
15:58:34	 7871.33	 7751.28	  120.05	  290.64	 4102.53	 1142.86	 2959.67	  239.53	 7221.11
15:58:36	 7871.33	 7751.28	  120.05	  290.64	 4102.53	 1142.86	 2959.67	  239.62	 7221.01
15:58:38	 7871.33	 7753.94	  117.39	  290.65	 4102.53	 1142.86	 2959.67	  239.64	 7223.64
15:58:40	 7871.33	 7751.41	  119.92	  290.91	 4102.53	 1142.86	 2959.67	  239.66	 7220.84
15:58:42	 7871.33	 7751.55	  119.78	  290.93	 4102.53	 1142.86	 2959.67	  239.66	 7220.96
15:58:44	 7871.33	 7751.76	  119.57	  291.19	 4102.53	 1142.86	 2959.67	  239.60	 7220.98
15:58:46	 7871.33	 7752.00	  119.33	  291.20	 4102.53	 1142.86	 2959.67	  239.69	 7221.12
15:58:48	 7871.33	 7755.23	  116.10	  291.21	 4102.53	 1142.86	 2959.67	  239.71	 7224.31
15:58:50	 7871.33	 7754.99	  116.34	  291.47	 4102.53	 1142.86	 2959.67	  239.74	 7223.78
15:58:52	 7871.33	 7752.40	  118.93	  291.47	 4102.53	 1142.86	 2959.67	  239.75	 7221.18
15:58:54	 7871.33	 7752.38	  118.95	  291.73	 4102.53	 1142.86	 2959.67	  239.68	 7220.96
15:58:56	 7871.33	 7752.73	  118.60	  291.74	 4102.53	 1142.86	 2959.67	  239.78	 7221.21
15:58:58	 7871.33	 7752.52	  118.81	  291.75	 4102.53	 1142.86	 2959.67	  239.79	 7220.98
15:59:00	 7871.33	 7753.10	  118.23	  292.00	 4102.53	 1142.86	 2959.67	  240.05	 7221.05
15:59:02	 7871.33	 7753.38	  117.95	  292.01	 4102.53	 1142.86	 2959.67	  240.07	 7221.30
15:59:04	 7871.33	 7754.25	  117.09	  292.28	 4102.53	 1142.86	 2959.67	  240.00	 7221.96
15:59:06	 7871.33	 7753.21	  118.12	  292.29	 4102.53	 1142.86	 2959.67	  240.10	 7220.82
15:59:08	 7871.33	 7753.34	  118.00	  292.30	 4102.53	 1142.86	 2959.67	  240.11	 7220.93
15:59:10	 7871.33	 7753.94	  117.39	  292.56	 4102.53	 1142.86	 2959.67	  240.14	 7221.25
15:59:12	 7871.33	 7754.57	  116.76	  292.57	 4102.53	 1142.86	 2959.67	  240.15	 7221.85
15:59:14	 7871.33	 7753.97	  117.36	  292.82	 4102.53	 1142.86	 2959.67	  240.07	 7221.07
15:59:16	 7871.33	 7753.97	  117.36	  292.84	 4102.53	 1142.86	 2959.67	  240.18	 7220.95
15:59:18	 7871.33	 7754.19	  117.14	  292.85	 4102.53	 1142.86	 2959.67	  240.20	 7221.14
15:59:20	 7871.33	 7758.11	  113.22	  293.11	 4102.53	 1142.86	 2959.67	  240.22	 7224.79
15:59:22	 7871.33	 7754.55	  116.79	  293.11	 4102.53	 1142.86	 2959.67	  240.23	 7221.20
15:59:24	 7871.33	 7755.30	  116.03	  293.37	 4102.53	 1142.86	 2959.67	  240.17	 7221.77
15:59:26	 7871.33	 7754.20	  117.13	  293.39	 4102.53	 1142.86	 2959.67	  240.27	 7220.54
15:59:28	 7871.33	 7755.30	  116.03	  293.39	 4102.53	 1142.86	 2959.67	  240.29	 7221.62
15:59:30	 7871.33	 7755.76	  115.57	  293.66	 4102.53	 1142.86	 2959.67	  240.30	 7221.80
15:59:32	 7871.33	 7755.76	  115.57	  293.67	 4102.53	 1142.86	 2959.67	  240.33	 7221.76
15:59:34	 7871.33	 7756.12	  115.21	  293.92	 4102.53	 1142.86	 2959.67	  240.35	 7221.85
15:59:36	 7871.33	 7755.79	  115.54	  293.94	 4102.53	 1142.86	 2959.67	  240.37	 7221.48
