    Time	  MemTotal	   MemUsed	   MemFree	   MemBuff	SwapTotal	SwapUsed	SwapFree	SwapCached	RealUsedMem
15:55:30	 7871.33	 7751.23	  120.11	  223.48	 4102.53	  963.68	 3138.85	  287.36	 7240.38
15:55:32	 7871.33	 7751.57	  119.77	  223.50	 4102.53	  963.68	 3138.85	  287.41	 7240.65
15:55:34	 7871.33	 7751.06	  120.27	  223.79	 4102.53	  963.68	 3138.85	  287.44	 7239.84
15:55:36	 7871.33	 7751.45	  119.88	  223.82	 4102.53	  963.68	 3138.85	  287.46	 7240.18
15:55:38	 7871.33	 7751.70	  119.64	  224.08	 4102.53	  963.68	 3138.85	  287.47	 7240.14
15:55:40	 7871.33	 7753.04	  118.29	  224.11	 4102.53	  963.68	 3138.85	  287.50	 7241.44
15:55:42	 7871.33	 7751.82	  119.52	  224.14	 4102.53	  963.68	 3138.85	  287.50	 7240.18
15:55:44	 7871.33	 7751.70	  119.64	  224.41	 4102.53	  963.68	 3138.85	  287.52	 7239.76
15:55:46	 7871.33	 7751.94	  119.39	  224.44	 4102.53	  963.68	 3138.85	  287.54	 7239.96
15:55:48	 7871.33	 7752.66	  118.67	  224.71	 4102.53	  963.68	 3138.85	  287.55	 7240.41
15:55:50	 7871.33	 7752.66	  118.67	  224.73	 4102.53	  963.68	 3138.85	  287.57	 7240.36
15:55:52	 7871.33	 7755.16	  116.17	  224.76	 4102.53	  963.68	 3138.85	  287.60	 7242.81
15:55:54	 7871.33	 7756.39	  114.94	  225.03	 4102.53	  963.68	 3138.85	  287.61	 7243.75
15:55:56	 7871.33	 7752.44	  118.89	  225.06	 4102.53	  963.68	 3138.85	  287.62	 7239.76
15:55:58	 7871.33	 7753.16	  118.17	  225.32	 4102.53	  963.68	 3138.85	  287.64	 7240.21
15:56:00	 7871.33	 7753.41	  117.92	  225.35	 4102.53	  963.68	 3138.85	  287.65	 7240.41
15:56:02	 7871.33	 7753.41	  117.93	  225.36	 4102.53	  963.68	 3138.85	  287.67	 7240.38
