    Time	  MemTotal	   MemUsed	   MemFree	   MemBuff	SwapTotal	SwapUsed	SwapFree	SwapCached	RealUsedMem
15:56:23	 7871.33	 7759.73	  111.60	  221.04	 4102.53	  896.98	 3205.55	  321.61	 7217.09
15:56:25	 7871.33	 7750.55	  120.79	  211.55	 4102.53	  896.98	 3205.55	  321.39	 7217.60
15:56:27	 7871.33	 7749.94	  121.39	  211.58	 4102.53	  896.98	 3205.55	  321.41	 7216.95
15:56:29	 7871.33	 7750.23	  121.10	  211.85	 4102.53	  896.98	 3205.55	  321.43	 7216.95
15:56:31	 7871.33	 7750.43	  120.90	  211.88	 4102.53	  896.98	 3205.55	  321.43	 7217.12
15:56:33	 7871.33	 7752.77	  118.56	  211.89	 4102.53	  896.98	 3205.55	  321.46	 7219.42
15:56:35	 7871.33	 7750.71	  120.62	  212.15	 4102.53	  896.98	 3205.55	  321.48	 7217.08
15:56:37	 7871.33	 7750.52	  120.81	  212.18	 4102.53	  896.98	 3205.55	  321.49	 7216.86
15:56:39	 7871.33	 7750.89	  120.45	  212.45	 4102.53	  896.98	 3205.55	  321.52	 7216.92
15:56:41	 7871.33	 7751.02	  120.31	  212.48	 4102.53	  896.98	 3205.55	  321.52	 7217.03
15:56:43	 7871.33	 7751.15	  120.18	  212.50	 4102.53	  896.98	 3205.55	  321.54	 7217.11
15:56:45	 7871.33	 7754.32	  117.02	  212.77	 4102.53	  896.98	 3205.55	  321.56	 7219.99
15:56:47	 7871.33	 7751.02	  120.31	  212.80	 4102.53	  896.98	 3205.55	  321.57	 7216.66
15:56:49	 7871.33	 7751.36	  119.98	  213.07	 4102.53	  896.98	 3205.55	  321.59	 7216.69
15:56:51	 7871.33	 7753.14	  118.20	  213.09	 4102.53	  896.98	 3205.55	  321.61	 7218.43
15:56:53	 7871.33	 7753.72	  117.61	  213.12	 4102.53	  896.98	 3205.55	  321.61	 7218.99
15:56:55	 7871.33	 7752.37	  118.96	  213.38	 4102.53	  896.98	 3205.55	  321.64	 7217.35
15:56:57	 7871.33	 7751.60	  119.73	  213.39	 4102.53	  896.98	 3205.55	  321.77	 7216.43
15:56:59	 7871.33	 7751.97	  119.36	  213.66	 4102.53	  896.98	 3205.55	  321.79	 7216.52
15:57:01	 7871.33	 7752.21	  119.12	  213.68	 4102.53	  896.98	 3205.55	  321.80	 7216.73
15:57:03	 7871.33	 7752.72	  118.61	  213.71	 4102.53	  896.98	 3205.55	  321.81	 7217.20
15:57:05	 7871.33	 7752.72	  118.61	  213.96	 4102.53	  896.98	 3205.55	  321.84	 7216.91
15:57:07	 7871.33	 7752.86	  118.48	  213.98	 4102.53	  896.98	 3205.55	  321.83	 7217.04
15:57:09	 7871.33	 7752.70	  118.63	  214.26	 4102.53	  896.98	 3205.55	  321.87	 7216.57
15:57:11	 7871.33	 7752.58	  118.75	  214.27	 4102.53	  896.98	 3205.55	  321.89	 7216.42
15:57:13	 7871.33	 7754.43	  116.90	  214.30	 4102.53	  896.98	 3205.55	  321.90	 7218.23
15:57:15	 7871.33	 7753.08	  118.25	  214.59	 4102.53	  896.98	 3205.55	  321.91	 7216.57
15:57:17	 7871.33	 7756.70	  114.64	  214.61	 4102.53	  896.98	 3205.55	  321.94	 7220.14
15:57:19	 7871.33	 7753.20	  118.13	  214.89	 4102.53	  896.98	 3205.55	  321.94	 7216.37
15:57:22	 7871.33	 7753.67	  117.66	  214.92	 4102.53	  896.98	 3205.55	  321.97	 7216.78
15:57:24	 7871.33	 7753.68	  117.65	  215.20	 4102.53	  896.98	 3205.55	  321.91	 7216.58
15:57:26	 7871.33	 7754.18	  117.15	  215.22	 4102.53	  896.98	 3205.55	  322.00	 7216.96
15:57:28	 7871.33	 7753.45	  117.89	  215.25	 4102.53	  896.98	 3205.55	  322.02	 7216.17
15:57:30	 7871.33	 7754.26	  117.07	  215.52	 4102.53	  896.98	 3205.55	  322.04	 7216.70
15:57:32	 7871.33	 7754.26	  117.07	  215.54	 4102.53	  896.98	 3205.55	  322.05	 7216.67
15:57:34	 7871.33	 7754.62	  116.71	  215.83	 4102.53	  896.98	 3205.55	  321.98	 7216.81
15:57:36	 7871.33	 7755.87	  115.46	  215.86	 4102.53	  896.98	 3205.55	  322.08	 7217.93
15:57:38	 7871.33	 7754.16	  117.17	  215.88	 4102.53	  896.98	 3205.55	  322.09	 7216.19
15:57:40	 7871.33	 7754.53	  116.80	  216.17	 4102.53	  896.98	 3205.55	  322.12	 7216.23
15:57:42	 7871.33	 7754.99	  116.34	  216.18	 4102.53	  896.98	 3205.55	  322.13	 7216.68
15:57:44	 7871.33	 7755.23	  116.10	  216.44	 4102.53	  896.98	 3205.55	  322.07	 7216.71
15:57:46	 7871.33	 7755.60	  115.73	  216.47	 4102.53	  896.98	 3205.55	  322.16	 7216.97
