    Time	  MemTotal	   MemUsed	   MemFree	   MemBuff	SwapTotal	SwapUsed	SwapFree	SwapCached	RealUsedMem
15:55:47	 7871.33	 7758.49	  112.84	  174.77	 4102.53	  991.53	 3111.00	  255.96	 7327.76
15:55:49	 7871.33	 7757.12	  114.21	  174.84	 4102.53	  991.53	 3111.00	  256.00	 7326.29
15:55:51	 7871.33	 7757.84	  113.50	  175.15	 4102.53	  991.53	 3111.00	  256.03	 7326.66
15:55:53	 7871.33	 7759.55	  111.79	  175.21	 4102.53	  991.53	 3111.00	  256.05	 7328.29
15:55:55	 7871.33	 7757.83	  113.50	  175.27	 4102.53	  991.53	 3111.00	  256.06	 7326.49
15:55:57	 7871.33	 7757.85	  113.48	  175.57	 4102.53	  991.53	 3111.00	  256.06	 7326.21
15:55:59	 7871.33	 7760.30	  111.04	  175.61	 4102.53	  991.53	 3111.00	  256.10	 7328.59
15:56:01	 7871.33	 7748.50	  122.83	  166.29	 4102.53	  991.53	 3111.00	  256.01	 7326.20
15:56:03	 7871.33	 7748.85	  122.48	  166.36	 4102.53	  991.53	 3111.00	  256.04	 7326.45
15:56:05	 7871.33	 7748.97	  122.36	  166.41	 4102.53	  991.53	 3111.00	  256.06	 7326.51
15:56:07	 7871.33	 7748.50	  122.84	  166.70	 4102.53	  991.53	 3111.00	  256.06	 7325.74
15:56:10	 7871.33	 7751.58	  119.75	  166.75	 4102.53	  991.53	 3111.00	  256.09	 7328.75
15:56:12	 7871.33	 7749.51	  121.82	  167.06	 4102.53	  991.53	 3111.00	  256.09	 7326.36
15:56:14	 7871.33	 7749.71	  121.62	  167.11	 4102.53	  991.53	 3111.00	  256.12	 7326.48
15:56:16	 7871.33	 7749.83	  121.50	  167.38	 4102.53	  991.53	 3111.00	  256.05	 7326.39
15:56:18	 7871.33	 7749.84	  121.50	  167.39	 4102.53	  991.53	 3111.00	  256.16	 7326.29
15:56:20	 7871.33	 7750.07	  121.26	  167.43	 4102.53	  991.53	 3111.00	  256.19	 7326.46
15:56:22	 7871.33	 7753.79	  117.54	  167.70	 4102.53	  991.53	 3111.00	  256.20	 7329.89
15:56:24	 7871.33	 7750.81	  120.52	  167.75	 4102.53	  991.53	 3111.00	  256.20	 7326.86
15:56:26	 7871.33	 7750.93	  120.40	  168.02	 4102.53	  991.53	 3111.00	  256.13	 7326.79
15:56:28	 7871.33	 7750.70	  120.63	  168.05	 4102.53	  991.53	 3111.00	  256.24	 7326.41
15:56:30	 7871.33	 7753.91	  117.42	  168.08	 4102.53	  991.53	 3111.00	  256.26	 7329.57
15:56:32	 7871.33	 7752.92	  118.41	  168.38	 4102.53	  991.53	 3111.00	  256.26	 7328.28
15:56:34	 7871.33	 7751.20	  120.13	  168.39	 4102.53	  991.53	 3111.00	  256.31	 7326.50
15:56:36	 7871.33	 7751.80	  119.53	  168.68	 4102.53	  991.53	 3111.00	  256.24	 7326.89
15:56:38	 7871.33	 7750.96	  120.38	  168.75	 4102.53	  991.53	 3111.00	  256.32	 7325.88
15:56:40	 7871.33	 7751.17	  120.16	  168.78	 4102.53	  991.53	 3111.00	  256.38	 7326.02
15:56:42	 7871.33	 7751.53	  119.80	  169.07	 4102.53	  991.53	 3111.00	  256.39	 7326.07
15:56:44	 7871.33	 7756.35	  114.98	  169.11	 4102.53	  991.53	 3111.00	  256.42	 7330.82
15:56:46	 7871.33	 7752.27	  119.06	  169.42	 4102.53	  991.53	 3111.00	  256.43	 7326.42
15:56:48	 7871.33	 7751.43	  119.91	  169.52	 4102.53	  991.53	 3111.00	  256.44	 7325.47
15:56:50	 7871.33	 7752.51	  118.82	  169.57	 4102.53	  991.53	 3111.00	  256.48	 7326.46
15:56:52	 7871.33	 7752.87	  118.46	  169.86	 4102.53	  991.53	 3111.00	  256.49	 7326.52
15:56:54	 7871.33	 7752.99	  118.34	  169.88	 4102.53	  991.53	 3111.00	  256.50	 7326.61
15:56:56	 7871.33	 7753.13	  118.20	  170.18	 4102.53	  991.53	 3111.00	  256.53	 7326.43
15:56:58	 7871.33	 7752.54	  118.79	  170.19	 4102.53	  991.53	 3111.00	  256.54	 7325.81
15:57:00	 7871.33	 7753.02	  118.32	  170.22	 4102.53	  991.53	 3111.00	  256.54	 7326.25
15:57:02	 7871.33	 7753.49	  117.84	  170.50	 4102.53	  991.53	 3111.00	  256.56	 7326.43
15:57:04	 7871.33	 7753.84	  117.49	  170.51	 4102.53	  991.53	 3111.00	  256.59	 7326.74
15:57:06	 7871.33	 7756.71	  114.62	  170.78	 4102.53	  991.53	 3111.00	  256.61	 7329.32
15:57:08	 7871.33	 7753.26	  118.07	  170.83	 4102.53	  991.53	 3111.00	  256.61	 7325.82
15:57:10	 7871.33	 7753.62	  117.71	  170.87	 4102.53	  991.53	 3111.00	  256.63	 7326.12
15:57:12	 7871.33	 7754.07	  117.26	  171.17	 4102.53	  991.53	 3111.00	  256.64	 7326.26
15:57:14	 7871.33	 7753.95	  117.38	  171.21	 4102.53	  991.53	 3111.00	  256.66	 7326.08
15:57:16	 7871.33	 7754.61	  116.73	  171.50	 4102.53	  991.53	 3111.00	  256.67	 7326.43
15:57:18	 7871.33	 7754.48	  116.85	  171.58	 4102.53	  991.53	 3111.00	  256.71	 7326.20
15:57:20	 7871.33	 7754.59	  116.74	  171.64	 4102.53	  991.53	 3111.00	  256.73	 7326.22
15:57:22	 7871.33	 7754.95	  116.38	  171.98	 4102.53	  991.53	 3111.00	  256.71	 7326.27
15:57:24	 7871.33	 7754.92	  116.41	  172.02	 4102.53	  991.53	 3111.00	  256.75	 7326.14
15:57:26	 7871.33	 7754.81	  116.52	  172.32	 4102.53	  991.53	 3111.00	  256.76	 7325.72
15:57:28	 7871.33	 7754.82	  116.52	  172.50	 4102.53	  991.53	 3111.00	  256.78	 7325.54
15:57:30	 7871.33	 7755.33	  116.00	  172.55	 4102.53	  991.53	 3111.00	  256.81	 7325.97
15:57:32	 7871.33	 7755.45	  115.88	  172.88	 4102.53	  991.53	 3111.00	  256.82	 7325.75
15:57:34	 7871.33	 7755.81	  115.52	  172.96	 4102.53	  991.53	 3111.00	  256.84	 7326.01
15:57:36	 7871.33	 7755.30	  116.03	  173.24	 4102.53	  991.53	 3111.00	  256.85	 7325.21
15:57:38	 7871.33	 7758.88	  112.46	  173.30	 4102.53	  991.53	 3111.00	  256.85	 7328.72
15:57:40	 7871.33	 7759.25	  112.09	  173.33	 4102.53	  991.53	 3111.00	  256.91	 7329.01
15:57:42	 7871.33	 7756.75	  114.58	  173.60	 4102.53	  991.53	 3111.00	  256.92	 7326.23
15:57:44	 7871.33	 7756.63	  114.70	  173.65	 4102.53	  991.53	 3111.00	  256.93	 7326.06
15:57:46	 7871.33	 7756.63	  114.70	  173.94	 4102.53	  991.53	 3111.00	  256.94	 7325.76
15:57:48	 7871.33	 7756.75	  114.59	  173.95	 4102.53	  991.53	 3111.00	  256.97	 7325.82
