    Time	  MemTotal	   MemUsed	   MemFree	   MemBuff	SwapTotal	SwapUsed	SwapFree	SwapCached	RealUsedMem
15:56:32	 7871.33	 7752.34	  119.00	  197.11	 4102.53	  839.82	 3262.71	  324.23	 7230.99
15:56:34	 7871.33	 7752.57	  118.76	  197.12	 4102.53	  839.82	 3262.71	  324.29	 7231.16
15:56:36	 7871.33	 7752.91	  118.42	  197.40	 4102.53	  839.82	 3262.71	  324.31	 7231.20
15:56:38	 7871.33	 7752.15	  119.18	  197.43	 4102.53	  839.82	 3262.71	  324.31	 7230.41
15:56:41	 7871.33	 7755.65	  115.68	  197.69	 4102.53	  839.82	 3262.71	  324.25	 7233.72
15:56:43	 7871.33	 7752.90	  118.43	  197.71	 4102.53	  839.82	 3262.71	  324.34	 7230.85
15:56:45	 7871.33	 7756.36	  114.97	  197.72	 4102.53	  839.82	 3262.71	  324.37	 7234.27
15:56:47	 7871.33	 7753.27	  118.07	  198.00	 4102.53	  839.82	 3262.71	  324.37	 7230.89
15:56:49	 7871.33	 7752.78	  118.55	  198.04	 4102.53	  839.82	 3262.71	  324.40	 7230.34
15:56:51	 7871.33	 7753.67	  117.66	  198.32	 4102.53	  839.82	 3262.71	  324.33	 7231.02
15:56:53	 7871.33	 7753.38	  117.95	  198.32	 4102.53	  839.82	 3262.71	  324.45	 7230.61
15:56:55	 7871.33	 7753.74	  117.59	  198.35	 4102.53	  839.82	 3262.71	  324.45	 7230.94
15:56:57	 7871.33	 7754.02	  117.32	  198.62	 4102.53	  839.82	 3262.71	  324.48	 7230.91
15:56:59	 7871.33	 7753.65	  117.68	  198.63	 4102.53	  839.82	 3262.71	  324.50	 7230.52
15:57:01	 7871.33	 7754.26	  117.07	  198.93	 4102.53	  839.82	 3262.71	  324.42	 7230.91
15:57:03	 7871.33	 7757.45	  113.89	  198.93	 4102.53	  839.82	 3262.71	  324.52	 7234.00
15:57:05	 7871.33	 7754.71	  116.62	  198.95	 4102.53	  839.82	 3262.71	  324.55	 7231.21
15:57:07	 7871.33	 7755.95	  115.38	  199.24	 4102.53	  839.82	 3262.71	  324.57	 7232.15
15:57:09	 7871.33	 7754.12	  117.21	  199.25	 4102.53	  839.82	 3262.71	  324.58	 7230.29
15:57:11	 7871.33	 7754.74	  116.59	  199.52	 4102.53	  839.82	 3262.71	  324.59	 7230.63
15:57:13	 7871.33	 7755.75	  115.58	  199.57	 4102.53	  839.82	 3262.71	  324.60	 7231.58
15:57:15	 7871.33	 7755.20	  116.14	  199.60	 4102.53	  839.82	 3262.71	  324.62	 7230.98
15:57:17	 7871.33	 7755.68	  115.65	  199.86	 4102.53	  839.82	 3262.71	  324.63	 7231.19
15:57:19	 7871.33	 7756.20	  115.13	  199.91	 4102.53	  839.82	 3262.71	  324.67	 7231.63
15:57:21	 7871.33	 7755.33	  116.00	  200.18	 4102.53	  839.82	 3262.71	  324.68	 7230.47
15:57:23	 7871.33	 7755.82	  115.51	  200.21	 4102.53	  839.82	 3262.71	  324.69	 7230.92
15:57:25	 7871.33	 7755.70	  115.64	  200.25	 4102.53	  839.82	 3262.71	  324.71	 7230.74
15:57:27	 7871.33	 7756.07	  115.27	  200.54	 4102.53	  839.82	 3262.71	  324.72	 7230.80
15:57:29	 7871.33	 7755.57	  115.76	  200.59	 4102.53	  839.82	 3262.71	  324.73	 7230.25
15:57:31	 7871.33	 7755.69	  115.64	  200.88	 4102.53	  839.82	 3262.71	  324.76	 7230.05
15:57:33	 7871.33	 7756.44	  114.89	  200.91	 4102.53	  839.82	 3262.71	  324.77	 7230.76
15:57:35	 7871.33	 7760.01	  111.32	  200.94	 4102.53	  839.82	 3262.71	  324.79	 7234.29
15:57:37	 7871.33	 7756.88	  114.45	  201.22	 4102.53	  839.82	 3262.71	  324.80	 7230.87
15:57:39	 7871.33	 7756.39	  114.94	  201.25	 4102.53	  839.82	 3262.71	  324.82	 7230.32
15:57:41	 7871.33	 7759.76	  111.57	  201.54	 4102.53	  839.82	 3262.71	  324.85	 7233.38
15:57:43	 7871.33	 7757.13	  114.20	  201.56	 4102.53	  839.82	 3262.71	  324.86	 7230.71
15:57:45	 7871.33	 7757.50	  113.84	  201.57	 4102.53	  839.82	 3262.71	  324.88	 7231.05
15:57:47	 7871.33	 7757.98	  113.35	  201.86	 4102.53	  839.82	 3262.71	  324.88	 7231.24
15:57:49	 7871.33	 7757.27	  114.06	  201.88	 4102.53	  839.82	 3262.71	  324.91	 7230.49
15:57:51	 7871.33	 7757.74	  113.59	  202.14	 4102.53	  839.82	 3262.71	  324.91	 7230.68
15:57:53	 7871.33	 7757.88	  113.45	  202.16	 4102.53	  839.82	 3262.71	  324.93	 7230.79
15:57:55	 7871.33	 7758.00	  113.34	  202.17	 4102.53	  839.82	 3262.71	  324.95	 7230.88
15:57:57	 7871.33	 7748.72	  122.61	  192.60	 4102.53	  839.82	 3262.71	  324.80	 7231.32
15:57:59	 7871.33	 7747.57	  123.76	  192.63	 4102.53	  839.82	 3262.71	  324.82	 7230.12
15:58:01	 7871.33	 7748.66	  122.67	  192.89	 4102.53	  839.82	 3262.71	  324.83	 7230.94
15:58:03	 7871.33	 7749.67	  121.66	  192.91	 4102.53	  839.82	 3262.71	  324.86	 7231.90
15:58:05	 7871.33	 7748.80	  122.53	  192.92	 4102.53	  839.82	 3262.71	  324.88	 7231.00
15:58:07	 7871.33	 7751.93	  119.40	  193.19	 4102.53	  839.82	 3262.71	  324.90	 7233.84
15:58:09	 7871.33	 7748.31	  123.02	  193.20	 4102.53	  839.82	 3262.71	  324.90	 7230.21
15:58:11	 7871.33	 7748.78	  122.55	  193.46	 4102.53	  839.82	 3262.71	  324.93	 7230.39
15:58:13	 7871.33	 7748.90	  122.43	  193.47	 4102.53	  839.82	 3262.71	  324.95	 7230.48
15:58:15	 7871.33	 7751.04	  120.29	  193.48	 4102.53	  839.82	 3262.71	  324.97	 7232.59
15:58:17	 7871.33	 7749.17	  122.16	  193.77	 4102.53	  839.82	 3262.71	  324.96	 7230.44
15:58:19	 7871.33	 7749.66	  121.67	  193.79	 4102.53	  839.82	 3262.71	  325.00	 7230.88
15:58:21	 7871.33	 7749.60	  121.73	  194.04	 4102.53	  839.82	 3262.71	  325.02	 7230.54
15:58:23	 7871.33	 7749.99	  121.34	  194.07	 4102.53	  839.82	 3262.71	  325.03	 7230.89
15:58:25	 7871.33	 7750.11	  121.22	  194.09	 4102.53	  839.82	 3262.71	  325.04	 7230.97
15:58:27	 7871.33	 7749.76	  121.57	  194.36	 4102.53	  839.82	 3262.71	  325.05	 7230.35
15:58:29	 7871.33	 7752.72	  118.61	  194.38	 4102.53	  839.82	 3262.71	  325.07	 7233.27
15:58:31	 7871.33	 7750.12	  121.21	  194.65	 4102.53	  839.82	 3262.71	  325.09	 7230.39
15:58:33	 7871.33	 7750.25	  121.08	  194.68	 4102.53	  839.82	 3262.71	  325.08	 7230.50
15:58:36	 7871.33	 7750.96	  120.38	  194.96	 4102.53	  839.82	 3262.71	  325.03	 7230.97
15:58:38	 7871.33	 7750.35	  120.98	  194.97	 4102.53	  839.82	 3262.71	  325.13	 7230.25
15:58:40	 7871.33	 7750.38	  120.96	  195.00	 4102.53	  839.82	 3262.71	  325.14	 7230.24
15:58:42	 7871.33	 7751.23	  120.10	  195.25	 4102.53	  839.82	 3262.71	  325.16	 7230.82
15:58:44	 7871.33	 7751.35	  119.98	  195.29	 4102.53	  839.82	 3262.71	  325.16	 7230.91
15:58:46	 7871.33	 7751.71	  119.62	  195.56	 4102.53	  839.82	 3262.71	  325.11	 7231.04
15:58:48	 7871.33	 7750.73	  120.60	  195.58	 4102.53	  839.82	 3262.71	  325.20	 7229.95
15:58:50	 7871.33	 7751.31	  120.02	  195.61	 4102.53	  839.82	 3262.71	  325.21	 7230.49
15:58:52	 7871.33	 7754.71	  116.62	  195.89	 4102.53	  839.82	 3262.71	  325.24	 7233.57
15:58:54	 7871.33	 7751.85	  119.48	  195.91	 4102.53	  839.82	 3262.71	  325.27	 7230.67
15:58:56	 7871.33	 7751.96	  119.37	  196.19	 4102.53	  839.82	 3262.71	  325.20	 7230.58
15:58:58	 7871.33	 7751.74	  119.59	  196.20	 4102.53	  839.82	 3262.71	  325.29	 7230.24
15:59:00	 7871.33	 7752.05	  119.28	  196.22	 4102.53	  839.82	 3262.71	  325.30	 7230.54
15:59:02	 7871.33	 7753.53	  117.80	  196.49	 4102.53	  839.82	 3262.71	  325.32	 7231.72
