    Time	  MemTotal	   MemUsed	   MemFree	   MemBuff	SwapTotal	SwapUsed	SwapFree	SwapCached	RealUsedMem
15:56:41	 7871.33	 7753.45	  117.89	  251.02	 4102.53	  938.65	 3163.88	  301.97	 7200.46
15:56:43	 7871.33	 7753.64	  117.69	  251.02	 4102.53	  938.65	 3163.88	  302.03	 7200.59
15:56:45	 7871.33	 7754.15	  117.18	  251.28	 4102.53	  938.65	 3163.88	  302.05	 7200.82
15:56:47	 7871.33	 7753.88	  117.46	  251.30	 4102.53	  938.65	 3163.88	  302.06	 7200.51
15:56:49	 7871.33	 7755.59	  115.75	  251.58	 4102.53	  938.65	 3163.88	  302.09	 7201.92
15:56:51	 7871.33	 7754.62	  116.71	  251.59	 4102.53	  938.65	 3163.88	  302.08	 7200.94
15:56:53	 7871.33	 7754.50	  116.84	  251.59	 4102.53	  938.65	 3163.88	  302.12	 7200.79
15:56:55	 7871.33	 7754.83	  116.50	  251.86	 4102.53	  938.65	 3163.88	  302.13	 7200.83
15:56:57	 7871.33	 7754.22	  117.11	  251.88	 4102.53	  938.65	 3163.88	  302.15	 7200.20
15:56:59	 7871.33	 7754.48	  116.85	  252.14	 4102.53	  938.65	 3163.88	  302.16	 7200.18
15:57:01	 7871.33	 7754.75	  116.58	  252.17	 4102.53	  938.65	 3163.88	  302.18	 7200.41
15:57:03	 7871.33	 7754.98	  116.35	  252.17	 4102.53	  938.65	 3163.88	  302.20	 7200.62
15:57:05	 7871.33	 7758.44	  112.89	  252.43	 4102.53	  938.65	 3163.88	  302.20	 7203.80
15:57:07	 7871.33	 7754.74	  116.59	  252.45	 4102.53	  938.65	 3163.88	  302.23	 7200.06
15:57:09	 7871.33	 7755.71	  115.62	  252.71	 4102.53	  938.65	 3163.88	  302.24	 7200.76
15:57:11	 7871.33	 7756.80	  114.54	  252.72	 4102.53	  938.65	 3163.88	  302.25	 7201.82
15:57:13	 7871.33	 7755.81	  115.52	  252.75	 4102.53	  938.65	 3163.88	  302.27	 7200.79
15:57:15	 7871.33	 7756.07	  115.26	  253.01	 4102.53	  938.65	 3163.88	  302.30	 7200.76
15:57:17	 7871.33	 7745.05	  126.28	  243.95	 4102.53	  938.65	 3163.88	  301.29	 7199.81
15:57:19	 7871.33	 7745.89	  125.44	  244.23	 4102.53	  938.65	 3163.88	  301.28	 7200.38
15:57:21	 7871.33	 7746.00	  125.33	  244.24	 4102.53	  938.65	 3163.88	  301.30	 7200.46
15:57:23	 7871.33	 7749.24	  122.09	  244.25	 4102.53	  938.65	 3163.88	  301.32	 7203.67
15:57:25	 7871.33	 7746.38	  124.96	  244.52	 4102.53	  938.65	 3163.88	  301.34	 7200.51
15:57:27	 7871.33	 7745.79	  125.55	  244.54	 4102.53	  938.65	 3163.88	  301.36	 7199.88
15:57:29	 7871.33	 7746.51	  124.82	  244.81	 4102.53	  938.65	 3163.88	  301.37	 7200.34
15:57:32	 7871.33	 7746.99	  124.34	  244.82	 4102.53	  938.65	 3163.88	  301.38	 7200.79
15:57:34	 7871.33	 7747.45	  123.88	  245.08	 4102.53	  938.65	 3163.88	  301.32	 7201.05
15:57:36	 7871.33	 7747.00	  124.34	  245.09	 4102.53	  938.65	 3163.88	  301.42	 7200.49
