C	D	E	F	G	H	I	J	K	L
77.7	93.4	73.5	69.9	74.7	77.4	87.4	99.2	69.0	84.7
62.2	74.9	60.6	61.7	63.1	65.6	83.6	92.4	60.7	61.2
60.2	69.9	63.6	62.0	64.2	62.1	81.4	84.4	57.5	67.6
60.7	73.9	63.1	62.8	63.2	67.6	81.9	90.4	65.1	60.5
57.3	70.5	58.7	67.6	62.2	63.1	78.9	90.0	56.7	62.9
64.8	75.0	66.2	63.1	65.2	62.7	84.6	92.2	65.5	65.0
59.7	74.6	59.7	63.2	60.7	66.8	83.0	90.0	59.6	61.9
62.2	75.1	64.7	58.2	64.2	59.1	84.0	85.6	62.1	66.4
64.9	73.6	60.2	64.6	64.1	62.2	85.0	87.5	61.7	62.7
61.7	72.0	62.7	68.6	60.1	66.2	79.0	86.6	62.2	58.2
58.6	74.0	63.7	65.4	68.5	67.7	84.0	96.2	62.7	66.2
63.7	70.6	61.1	62.2	58.1	63.6	78.6	88.4	59.1	64.6
61.1	76.7	65.1	61.7	64.6	60.3	91.4	90.1	59.9	64.9
57.1	71.7	60.6	62.1	59.1	60.2	84.6	86.4	63.2	64.0
59.1	74.1	63.7	62.7	62.2	61.6	84.1	86.0	61.4	57.7
61.6	72.1	61.2	64.4	60.7	65.1	87.5	91.3	61.7	66.2
55.2	73.9	58.2	61.7	65.6	62.1	81.0	86.7	63.7	64.7
64.1	71.5	64.6	57.6	61.1	64.1	88.1	85.3	62.2	62.7
61.2	74.1	62.1	63.2	62.0	58.7	85.9	85.1	65.2	64.2
59.2	72.0	61.5	62.7	62.1	59.7	77.1	85.8	64.7	64.2
61.7	71.7	62.6	66.6	64.2	61.2	86.7	88.8	65.1	64.6
61.9	75.0	56.7	60.7	64.2	61.6	80.9	87.6	61.5	63.2
65.4	70.2	61.7	60.7	65.1	62.6	86.4	83.5	62.6	59.0
63.3	69.7	66.1	62.6	61.2	61.6	88.0	89.0	62.3	62.2
64.1	73.1	61.7	58.3	60.5	58.7	80.9	85.6	61.6	64.2
67.2	72.6	66.0	69.6	62.7	64.2	86.1	83.9	61.6	66.7
63.4	74.7	61.7	62.6	66.0	65.5	90.8	92.8	59.2	58.6
62.2	72.1	60.6	63.5	60.6	62.2	79.1	90.1	59.1	63.2
64.1	77.3	60.1	59.9	61.2	62.7	82.3	86.1	59.7	65.6
62.1	69.5	66.5	63.5	62.4	61.6	84.4	87.8	63.3	59.6
64.2	75.0	59.2	65.9	63.6	59.0	83.1	88.6	68.4	64.6
61.7	76.5	60.5	62.5	64.9	63.2	87.2	88.9	59.6	66.1
59.7	69.1	60.2	62.1	60.6	58.6	86.1	86.7	61.5	60.1
65.2	75.1	62.2	57.6	59.5	64.6	80.1	84.2	59.2	66.6
63.0	69.2	68.7	60.2	60.7	58.1	86.0	90.4	61.2	65.6
63.1	70.2	61.7	61.7	64.0	59.6	80.4	85.9	67.0	60.2
63.1	76.6	66.6	69.2	63.5	63.7	83.4	88.4	64.9	67.1
61.1	68.1	62.2	63.0	63.6	64.2	82.0	90.1	59.2	62.1
61.7	73.6	61.1	57.2	61.6	61.1	83.0	82.8	60.2	65.2
62.7	70.6	66.2	60.7	62.0	59.7	87.1	81.8	58.7	62.7
64.7	70.1	64.5	60.2	63.7	61.2	79.4	85.5	64.9	59.1
60.6	71.3	63.7	68.6	68.5	61.2	82.4	88.5	62.5	64.6
58.2	73.2	63.6	61.2	61.2	63.2	77.5	85.6	59.9	57.6
61.7	73.6	62.2	65.6	64.9	66.7	80.4	86.5	56.0	62.7
64.2	71.0	62.2	62.2	63.1	64.6	83.0	88.5	60.5	65.6
59.7	72.6	63.1	62.0	61.7	61.2	85.4	84.8	60.4	62.0
67.2	71.5	70.6	65.2	61.8	62.2	86.0	92.8	65.3	63.2
57.7	70.5	60.6	59.6	59.2	61.2	82.3	82.8	57.6	59.2
62.6	70.4	63.1	61.2	58.6	64.2	79.2	89.2	61.1	62.2
64.2	77.6	60.2	63.7	60.5	66.2	77.5	85.4	59.1	62.1
60.2	71.1	61.7	62.7	58.1	62.5	83.2	85.6	58.2	66.1
58.2	74.1	63.0	64.6	65.2	64.6	87.6	93.8	65.6	62.9
62.1	69.2	61.1	63.6	62.2	57.7	80.6	88.7	60.2	60.9
62.6	73.6	63.7	59.7	64.1	64.1	82.1	86.5	61.6	58.6
59.7	74.5	60.1	63.6	59.7	67.7	81.4	90.9	59.7	60.9
61.5	69.8	63.2	60.1	60.6	62.7	83.1	86.6	58.1	64.0
60.2	78.9	65.1	61.7	64.1	63.2	93.0	88.6	65.2	62.7
60.2	70.2	63.5	64.7	62.2	62.6	83.4	90.0	58.7	63.0
64.7	73.5	62.5	63.7	61.7	61.1	80.1	86.4	59.6	64.0
63.6	73.1	61.1	58.1	62.1	64.1	83.1	87.1	57.7	60.6
62.9	75.0	63.6	64.6	64.1	63.1	85.5	86.5	60.2	68.1
58.2	76.1	67.0	64.7	63.1	63.2	87.5	87.0	63.7	63.6
64.0	68.2	58.2	63.2	62.2	62.1	85.1	89.0	63.1	58.2
60.2	72.8	63.4	64.1	64.7	58.2	84.6	89.5	58.2	59.7
61.1	69.2	60.9	60.6	60.2	64.2	80.3	88.0	62.6	60.6
66.6	79.8	57.7	62.1	61.2	69.2	79.9	86.1	60.2	62.6
62.2	74.9	66.5	67.1	66.7	62.9	87.7	85.4	62.7	64.7
65.1	66.7	58.8	63.7	61.6	58.2	81.1	81.5	58.2	64.2
60.7	67.2	62.1	66.1	61.2	64.1	85.1	87.9	57.7	58.2
60.7	72.1	61.8	62.2	61.8	59.7	84.5	92.0	60.6	61.2
65.1	73.0	62.2	62.4	58.7	61.7	82.1	88.2	61.2	57.7
65.4	76.8	68.7	62.5	61.7	64.0	88.5	85.5	62.1	65.5
59.0	73.9	58.1	61.1	60.2	61.6	85.4	87.1	63.7	59.7
60.1	71.4	60.2	62.2	59.2	62.6	78.5	84.6	60.2	63.2
61.1	70.5	58.2	62.2	66.6	58.6	79.5	82.2	55.7	58.8
57.7	70.5	61.6	61.2	60.2	57.7	83.1	89.3	65.2	57.8
65.2	79.5	67.4	64.2	64.2	69.1	87.1	87.0	61.7	64.2
60.7	68.5	61.1	64.6	60.7	66.2	87.0	86.8	60.2	67.1
63.1	67.6	59.2	66.4	64.7	57.2	80.5	81.4	61.7	64.7
62.7	73.1	58.1	60.9	61.4	60.2	77.5	81.6	60.6	60.1
61.7	73.0	67.2	61.2	63.1	64.8	82.0	90.9	62.6	59.2
66.7	77.6	61.2	62.6	60.1	69.1	83.9	92.8	61.5	65.7
62.2	73.0	67.2	57.3	63.2	59.6	81.4	88.0	62.2	58.8
58.1	74.5	59.2	59.2	59.2	56.7	85.3	84.4	67.0	62.8
61.7	69.1	62.2	61.7	62.1	60.2	77.4	88.9	62.6	64.2
60.7	76.3	61.2	62.2	60.6	62.2	80.5	91.0	60.1	61.2
66.2	70.4	65.6	59.2	64.2	63.6	84.8	94.0	62.2	62.7
61.4	73.8	63.5	60.7	62.2	61.6	80.9	85.3	59.2	62.1
59.7	71.1	61.9	62.5	60.7	62.8	81.0	83.8	63.2	58.7
62.2	74.9	63.7	68.2	63.2	59.7	79.6	89.0	60.2	65.2
62.2	70.3	59.2	62.8	62.2	58.7	80.1	87.0	57.7	61.2
63.1	73.8	67.1	63.5	62.6	60.5	87.0	89.6	62.7	63.2
68.7	73.5	61.6	61.4	63.5	62.4	77.8	85.1	62.6	60.2
60.7	71.2	59.7	62.0	61.2	61.7	87.5	84.5	63.7	64.0
59.7	68.6	59.7	67.5	60.7	57.1	80.5	85.4	59.2	62.7
58.7	69.6	59.2	60.7	66.2	59.7	82.1	81.6	62.2	63.1
64.2	76.6	60.7	62.6	63.7	59.2	85.4	87.5	61.7	63.6
65.2	73.1	61.1	59.2	60.6	65.2	85.7	87.6	62.7	59.1
59.5	73.1	66.5	61.1	58.2	60.7	79.4	88.5	60.2	64.2
62.7	72.7	55.7	59.2	64.7	61.7	80.6	85.5	64.2	62.7
58.6	72.7	61.7	63.3	58.1	61.2	82.1	82.4	59.7	60.2
63.1	73.0	62.0	63.2	68.5	63.7	89.0	86.6	65.1	58.5
60.7	67.7	64.6	61.7	59.1	62.7	83.6	87.5	58.1	58.4
63.2	72.0	65.0	60.2	60.6	63.9	79.5	87.5	60.1	60.7
58.7	69.5	58.7	60.2	59.7	62.1	86.0	86.8	65.7	58.6
60.7	73.6	58.7	66.6	63.2	62.7	81.1	83.5	59.2	61.2
63.7	72.8	61.3	66.7	65.6	60.2	80.9	85.4	62.2	61.2
61.2	70.2	59.2	58.7	61.2	57.2	89.7	83.6	60.1	58.7
63.2	71.2	61.6	60.2	64.9	63.0	80.3	86.8	60.6	63.2
65.7	69.8	57.6	61.7	59.2	63.1	85.4	85.2	60.1	61.6
62.2	73.9	61.6	63.2	62.1	62.2	81.3	85.4	61.9	61.7
67.5	76.6	63.6	62.9	64.7	60.2	80.6	84.1	63.7	63.1
61.2	72.1	61.7	61.2	59.7	58.7	82.6	81.9	57.5	59.5
64.1	72.0	61.7	64.7	64.5	61.3	84.7	90.1	58.5	57.1
59.2	69.6	69.2	59.6	60.1	65.6	80.8	85.0	64.1	63.2
63.3	68.6	64.7	57.7	61.7	58.7	83.4	83.9	61.2	62.8
63.2	77.6	61.5	67.7	67.6	63.2	86.9	89.0	62.7	65.0
57.7	73.2	63.1	64.2	61.1	61.6	81.0	82.3	64.1	60.6
62.7	68.7	61.6	59.2	66.6	59.7	80.0	86.7	60.7	60.1
60.6	72.4	66.1	60.6	59.7	64.3	78.8	84.8	56.7	60.1
60.6	72.6	60.6	59.2	59.6	62.7	84.4	89.0	67.0	58.7
63.6	73.1	62.7	67.2	60.1	63.7	81.8	80.7	60.7	63.0
58.6	70.6	61.6	62.1	62.6	61.1	85.5	84.0	60.7	61.7
60.2	69.7	62.2	56.1	59.1	60.6	78.3	85.4	55.7	61.7
56.6	74.1	58.7	62.2	62.6	61.7	77.8	84.9	59.5	63.1
56.7	70.7	61.9	63.5	62.6	61.7	78.4	82.6	59.1	59.2
63.6	70.1	59.7	62.2	64.2	62.2	87.5	88.6	63.0	64.2
62.1	72.1	61.2	62.1	59.7	61.2	84.0	87.9	60.2	65.3
61.2	77.5	60.2	61.2	58.0	62.1	80.2	86.1	60.9	64.5
62.6	69.6	61.7	64.2	59.7	63.1	79.9	87.1	62.0	63.1
60.0	74.0	67.2	61.1	58.2	63.2	80.5	82.7	60.2	64.3
