C	D	E	F	G	H	I	J	K	L
476	467	497	452	499	465	557	434	484	448
476	466	497	452	499	465	557	434	484	448
476	466	496	452	499	465	558	434	484	448
476	467	497	452	498	465	558	433	484	447
476	467	497	452	498	465	558	433	484	448
476	467	497	452	499	465	557	434	484	448
476	466	497	452	499	465	557	434	484	448
476	466	496	452	499	465	557	434	484	448
476	466	497	452	498	465	557	433	484	447
476	467	497	452	499	465	558	433	484	447
476	467	497	452	499	465	557	434	484	448
476	466	497	452	499	465	557	434	484	448
476	466	496	452	499	465	557	434	484	448
476	466	497	452	498	465	557	433	484	447
476	466	497	452	498	465	557	434	484	448
476	466	497	452	498	465	557	434	484	448
476	466	497	452	499	465	557	434	484	448
476	466	496	452	499	465	557	434	484	448
476	466	497	452	498	465	557	433	484	447
476	466	497	452	498	465	558	434	484	448
476	466	497	452	499	465	557	434	484	448
476	466	497	452	499	465	557	434	484	448
476	466	496	452	499	464	557	434	484	448
476	466	497	452	499	465	557	433	484	447
476	466	497	452	499	465	557	433	484	448
476	466	497	452	499	465	557	434	484	448
476	466	497	452	499	465	557	434	484	448
476	466	496	452	499	464	557	434	484	448
476	466	497	452	499	465	557	433	484	447
476	466	497	452	499	465	557	433	484	447
476	466	497	452	499	465	557	434	484	448
476	466	497	452	499	465	557	434	484	448
476	466	496	452	499	464	557	434	484	448
476	466	497	452	499	465	557	433	484	447
476	466	497	452	499	465	557	434	484	447
476	466	497	452	499	465	557	434	484	447
476	466	497	452	499	465	557	434	484	448
476	466	496	452	499	464	557	434	484	448
476	466	497	452	499	464	557	433	484	447
476	466	497	452	499	465	557	433	484	447
476	466	497	452	499	465	557	434	484	448
476	466	497	452	499	465	557	434	484	448
477	466	496	452	499	464	557	434	484	448
476	466	497	452	499	464	557	433	484	447
476	466	497	452	499	465	556	433	484	448
476	466	497	452	499	465	557	434	484	448
476	466	497	452	499	465	557	434	484	448
476	466	496	452	499	464	557	434	484	448
476	466	497	452	499	464	557	433	483	447
476	466	497	452	499	464	556	433	484	447
476	466	497	452	499	465	557	434	484	447
476	466	497	452	499	465	557	434	484	447
476	466	496	452	499	464	557	433	484	448
476	466	497	452	499	464	557	433	484	447
476	466	497	452	499	465	556	433	484	448
476	466	497	452	499	465	556	434	484	448
476	465	497	452	499	465	557	434	484	448
476	466	496	452	499	464	557	433	484	448
476	466	497	452	498	464	557	433	484	447
476	466	497	452	499	464	556	433	484	447
476	466	497	452	499	465	557	434	484	448
476	466	497	452	499	465	557	434	484	448
475	466	496	452	499	464	557	433	484	448
476	466	497	452	498	465	557	433	484	447
476	466	497	452	499	465	556	434	484	447
476	466	497	452	499	465	557	434	484	448
476	466	497	452	499	465	557	434	484	448
476	466	496	452	499	464	557	433	484	448
476	466	497	452	499	465	557	433	483	447
476	466	497	452	499	465	556	433	484	447
476	466	497	452	499	465	557	434	484	447
476	466	497	452	499	465	557	434	484	448
476	466	497	452	499	464	557	433	484	448
476	466	497	452	499	464	557	433	484	447
476	466	497	452	499	465	556	433	484	447
476	466	497	452	499	465	557	433	484	448
476	466	497	452	499	465	557	434	484	448
476	466	497	452	499	464	557	433	484	448
476	466	497	452	499	464	557	433	484	447
476	466	497	452	499	465	556	433	484	447
476	466	497	452	499	465	556	434	484	447
476	466	497	452	499	465	557	434	484	448
475	466	497	452	499	464	557	433	485	448
476	466	497	452	498	464	557	433	484	447
476	466	497	452	498	465	556	433	484	448
476	466	497	452	499	465	557	434	484	448
476	466	497	452	499	465	557	434	484	448
476	466	497	451	499	464	557	433	484	448
476	466	497	452	498	465	557	433	484	447
476	466	497	452	499	465	556	434	484	447
476	466	497	452	499	465	557	434	484	447
476	466	497	452	499	465	557	434	484	448
476	466	497	452	499	464	557	433	484	448
476	466	497	452	498	465	557	433	484	447
476	466	497	452	499	465	556	434	484	448
476	466	497	452	499	465	557	434	484	448
476	466	497	452	499	465	557	434	484	448
476	466	497	452	499	464	557	433	484	448
476	466	497	452	498	465	557	433	484	447
476	467	497	452	499	465	556	433	484	447
476	467	497	452	499	465	557	433	484	448
476	467	497	452	499	465	557	434	484	448
475	467	497	452	499	464	557	433	484	448
476	467	497	452	498	464	557	433	484	447
476	467	498	452	498	465	556	434	484	447
476	467	498	452	499	465	556	434	484	447
476	467	498	452	499	465	557	434	484	447
476	467	497	452	499	464	557	434	484	447
476	467	497	452	498	464	557	434	484	447
476	467	497	452	499	465	557	434	484	447
476	467	497	452	499	465	557	434	484	447
476	467	497	452	499	465	557	434	484	447
476	467	497	452	499	464	557	433	484	448
476	467	497	452	498	464	557	434	484	447
476	467	497	452	498	465	557	434	484	447
476	467	497	452	499	465	557	434	484	448
476	467	497	452	499	465	557	434	484	448
476	467	497	452	499	464	557	433	484	448
476	467	497	452	499	464	557	433	484	447
476	467	497	452	499	464	557	434	484	447
476	466	497	452	499	465	557	434	484	447
476	467	496	452	499	465	557	434	484	448
476	467	497	451	499	464	557	433	484	448
476	467	497	452	499	464	557	434	484	447
476	467	497	452	499	464	557	434	484	447
476	466	497	452	499	465	557	434	484	447
476	466	496	452	499	465	557	434	484	447
476	467	497	451	499	464	557	433	484	448
476	467	497	452	498	464	557	433	484	447
476	467	497	452	499	465	557	433	484	448
476	466	497	452	499	465	557	434	484	448
476	467	496	452	499	465	557	434	484	448
476	467	497	452	498	464	557	433	484	448
476	467	497	452	498	464	557	434	484	447
476	467	497	452	498	465	556	434	484	447
476	466	497	452	499	465	557	434	484	448
476	466	496	452	499	465	557	434	484	448
475	466	496	451	498	464	557	433	484	448
476	467	497	452	498	464	557	433	484	447
476	467	497	452	499	465	557	434	484	447
476	466	497	452	499	465	557	434	484	448
476	466	496	452	499	464	557	434	484	448
476	466	496	451	498	464	557	433	484	448
476	466	497	452	498	464	557	433	483	447
476	467	497	452	499	465	557	433	484	447
476	466	497	452	499	465	557	434	484	448
476	466	496	452	499	464	557	434	484	448
475	466	497	451	498	464	557	433	484	447
475	467	497	452	498	464	557	433	484	447
476	467	497	452	498	464	557	433	484	447
476	466	497	452	499	465	557	434	484	447
476	467	496	452	499	464	557	434	484	448
476	467	497	451	498	464	557	433	484	447
476	467	497	452	498	464	557	433	484	447
476	467	497	452	498	465	556	433	484	448
476	466	497	452	499	465	557	433	484	448
476	466	496	452	499	464	557	434	484	448
476	467	497	451	498	464	557	433	484	447
476	467	497	451	498	464	557	433	484	447
476	467	497	452	499	465	557	434	484	447
476	466	497	452	499	465	557	434	484	448
476	466	496	452	499	464	557	434	484	448
476	466	497	451	498	464	557	433	484	447
476	467	497	451	498	464	557	433	484	447
476	467	497	452	498	464	556	433	484	447
476	466	497	452	499	465	557	433	484	448
476	466	496	452	499	464	557	434	484	448
476	466	497	451	498	464	557	433	484	447
476	467	497	452	498	464	557	433	484	447
476	467	497	452	498	465	557	433	484	448
476	466	497	452	499	465	557	433	484	448
476	466	496	452	499	464	557	434	484	448
476	467	497	451	498	464	557	433	484	447
476	467	497	452	499	465	557	433	484	447
476	467	497	452	499	465	557	433	484	448
476	466	497	452	499	465	557	434	484	448
476	467	497	452	499	464	557	434	484	448
476	467	497	451	498	464	558	433	484	447
476	467	497	452	499	465	558	433	484	447
476	467	497	452	499	465	557	433	484	447
476	466	497	452	499	465	557	434	484	447
476	466	496	452	499	464	557	434	484	448
476	467	497	451	499	464	557	433	484	447
476	467	497	452	499	464	557	433	484	447
476	467	497	452	499	464	557	433	484	448
476	466	497	452	499	465	557	433	484	448
476	466	497	452	499	464	557	433	484	448
476	466	497	451	498	464	557	433	483	447
476	467	497	451	499	464	557	433	484	447
476	467	497	452	499	465	557	433	484	448
476	466	497	452	499	465	557	433	484	448
476	466	496	451	499	464	557	433	484	448
476	466	497	451	498	464	557	433	483	447
476	466	497	452	499	464	557	433	484	447
476	467	497	452	499	465	557	433	484	448
476	466	497	452	499	465	557	433	484	448
476	466	497	451	499	464	557	433	484	448
476	466	497	451	498	464	557	433	483	447
476	467	497	452	499	464	557	433	484	447
476	467	497	452	499	465	557	433	484	447
476	465	497	452	499	465	557	434	484	447
476	466	497	452	499	464	557	433	484	448
476	466	497	452	498	464	557	433	483	447
476	466	497	452	499	464	557	433	484	447
476	467	497	452	499	465	557	433	484	448
476	466	497	452	499	465	557	433	484	448
476	466	497	451	499	464	557	433	484	448
476	466	497	452	498	464	557	433	483	447
476	466	497	452	499	464	556	433	484	447
476	467	497	452	499	465	557	434	484	448
476	466	497	452	499	465	557	434	484	448
476	466	496	452	499	464	557	433	484	448
476	466	497	452	498	464	557	433	484	447
476	466	497	452	499	464	557	433	484	448
476	467	497	452	499	464	557	433	484	448
476	466	497	452	499	464	557	434	484	448
476	466	497	451	499	464	557	433	484	448
476	466	497	452	498	464	557	433	484	447
476	466	497	452	499	464	557	433	484	447
476	467	497	452	499	465	557	433	484	448
476	466	497	452	499	465	557	434	484	448
476	466	496	451	499	464	557	433	484	448
476	466	497	452	498	464	557	433	484	447
476	466	497	452	499	464	557	433	484	447
476	466	497	452	499	465	557	433	484	448
