C	D	E	F	G	H	I	J	K	L
31.1	29.2	32.9	41.6	35.4	40.6	23.3	35.0	34.5	31.5
50.3	35.2	36.7	45.8	39.8	44.7	34.3	45.2	36.8	38.3
51.8	36.7	36.3	45.6	38.0	44.7	35.7	37.0	36.7	35.8
37.3	36.7	37.7	42.0	37.3	45.2	35.7	47.2	36.3	48.1
37.4	55.1	38.3	47.2	38.3	45.7	35.2	37.8	36.8	42.1
36.4	46.2	38.3	45.7	36.8	36.8	35.3	46.4	36.2	43.2
37.3	45.3	37.3	45.8	37.8	44.0	34.8	39.3	36.2	43.6
37.3	43.3	36.3	44.8	37.8	39.8	34.8	38.6	46.7	38.7
37.7	46.2	37.8	45.2	37.7	44.3	35.3	36.3	46.3	44.8
38.3	39.7	35.4	40.8	39.2	39.3	36.3	48.3	45.3	42.3
38.8	48.7	37.3	40.1	36.2	36.8	34.3	38.2	46.3	42.8
36.3	46.3	37.3	46.3	38.7	36.3	36.3	39.7	45.7	43.3
36.3	45.0	37.3	41.3	38.3	46.5	32.8	41.1	41.1	38.6
36.3	44.8	37.2	45.7	38.2	43.3	50.4	39.7	47.3	36.7
37.7	44.7	35.8	36.3	38.3	41.7	45.8	46.0	45.5	36.8
36.3	35.8	36.8	37.2	37.8	39.3	42.5	38.7	45.8	36.8
36.8	50.1	35.3	44.8	50.7	39.7	45.7	44.1	45.8	37.3
36.3	36.7	36.8	43.2	46.7	43.3	34.1	42.2	45.2	36.8
38.8	48.2	36.2	42.8	46.2	42.3	44.4	39.9	41.3	36.3
37.3	39.2	36.7	42.3	46.7	43.3	48.1	37.7	42.8	36.8
37.3	37.8	36.3	39.7	47.3	42.3	41.9	36.7	43.2	37.3
36.6	41.7	55.2	43.8	36.3	38.4	40.9	36.1	43.6	38.3
36.7	42.3	45.3	43.3	52.2	36.7	44.9	36.8	42.7	37.2
36.1	43.8	42.3	42.7	46.8	36.8	38.6	35.8	35.4	35.8
39.3	41.8	46.2	43.3	47.1	35.3	36.0	38.3	37.3	37.8
52.7	43.2	45.2	40.8	45.8	37.3	48.8	36.2	45.7	35.8
47.5	36.8	45.3	36.8	46.2	36.2	35.7	35.2	43.3	38.3
46.3	47.3	46.2	37.2	38.3	36.8	48.2	38.1	42.2	36.8
44.2	41.1	45.7	36.6	49.3	37.5	32.7	37.8	42.3	46.7
42.8	41.7	43.2	36.7	41.1	36.8	37.3	36.2	40.5	51.2
43.8	40.7	45.3	35.2	46.2	36.7	36.3	38.6	41.7	40.8
48.3	37.7	44.2	36.6	41.1	37.3	46.6	35.3	43.0	39.0
46.3	36.8	36.8	37.8	39.4	37.3	41.8	35.9	42.1	39.8
43.8	37.3	49.2	37.2	38.2	35.8	42.3	37.6	42.8	39.8
44.2	37.4	35.8	38.8	49.8	37.2	37.8	45.2	42.8	40.7
43.2	36.3	49.8	36.8	45.6	36.3	36.7	50.8	29.8	40.3
36.3	35.3	37.3	35.8	43.3	37.3	46.1	39.5	37.1	38.8
50.2	38.3	37.3	35.7	42.7	46.8	42.3	38.6	37.3	39.7
38.8	35.8	44.2	37.3	39.8	47.7	41.8	41.1	36.3	38.8
47.4	37.8	41.8	37.3	48.1	40.3	38.1	39.2	37.3	38.8
37.8	36.8	42.2	37.8	44.3	40.3	37.7	38.8	35.7	38.3
37.8	36.6	43.3	47.7	44.7	39.8	34.8	38.8	36.2	40.7
44.3	36.3	42.3	49.8	44.3	38.8	37.2	38.8	36.1	40.2
43.3	37.3	38.8	37.3	40.1	38.8	35.7	39.3	36.2	40.3
41.8	35.3	46.8	41.3	38.3	40.8	36.3	38.3	36.7	37.3
43.3	36.8	42.7	40.7	39.3	40.3	32.4	38.7	37.6	39.8
41.8	43.2	41.8	39.3	38.3	39.8	35.8	35.2	34.6	39.8
41.3	43.7	43.2	40.2	38.8	40.3	37.2	41.7	36.7	40.3
43.8	50.6	37.2	40.3	38.2	38.8	36.3	37.2	36.7	40.8
41.8	40.8	36.8	40.3	39.2	37.8	35.8	39.2	36.2	40.2
43.3	39.8	37.3	40.3	39.7	40.2	35.7	40.1	51.7	39.2
43.3	39.8	36.2	39.8	38.8	40.7	34.4	37.7	49.7	38.6
37.3	40.3	37.2	40.7	39.3	39.8	36.3	39.1	36.8	41.1
37.3	38.8	37.8	39.3	38.3	39.2	36.3	38.8	42.8	40.8
37.3	39.2	37.7	39.8	38.8	38.8	35.7	37.3	40.8	40.6
37.2	41.1	36.8	40.2	39.7	39.8	34.8	38.8	39.3	38.2
37.3	40.2	36.8	39.8	39.3	39.3	44.0	40.3	38.8	42.8
37.3	39.8	36.7	38.3	38.8	39.7	49.3	37.3	40.8	42.7
37.3	40.2	37.2	39.8	47.3	40.7	39.8	39.2	39.3	39.2
37.3	36.8	36.8	40.2	43.2	34.8	38.8	41.6	41.3	35.8
37.2	39.8	37.3	39.3	51.2	36.7	39.3	39.8	39.3	38.8
36.8	39.3	36.2	39.3	42.2	40.8	35.8	36.6	37.8	53.7
36.2	39.8	36.8	39.3	40.8	39.7	37.3	43.2	39.3	37.8
38.3	40.6	47.6	40.3	40.8	41.8	39.3	40.3	39.8	36.3
37.2	39.8	44.0	38.8	40.3	36.3	39.1	36.8	39.3	47.7
36.3	38.7	46.7	37.3	41.3	41.3	40.2	35.8	40.8	51.1
37.3	40.2	38.2	43.7	40.3	40.1	35.2	45.2	39.3	39.3
48.2	38.8	39.5	40.8	40.7	38.3	39.1	55.2	38.8	54.7
47.3	39.8	40.2	37.8	41.3	36.8	37.3	36.3	40.8	46.3
40.3	38.8	40.0	42.3	40.6	49.8	39.7	33.3	39.8	36.8
41.7	36.7	40.8	40.6	42.3	49.3	39.8	44.6	39.8	36.8
40.1	39.6	38.8	41.2	37.8	35.7	38.8	51.7	39.2	47.6
41.2	40.2	40.2	36.8	43.8	37.2	38.2	40.8	39.8	49.3
39.8	40.7	40.8	39.3	41.8	52.7	38.5	56.7	38.3	37.8
39.7	40.2	39.8	61.2	40.2	48.7	39.2	45.1	36.3	36.8
39.8	40.7	40.3	37.3	41.8	41.3	39.3	32.1	43.8	35.9
39.8	38.3	38.2	36.8	40.8	52.7	38.8	35.6	41.8	36.3
41.3	37.9	41.9	42.2	42.3	42.0	37.3	49.6	39.3	55.2
40.7	36.8	40.8	46.1	40.3	37.3	39.3	50.1	41.8	47.8
39.8	51.2	39.2	44.2	40.6	35.8	36.2	37.1	41.8	46.2
39.3	50.7	39.3	54.7	40.7	58.9	40.3	34.3	41.3	47.7
38.8	33.3	40.8	47.2	40.8	36.3	40.2	33.2	36.2	45.8
39.3	36.2	39.8	36.8	37.3	36.3	40.2	39.3	39.8	36.9
40.7	54.7	39.3	37.3	44.7	36.8	32.8	55.6	54.6	37.9
39.8	47.2	40.8	49.3	41.2	37.3	43.6	46.2	37.3	36.8
40.3	46.1	40.3	50.3	40.8	49.3	38.8	43.7	37.3	38.3
39.8	48.6	39.2	36.8	40.8	46.7	37.2	42.3	42.3	37.3
40.6	38.2	37.2	36.3	41.3	43.7	36.7	49.6	55.2	38.8
40.3	36.3	43.1	37.2	42.3	52.9	46.2	39.2	40.8	51.3
40.3	39.7	40.8	39.8	39.3	47.3	49.7	35.3	55.2	45.8
39.3	59.4	39.8	49.9	36.3	42.3	36.8	37.3	47.7	37.8
37.3	36.2	40.3	46.2	53.2	37.2	31.8	34.3	35.8	36.8
40.8	36.2	40.3	48.6	51.1	36.7	48.6	34.8	36.8	51.2
40.8	36.3	40.8	48.6	37.8	38.3	46.3	35.8	48.3	48.7
39.8	35.3	38.8	42.2	37.3	37.8	39.3	49.7	49.7	53.2
42.3	53.2	37.3	36.8	56.7	38.8	56.7	46.2	37.3	48.2
41.3	47.3	50.7	38.3	47.7	47.8	43.7	36.3	36.3	37.3
39.8	41.3	51.2	37.3	51.2	45.3	34.7	36.1	37.3	36.8
36.7	54.2	33.8	37.2	49.3	36.8	35.2	41.8	37.8	35.8
37.3	47.8	38.3	38.3	40.8	37.3	47.8	56.7	51.2	35.8
62.6	39.3	53.7	38.8	38.3	36.3	48.8	43.2	47.3	36.8
40.3	37.2	48.6	53.7	41.2	60.2	34.8	57.7	43.7	37.2
35.8	37.1	45.2	36.8	57.1	42.3	36.6	35.8	50.2	37.1
35.8	37.3	47.7	38.3	38.2	57.4	34.8	34.8	46.2	36.3
59.2	36.2	42.8	36.8	37.8	43.2	35.8	34.7	36.3	37.8
44.3	36.8	36.3	52.6	37.8	36.3	56.2	35.8	38.3	36.3
51.7	48.1	37.4	43.8	37.3	35.8	46.2	34.8	36.8	35.3
49.3	48.3	62.2	57.2	53.2	36.3	36.5	35.8	38.8	37.3
37.3	35.3	35.8	46.3	49.5	35.7	55.0	35.2	37.7	35.8
37.1	38.6	36.7	37.3	43.3	36.3	43.7	34.2	38.2	50.2
49.7	37.2	36.8	37.3	55.1	36.8	36.7	36.8	49.0	45.8
47.2	57.8	35.8	36.6	47.8	36.8	37.8	35.8	44.8	42.7
37.3	40.3	49.2	37.3	41.3	36.3	35.8	36.3	38.2	49.7
36.8	61.1	47.3	35.8	37.2	35.9	37.1	33.8	37.2	49.2
37.3	41.8	39.3	36.8	38.3	37.2	35.2	36.3	54.1	44.3
37.1	37.8	50.7	37.3	39.3	36.8	35.2	46.4	45.8	45.0
56.7	35.3	48.1	36.8	38.8	35.3	47.2	38.6	57.3	42.4
48.8	35.3	40.3	36.8	38.3	47.7	44.2	49.3	47.2	50.2
41.8	37.3	37.8	37.3	46.7	40.3	36.3	36.0	37.3	50.7
57.1	36.2	37.8	36.3	48.8	47.5	36.7	50.6	36.3	52.2
46.2	36.3	37.7	37.3	37.7	38.3	38.2	48.7	35.7	49.8
36.8	34.8	37.8	42.8	38.2	50.3	60.9	49.5	36.3	52.1
37.7	37.3	38.8	43.2	43.2	49.7	42.2	49.7	34.3	48.3
39.8	36.3	44.8	47.2	59.6	50.7	58.5	36.3	38.3	36.8
37.2	36.3	48.2	41.3	38.2	49.7	37.2	49.1	36.2	36.7
38.3	36.8	36.1	50.1	57.6	36.8	36.2	50.8	36.3	36.8
37.8	36.3	38.8	50.8	40.3	50.3	30.3	50.3	35.7	53.2
48.7	47.7	37.3	50.7	38.3	49.8	35.3	47.2	37.8	45.0
48.8	39.3	62.2	47.3	36.7	57.2	35.9	60.7	36.2	38.7
35.8	48.7	40.3	35.3	37.3	41.3	36.7	36.6	37.2	51.2
38.2	37.2	57.2	51.1	37.3	60.7	35.8	35.7	42.8	44.5
55.0	50.5	41.8	49.7	37.3	40.2	32.8	35.8	42.3	42.3
48.6	51.0	36.8	56.9	36.8	36.2	34.6	42.9	48.2	53.2
52.7	49.6	36.8	44.0	37.1	36.8	36.3	47.1	39.3	46.7
50.2	50.7	36.8	60.2	37.6	41.8	35.8	40.8	50.2	46.2
36.8	35.2	35.3	41.3	37.8	47.7	35.9	40.7	51.1	49.7
36.8	52.3	36.8	36.3	36.8	44.7	36.3	50.2	45.3	39.3
36.3	48.2	36.8	35.8	37.8	42.6	36.8	43.2	50.0	61.7
37.8	63.7	36.8	47.2	37.2	48.0	43.7	39.2	40.3	38.8
36.3	38.3	37.8	45.7	50.5	45.6	46.2	57.2	50.7	61.7
37.2	60.1	35.3	44.8	37.7	37.8	37.7	39.8	50.5	38.8
37.6	38.8	37.2	39.3	49.2	54.7	50.6	48.2	56.2	60.2
36.8	35.2	36.3	52.3	38.3	42.3	48.7	45.2	48.1	38.8
36.8	37.3	36.3	46.3	53.2	53.7	48.5	46.5	59.2	60.6
37.8	49.7	47.3	39.8	48.7	46.2	50.7	51.7	42.3	40.2
35.8	43.6	40.8	52.7	51.8	49.2	35.8	37.8	36.8	48.3
37.8	41.7	49.6	41.3	51.3	50.2	50.1	58.1	36.2	43.6
36.8	47.2	38.8	49.8	41.7	48.7	50.2	47.2	41.7	44.3
51.3	45.8	45.8	45.1	47.2	46.7	44.3	48.3	48.2	40.8
45.8	46.7	51.2	50.1	48.7	47.8	51.6	40.3	45.7	47.2
42.3	36.0	50.0	47.3	58.6	49.7	59.6	56.5	38.8	43.5
43.7	56.4	43.2	48.7	44.7	44.3	39.3	37.2	51.7	37.8
50.7	39.8	41.2	46.8	59.1	55.2	35.3	49.2	44.3	36.2
46.8	54.3	49.7	49.3	36.8	41.3	35.8	42.7	40.3	36.2
50.2	43.2	48.2	47.3	35.7	45.7	41.4	42.2	50.8	36.8
42.3	58.0	59.6	49.2	37.3	42.7	50.0	45.7	45.3	36.8
49.2	39.7	42.7	47.2	51.8	41.7	44.3	41.2	47.7	35.2
50.7	56.8	59.1	43.6	45.3	45.8	36.8	44.7	48.7	36.7
50.3	42.7	42.8	43.5	42.2	43.8	52.7	40.3	40.6	36.7
54.2	54.5	36.3	44.3	48.7	43.8	42.5	36.8	57.8	38.7
51.8	43.2	35.8	41.8	46.7	40.2	39.2	34.6	43.3	36.8
46.3	53.7	44.8	46.1	44.3	33.2	53.1	33.7	58.2	34.8
36.3	38.2	46.8	45.2	49.8	36.3	43.2	35.1	47.3	36.3
36.8	47.7	46.2	43.2	47.6	36.8	52.1	35.7	51.7	37.3
36.2	44.7	37.3	38.8	37.8	36.3	44.4	36.1	42.3	37.3
54.3	44.3	51.8	36.8	55.7	35.7	45.6	36.2	56.7	36.2
41.8	37.8	44.2	35.8	42.3	34.6	48.4	35.7	37.8	37.3
41.2	47.7	39.3	36.8	56.7	35.4	45.7	34.7	50.7	36.3
50.2	43.2	56.2	37.8	41.7	38.7	56.2	37.3	44.2	35.8
46.7	44.2	44.1	34.2	58.2	36.8	45.2	35.8	42.8	44.8
43.3	37.1	51.7	37.3	41.0	36.8	52.9	36.7	45.3	40.7
51.2	36.8	46.2	35.1	55.2	36.3	43.6	35.8	43.7	41.1
45.2	35.8	41.3	37.8	43.7	36.6	53.2	32.3	43.3	40.6
46.8	35.8	54.6	37.8	54.2	36.3	42.7	37.2	40.3	41.8
51.3	37.3	48.8	36.3	44.8	36.8	44.2	36.7	36.2	40.3
39.8	37.8	46.7	37.7	44.2	36.8	41.3	35.3	36.3	38.8
58.2	37.3	49.8	36.8	44.3	36.3	41.3	42.3	36.6	41.3
39.7	35.8	51.2	36.8	45.7	37.2	43.8	40.6	37.3	39.8
59.2	38.3	50.0	36.8	40.3	44.2	43.8	36.2	36.3	39.8
42.3	36.3	50.1	36.1	50.2	40.2	44.3	41.1	36.8	39.3
57.7	36.5	44.3	37.1	43.7	40.3	38.8	40.3	35.8	39.3
38.8	36.8	41.8	40.5	44.2	42.8	35.7	41.3	37.8	39.7
58.7	36.7	45.7	41.6	38.1	39.3	34.8	37.1	36.8	39.2
40.8	34.8	41.8	41.7	36.3	41.8	36.2	37.2	36.3	36.2
48.7	36.8	46.3	39.3	37.3	37.3	34.3	38.8	35.8	39.3
44.7	36.3	44.8	42.7	37.3	41.7	36.2	37.8	36.8	39.3
43.2	37.3	43.5	41.2	37.6	39.7	34.8	40.2	36.2	40.8
39.8	41.2	39.7	40.7	36.0	39.3	35.3	37.8	36.7	39.8
46.6	41.3	36.3	40.3	37.3	39.2	38.8	38.7	36.7	39.3
43.7	40.3	37.3	39.8	37.3	38.7	35.3	37.7	35.8	40.8
42.8	38.1	36.3	39.8	39.3	38.8	35.8	39.8	35.8	39.8
36.8	43.3	35.8	40.3	36.8	39.8	34.8	40.6	44.2	40.3
36.6	39.8	37.3	40.7	36.8	39.3	36.3	37.3	41.6	38.8
37.3	40.8	36.8	40.3	36.8	39.7	35.7	41.7	40.8	40.3
37.3	39.7	36.1	40.8	38.3	37.8	34.8	37.6	42.8	40.1
36.8	40.3	38.3	39.8	37.3	42.8	35.5	38.7	41.3	38.8
37.3	40.3	36.6	39.8	37.3	40.8	35.3	39.3	40.1	37.8
36.3	39.3	36.0	39.8	37.3	39.3	36.7	38.8	37.8	35.8
38.8	40.2	36.8	39.8	37.3	38.8	43.8	40.3	42.7	36.7
37.2	38.8	35.8	40.2	42.7	40.3	40.3	38.8	39.3	36.8
37.3	39.8	37.3	39.8	41.8	39.2	39.2	38.2	39.7	37.3
37.8	40.7	37.3	38.7	42.2	40.3	40.8	38.6	39.2	36.8
36.8	38.3	36.7	40.7	37.2	39.3	37.7	36.8	40.7	35.8
37.3	39.3	36.8	38.3	45.2	40.3	42.1	38.2	40.3	37.3
36.2	39.2	39.3	39.8	41.7	37.2	37.2	35.9	39.3	35.8
37.3	39.2	42.3	40.3	39.8	37.3	40.6	35.3	39.3	37.2
37.3	40.3	41.8	39.8	42.3	36.1	37.9	36.2	39.7	37.3
36.8	39.3	39.3	40.8	39.8	36.3	37.2	35.7	37.3	36.3
45.3	38.8	42.3	36.8	41.7	37.3	39.4	37.3	40.8	35.9
41.8	39.7	39.2	37.8	40.3	36.6	38.8	35.8	39.3	35.8
41.1	38.7	40.7	36.8	39.8	36.3	39.8	35.3	39.7	37.1
