A	B
1126	305
1126	304
1126	304
1126	305
1126	305
1126	305
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	305
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
1126	304
