A	B
54	28
54	28
54	28
54	28
54	28
55	28
55	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
55	28
55	28
55	28
55	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
55	28
55	28
55	28
55	28
55	28
55	28
55	28
55	28
54	28
55	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
55	28
55	28
55	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
55	28
55	28
55	28
55	28
55	28
55	28
55	28
55	28
54	28
55	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
55	28
54	28
55	28
55	28
55	28
55	28
55	28
55	28
54	28
54	28
54	28
55	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
55	28
55	28
55	28
55	28
55	28
55	28
55	28
55	28
54	28
54	28
55	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	28
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
54	
