Linux 2.6.32-504.12.2.el6.x86_64 (ATCA57-0-0-1) 	11/12/15 	_x86_64_	(2 CPU)

11/12/15 15:55:03
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               8.30    78.00    0.47  153.50    71.83  1849.70    12.48     1.12    7.26   0.65   9.95
sdb               6.15     1.53    0.37    2.39    87.10    31.21    42.93     0.02    7.21   3.91   1.08
sdc               0.00     0.00    0.00    0.00     0.00     0.00     9.35     0.00    0.56   0.56   0.00
dm-0              0.00     0.00    0.01    1.66     1.43    13.29     8.81     0.20  117.35   1.79   0.30
dm-1              0.00     0.00    0.00    0.26     0.00     2.09     8.00     0.01   33.18   2.43   0.06
dm-2              0.00     0.00    0.01    0.08     2.84     0.63    41.53     0.00   30.52   2.66   0.02
dm-3              0.00     0.00    0.01    6.18     5.55    49.43     8.88     0.12   19.47   0.85   0.52
drbd0             0.00     0.00    0.07    1.88     0.56    13.54     7.24     0.02   12.35   2.76   0.54
drbd1             0.00     0.00    0.00    0.08     0.08     0.62     8.96     0.00   59.85   3.78   0.03
drbd2             0.00     0.00    0.00    6.23     0.03    49.43     7.94     0.18   29.29   1.13   0.71
dm-4              0.00     0.00    0.06    0.16     0.52     1.30     8.00     0.01   32.79   0.04   0.00
dm-5              0.00     0.00    0.00    0.32     0.00     2.55     8.00     0.00   10.17   2.86   0.09
dm-6              0.00     0.00    0.01    1.19     0.04     9.51     8.00     0.01   10.35   3.77   0.45
dm-7              0.00     0.00    0.00    0.02     0.00     0.16     8.00     0.00   44.53   0.03   0.00
dm-8              0.00     0.00    0.01    0.06     0.16     0.51     9.80     0.02  222.04   0.41   0.00
dm-9              0.00     0.00    0.01    0.10     0.29     0.78     9.91     0.02  144.60   5.09   0.05
dm-10             0.00     0.00    0.00    3.17     0.01    25.38     8.00     0.07   22.49   4.72   1.50
dm-11             0.00     0.00    0.00   23.61     0.00   188.92     8.00     0.54   22.74   0.68   1.61
dm-12             0.00     0.00    0.01    0.36     5.85     2.85    23.73     0.01   38.07   0.14   0.01
drbd3             0.00     0.00    0.00    0.35     0.34     2.84     8.91     0.03   95.98   0.10   0.00
dm-13             0.00     0.00    0.00    0.00     0.07     0.03    22.68     0.00   20.41   3.07   0.00
drbd4             0.00     0.00    0.00    0.00     0.00     0.03     8.00     0.00   21.09   5.31   0.00
dm-14             0.00     0.00    0.00    2.20     0.07    17.63     8.03     0.02   10.48   2.69   0.59
dm-15             0.00     0.00    0.00    0.00     0.28     0.02    84.90     0.00   46.45   0.53   0.00
drbd5             0.00     0.00    0.00    0.00     0.00     0.02     7.99     0.00   51.37   0.11   0.00

11/12/15 15:55:08
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.00    65.00    6.00   73.00   219.20  1104.00    16.75     3.97   50.31   1.08   8.54
sdb               6.00     3.20    0.40    4.40    51.20    60.80    23.33     0.03    6.54   2.96   1.42
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    1.40     0.00    11.20     8.00     0.01    7.43   1.71   0.24
dm-1              0.00     0.00    0.00    2.20     0.00    17.60     8.00     0.03   13.27   1.45   0.32
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.02    8.44   1.44   0.26
drbd0             0.00     0.00    0.00    1.60     0.00    11.20     7.00     0.01    7.62   4.38   0.70
