procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0 1001164 178360 1981992 2184252    0    0    29   490    3    1  9 12 76  3  0	
 2  0 1001164 158484 1982288 2185844    0    0   155   577 13023 13851 35 42 22  1  0	
 0  0 1001164 158484 1978400 2186824    0    0    26   435 14444 13377 21 25 53  1  0	
 2  0 1001484 238672 1958296 2138572    0   64    58  1905 14928 14625 26 44 27  2  0	
 8  0 1001484 235004 1958704 2139544    0    0    77   566 14987 15935 27 50 23  1  0	
25  0 1001484 223716 1958992 2140568    0    0    52   655 14835 15964 26 51 23  0  0	
 3  0 1001484 220504 1959288 2141560    0    0    51  1864 14190 14934 27 49 22  2  0	
 0  0 1001484 217460 1959452 2142584    0    0    26   410 15794 14584 15 19 65  2  0	
 3  1 1001484 225704 1959880 2143600    0    0    77   510 14190 15444 31 45 23  0  0	
 3  0 1001484 218644 1960160 2144608    0    0    51  1922 15651 16234 23 53 21  3  0	
 3  0 1001484 219736 1960460 2145616    0    0    51   482 14168 15636 27 55 17  1  0	
 3  0 1001484 218124 1960768 2146612    0    0    51   632 13762 15550 27 57 16  0  0	
 3  0 1001484 216388 1961068 2147624    0    0    53  1700 14697 15468 25 56 18  2  0	
 3  0 1001484 217512 1961372 2148616    0    0    51   302 13885 15672 29 56 15  0  0	
 3  1 1001484 218272 1961672 2149620    0    0    51  1920 15445 15578 23 49 27  2  0	
 1  0 1001484 213828 1961968 2150588    0    0    51   696 13651 15662 29 56 14  1  0	
 4  0 1001484 211752 1962236 2151592    0    0    51   241 15301 15744 22 54 24  0  0	
 2  0 1001484 208596 1962524 2152620    0    0    51  2211 14280 15651 27 56 16  1  0	
 2  0 1001484 209208 1962824 2153596    0    0    51   460 14674 15788 24 54 22  1  0	
 3  0 1001484 204304 1963132 2154604    0    0    51   690 14575 15583 27 56 17  0  0	
 3  0 1001484 205808 1963436 2155588    0    0    51  1721 15775 16261 23 50 24  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 1001484 207004 1963724 2156576    0    0    51   390 15888 16254 18 52 29  0  0	
44  0 1001484 202280 1964020 2157580    0    0    51   350 14761 16052 26 50 23  0  0	
 5  1 1001484 204124 1964068 2158564    0    0     0  1854 16033 16074 20 52 25  3  0	
 3  0 1001484 203628 1964624 2159544    0    0   102   785 15542 16289 22 53 25  1  0	
 3  0 1001484 202400 1964912 2160552    0    0    51   149 14878 15868 24 54 22  0  0	
 2  0 1001484 199896 1965196 2161544    0    0    51  2198 15731 15982 23 51 23  2  0	
 3  0 1001484 193132 1965492 2162532    0    0    51   326 15109 16011 23 53 24  0  0	
 2  0 1001484 194960 1965792 2163540    0    0    51   446 15502 15757 22 48 30  1  0	
 3  1 1001484 194960 1966088 2164540    0    0    51   689 15214 16067 25 52 23  0  0	
 1  0 1001484 196932 1966392 2165536    0    0    51  1817 15564 15694 21 52 24  2  0	
 1  0 1001484 194592 1966684 2166520    0    0    51   311 15282 15913 22 53 25  0  0	
 2  1 1001484 189692 1966964 2167528    0    0    51  1599 15668 16167 24 52 23  1  0	
 1  0 1001484 191344 1967268 2168516    0    0    51   948 14995 15763 23 51 25  1  0	
 2  0 1001484 190228 1967552 2169532    0    0    51   358 15474 16091 23 50 27  0  0	
 3  0 1001484 179180 1967848 2170520    0    0    51   981 16059 16464 21 49 28  2  0	
 5  0 1001484 185112 1968120 2171520    0    0    51  1571 15357 16077 24 55 20  1  0	
 1  0 1001484 186244 1968428 2172516    0    0    51   355 15735 16010 21 51 28  0  0	
 2  0 1001484 183124 1968736 2173504    0    0    51   682 14819 15594 23 49 27  1  0	
 2  0 1001484 183276 1969028 2174500    0    0    51  1845 16231 16338 22 49 28  2  0	
 1  0 1001484 184440 1969312 2175492    0    0    51   335 15365 15981 21 52 27  0  0	
 2  1 1001484 181100 1969608 2176488    0    0    51  1022 15472 16354 23 51 24  2  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 1001484 177668 1969900 2177492    0    0    51  1588 15872 16304 22 53 23  2  0	
 4  0 1001484 170808 1970192 2178500    0    0    51   338 15542 16287 23 52 24  1  0	
 1  0 1001484 176424 1970496 2179468    0    0    51   598 15587 16120 21 50 28  1  0	
 5  0 1001484 175744 1966740 2180552    0    0    51  1872 15434 15899 24 53 22  1  0	
 1  1 1001484 180204 1966912 2181440    0    0    36   386 15380 15849 22 49 29  0  0	
 2  0 1001484 174864 1967336 2182444    0    0    77   562 15215 16001 24 53 22  1  0	
 1  0 1001484 176664 1967624 2183456    0    0    52  1996 15634 16252 24 52 22  2  0	
 4  0 1001484 174524 1967924 2184444    0    0    51   271 14940 15850 23 54 22  1  0	
 4  0 1001484 170592 1968228 2185436    0    0    51   489 15405 16156 23 53 24  0  0	
 4  0 1001532 157472 1964428 2186260    0   10    51  2063 15678 15978 24 52 22  2  0	
 3  0 1001756 168060 1956288 2187172    0   45     0   227 15770 16378 25 53 22  0  0	
 2  0 1001756 163240 1956844 2188152    0    0   102   698 17111 17888 23 53 23  2  0	
 3  0 1001756 224852 1957144 2140332    0    0    51  2059 17140 18681 25 51 22  2  0	
 4  0 1001828 229784 1957436 2140900    0   14    52   386 14962 15583 24 55 21  0  0	
 9  0 1001828 229752 1957736 2141884    0    0    51   566 15771 16164 21 53 25  1  0	
 7  0 1001828 223464 1958044 2142904    0    0    51  1954 15641 16247 24 53 21  1  0	
 3  0 1001828 226164 1958336 2143916    0    0    52   412 15725 16431 22 54 24  0  0	
 5  0 1001828 221164 1958632 2144904    0    0    51   704 15985 16385 22 53 24  1  0	
 6  0 1001828 219148 1958928 2146088    0    0    51  2078 15096 15751 27 53 17  3  0	
 1  0 1001828 217628 1959228 2147096    0    0    58   437 14042 16032 27 54 19  0  0	
 3  1 1001828 218568 1959544 2148096    0    0    51   942 15950 16352 22 53 24  1  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 1001828 218848 1959844 2149076    0    0    51  2502 15492 15801 24 53 21  2  0	
 3  0 1001828 218676 1960160 2150088    0    0    51   230 15245 15936 24 50 26  0  0	
 3  0 1001828 214816 1960452 2150936    0    0    52  2179 15059 15190 24 55 19  3  0	
 4  0 1001828 215312 1960508 2151948    0    0     0   520 15592 16481 22 55 21  2  0	
 0  0 1001828 199468 1961052 2152952    0    0   102   285 14932 15387 23 49 27  0  0	
 5  1 1001828 200588 1961092 2153980    0    0     0  1916 14995 13648 21 26 50  4  0	
 0  0 1001828 211420 1961640 2154980    0    0   102   620 14288 12495 13 14 72  1  0	
 1  0 1001828 212412 1961924 2155968    0    0    51   212 13859 11993 10 13 77  1  0	
 1  0 1001828 205116 1962236 2156984    0    0    51  2161 15110 13609 16 19 59  6  0	
 0  0 1001828 209148 1962520 2157996    0    0    54   630 14085 12357 13 18 68  2  0	
 1  0 1001828 205084 1962812 2159020    0    0    51   289 13915 12678 14 19 66  1  0	
 2  0 1001828 206992 1963112 2160020    0    0    51  2111 14401 12607 14 17 62  7  0	
 2  1 1001828 200052 1963412 2161028    0    0    51   332 14005 12459 12 15 71  1  0	
 0  1 1002008 203120 1963456 2161904    0   36     0   497 14217 12616 15 20 64  1  0	
 1  1 1002008 201416 1964004 2162896    0    0   102  1931 14223 12206  9 10 75  6  0	
 1  1 1002008 202664 1964296 2163920    0    0    51   629 14459 13383 16 19 64  1  0	
 1  1 1002008 200736 1964592 2164948    0    0    51   201 13734 12606 13 17 70  1  0	
 5  1 1002008 195476 1964892 2165948    0    0    51  2138 14410 12819 14 18 64  4  0	
 3  1 1002008 191340 1965204 2166944    0    0    51   397 14264 12727 13 16 69  2  0	
 1  1 1002008 198192 1965516 2167968    0    0    51   446 13889 12333 13 19 66  2  0	
 0  0 1002008 193192 1965820 2168996    0    0    51  2073 14450 13201 16 21 55  8  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 1002008 192176 1966120 2169992    0    0    51   530 13944 12419 11 14 74  2  0	
 1  0 1002008 189428 1966424 2171000    0    0    51   450 14323 13211 19 23 56  1  0	
 1  0 1002008 193080 1966736 2172000    0    0    51  1970 14317 12054  9 13 70  8  0	
 0  0 1002008 189912 1967028 2172988    0    0    51   419 14005 12859 16 19 65  1  0	
 0  0 1002008 190656 1967332 2173996    0    0    51   347 14019 12289 12 12 75  1  0	
 4  0 1002008 183696 1967636 2175000    0    0    51  2172 14353 12312 11 14 68  6  0	
 0  1 1002008 187652 1967924 2175980    0    0    51   420 14135 12761 14 17 67  1  0	
 0  1 1002008 182148 1968236 2177000    0    0    51   334 14345 12663 12 16 71  1  0	
 0  1 1002008 184208 1968524 2178016    0    0    51  2046 14898 13094 16 20 59  6  0	
 3  1 1002008 182404 1968928 2178988    0    0    74   476 13782 12021  7 10 82  1  0	
 4  1 1002008 177632 1969216 2180004    0    0    51   332 14849 13349 17 20 62  1  0	
 0  2 1002008 179148 1969512 2180996    0    0    51  2114 14381 12262 11 14 68  7  0	
 2  1 1002008 176256 1969816 2181992    0    0    51   467 14140 12714 12 15 71  1  0	
 0  1 1002008 176304 1970120 2183004    0    0    51   393 13883 12412 13 16 71  1  0	
 1  1 1002008 179648 1966060 2184004    0    0     0  1994 14627 13038 17 24 54  5  0	
 0  1 1002008 178216 1966608 2185012    0    0   102   263 13989 12633 13 15 71  1  0	
 5  1 1002008 172352 1966900 2185988    0    0    51   363 13683 12083 14 19 66  1  0	
 4  1 1002008 172572 1967188 2187028    0    0    51  2250 14861 13173 16 19 57  8  0	
 1  1 1002008 175800 1967488 2187984    0    0    51   359 13756 12032  7 11 81  1  0	
 3  1 1002008 169520 1967788 2189012    0    0    51   341 14022 13093 19 23 57  1  0	
 0  0 1002008 221308 1968084 2141180    0    0    51  2107 14595 12556 11 13 70  5  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 1002008 218740 1968368 2142164    0    0    51   458 13927 12440 13 16 71  1  0	
 0  0 1002008 219152 1968660 2143172    0    0    51   393 13843 12722 15 18 67  0  0	
10  0 1002008 205940 1968960 2144172    0    0    51  2078 14799 12900 12 13 68  7  0	
 2  0 1002008 214152 1969256 2145176    0    0    51   470 14473 13031 14 17 69  0  0	
 0  0 1002008 213764 1969560 2146172    0    0    51   355 13966 12248 12 15 72  1  0	
 1  0 1002008 211280 1969856 2147196    0    0    51  2042 14541 12983 15 18 62  5  0	
 0  0 1002008 209936 1970144 2148192    0    0    51   491 14223 12645 12 15 72  1  0	
 0  0 1002008 211952 1970440 2149168    0    0    51   296 13924 12492 11 15 73  1  0	
 0  0 1002008 209356 1970732 2150180    0    0    51  2155 14697 12714 12 13 68  7  0	
 1  0 1002008 204548 1971032 2151184    0    0    51   415 14078 12666 14 17 67  2  0	
 1  0 1002056 209856 1967132 2151872    0   10    51   350 14523 13327 17 24 58  1  0	
 1  0 1002056 209400 1967172 2152856    0    0     0  2085 14776 13075 15 17 64  5  0	
 3  0 1002056 186808 1967708 2153924    0    0   102   256 15579 14607 20 25 54  1  0	
 1  0 1002056 205944 1968016 2154932    0    0    51   375 15523 15194 15 22 62  1  0	
 0  0 1002056 203408 1968324 2155920    0    0    51  2084 15643 15753 16 20 58  5  0	
 3  0 1002056 198816 1968344 2156952    0    0     0   551 14209 12997 14 17 68  1  0	
 1  0 1002056 200152 1968904 2157936    0    0   102   356 13930 12560 14 18 66  2  0	
 4  0 1002056 202680 1969192 2158944    0    0    51  2178 14601 12771 15 18 60  7  0	
 1  0 1002056 198680 1969488 2159956    0    0    51   321 14034 12269 11 13 75  1  0	
 0  0 1002056 200012 1969776 2160956    0    0    51   365 14376 12988 15 16 69  1  0	
 1  0 1002056 196828 1970056 2161944    0    0    51  2034 14567 12605 12 16 67  5  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 1002056 197836 1970348 2162964    0    0    51   547 14177 12779 12 14 74  1  0	
 0  0 1002056 195008 1970652 2163948    0    0    51   275 14418 12821 16 20 63  1  0	
 3  0 1002056 194176 1970944 2164956    0    0    51  2143 14906 12712 12 14 68  5  0	
 0  0 1002056 193052 1971228 2165960    0    0    51   433 14180 12719 13 15 71  1  0	
 0  0 1002132 195720 1967456 2166928    0   15    51   214 13831 12420 13 18 68  1  0	
 2  0 1002132 191108 1967480 2167928    0    0     0  2207 14740 12968 13 16 64  7  0	
 0  0 1002132 195008 1968024 2168920    0    0   102   363 14111 12233 10 12 77  1  0	
 3  0 1002132 184968 1968320 2169944    0    0    51   458 14139 12938 19 24 56  1  0	
 0  1 1002132 191576 1968632 2170924    0    0    51  2284 14724 12664 12 17 65  6  0	
 3  0 1002132 187816 1968936 2171916    0    0    51   966 14094 12567 15 21 62  3  0	
 1  0 1002132 189624 1969232 2172912    0    0    51   278 14005 12643 14 17 69  1  0	
 1  1 1002132 184684 1969516 2173920    0    0    51  2264 14756 12491 12 14 67  7  0	
 1  1 1002132 185748 1969820 2174888    0    0    51   311 13889 12942 17 20 61  1  0	
 3  0 1002132 181160 1970132 2175936    0    0    51   319 14102 12216 10 15 73  2  0	
 0  0 1002132 178268 1970412 2176940    0    0    51  2035 14757 12531 12 14 68  6  0	
 0  0 1002132 181060 1970692 2177932    0    0    51   486 14256 13067 14 19 67  0  0	
 0  0 1002132 181828 1970984 2178952    0    0    51   398 13873 12337 12 15 72  1  0	
 1  1 1002132 177144 1971276 2179960    0    0    51  1360 14826 13300 15 16 66  3  0	
 0  0 1002132 179020 1971564 2180952    0    0    51  1248 14368 12452 13 15 69  3  0	
 0  0 1002132 173048 1971860 2181964    0    0    51   380 14403 13201 15 20 64  1  0	
 1  1 1002132 173700 1972144 2182956    0    0    51  1800 14340 12379 14 17 64  5  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 1002132 174024 1972440 2183968    0    0    51   551 13932 12256 11 12 75  2  0	
 3  0 1002132 171356 1972732 2184964    0    0    51   416 14071 12555 12 14 73  1  0	
