Linux 2.6.32-504.12.2.el6.x86_64 (ATCA47-0-0-1) 	11/19/15 	_x86_64_	(2 CPU)

11/19/15 16:42:12
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               8.02    56.45    0.87  351.34    81.39  3239.66     9.43     0.68    1.93   0.94  33.10
sdb               6.17     3.66    0.57    2.07    83.88    44.22    48.51     0.01    2.38   1.26   0.33
sdc               0.00     0.00    0.00    0.00     0.00     0.00     8.74     0.00    0.78   0.65   0.00
dm-0              0.00     0.00    0.04    1.47     5.44    11.77    11.42     0.49  327.10   2.23   0.34
dm-1              0.00     0.00    0.00    0.26     0.00     2.10     8.00     0.02   63.99   7.84   0.21
dm-2              0.00     0.00    0.02    0.21     2.67     1.65    19.20     0.03  123.31   7.64   0.17
dm-3              0.00     0.00    0.04    9.25     5.35    72.50     8.38     0.42   45.43   2.19   2.03
drbd0             0.00     0.00    0.22    5.70     1.94    44.17     7.80     0.14   23.86   1.69   1.00
drbd1             0.00     0.00    0.01    0.21     0.29     1.64     8.77     0.05  236.83  11.49   0.25
drbd2             0.00     0.00    0.03    9.25     0.59    72.49     7.87     0.81   87.80   3.68   3.42
dm-4              0.00     0.00    0.11    0.42     0.84     3.36     8.00     0.05  101.24   0.10   0.01
dm-5              0.00     0.00    0.00    0.27     0.00     2.13     8.00     0.00   11.24   3.50   0.09
dm-6              0.00     0.00    0.01    4.29     0.08    34.36     8.00     0.06   13.57   1.87   0.81
dm-7              0.00     0.00    0.00    0.54     0.03     4.30     8.00     0.03   48.52   1.79   0.10
dm-8              0.00     0.00    0.01    0.38     0.19     0.61     2.09     0.03   90.05  15.26   0.58
dm-9              0.00     0.00    0.00    0.18     0.11     1.41     8.47     0.01   52.59  27.75   0.50
dm-10             0.00     0.00    0.02    0.09     4.88     0.69    51.55     0.01  132.55   5.05   0.05
drbd3             0.00     0.00    0.01    0.09     0.11     0.68     8.03     0.03  296.34   5.37   0.05
dm-11             0.00     0.00    0.01    0.40     0.17     3.21     8.14     0.02   37.60  12.87   0.53
drbd4             0.00     0.00    0.01    0.40     0.11     3.21     8.00     0.03   66.32  21.22   0.88
dm-12             0.00     0.00    0.00    1.97     0.02    15.78     8.01     0.09   47.35  13.42   2.65
dm-13             0.00     0.00    0.01    0.00     0.35     0.02    22.01     0.00   42.31  28.88   0.05
drbd5             0.00     0.00    0.01    0.00     0.11     0.02     8.00     0.00   41.81  30.65   0.05
dm-14             0.00     0.00    0.02    9.88     4.87    78.98     8.47     0.24   24.29  10.85  10.73
drbd6             0.00     0.00    0.01    9.88     0.11    78.98     8.00     0.44   44.82  19.26  19.05

11/19/15 16:42:17
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               6.20    87.20    1.80  126.40    64.00  1686.40    13.65     8.51   66.39   1.75  22.48
