Linux 2.6.32-504.12.2.el6.x86_64 (ATCA47-0-0-9) 	11/19/15 	_x86_64_	(2 CPU)

11/19/15 16:42:20
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               6.05     4.99    0.35    2.62    51.20    60.82    37.73     0.04   14.09   4.29   1.27
sda               6.13    61.41    0.34  451.24    52.48  4046.61     9.08     0.26    0.58   0.91  41.22
sdc               0.00     0.00    0.00    0.00     0.00     0.00     9.20     0.00    1.31   1.31   0.00
dm-0              0.00     0.00    0.01    0.36     0.51     2.86     9.14     0.07  188.89  13.46   0.50
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     7.94     0.00    4.68   2.57   0.00
dm-2              0.00     0.00    0.00    0.26     0.00     1.88     7.19     0.02   79.56   7.54   0.20
dm-3              0.00     0.00    0.00   10.02     0.00    76.04     7.59     0.49   49.13   3.47   3.48
dm-4              0.00     0.00    0.00    0.20     0.04     0.01     0.25     0.01   42.11  29.77   0.61
dm-5              0.00     0.00    0.00    0.00     0.10     0.00    64.17     0.00   12.42   3.52   0.00
dm-6              0.00     0.00    0.00    0.12     0.00     0.94     7.95     0.02  136.01   0.76   0.01
dm-7              0.00     0.00    0.00    0.51     0.00     3.26     6.36     0.02   41.73  17.11   0.88
dm-8              0.00     0.00    0.00    0.67     0.01     5.36     8.01     0.04   51.93  20.76   1.39
dm-9              0.00     0.00    0.00    0.00     0.00     0.00     8.35     0.00    1.96   1.70   0.00
dm-10             0.00     0.00    0.00   13.78     0.00    77.88     5.65     0.29   21.20  12.13  16.72

11/19/15 16:42:25
Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               6.00    11.80    0.40    1.60    51.20   107.20    79.20     0.01    5.40   4.00   0.80
sda               6.20    79.20    0.20  717.20    51.20  6260.80     8.80    92.09  126.06   0.91  65.10
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00    0.00    1.00     0.00     8.00     8.00     0.01    0.00   1.60   0.16
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.20     0.00     0.00     0.00     0.01    0.00  27.00   0.54
dm-5              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-6              0.00     0.00    0.00    0.40     0.00     1.60     4.00     0.00    2.00   2.00   0.08
dm-7              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
