C	D	E	F	G	H	I	J	K	L
7.5	6.0	5.4	6.0	5.8	7.5	6.5	6.0	6.5	6.0
7.0	5.5	5.9	6.4	6.2	6.0	6.0	8.9	6.5	6.5
5.5	6.5	5.0	6.0	7.9	6.5	6.0	6.7	6.4	8.4
6.0	6.0	5.5	6.5	6.0	6.5	7.0	6.4	8.9	6.5
6.5	6.5	5.0	8.0	5.9	6.5	6.0	5.9	5.5	5.9
6.0	8.5	7.0	6.5	6.0	6.5	8.0	6.9	5.9	6.5
7.0	6.0	5.5	7.0	6.5	6.5	6.0	6.0	6.9	6.9
6.5	6.4	6.0	5.5	5.9	6.5	6.5	6.5	6.9	6.4
7.5	5.5	5.0	6.5	6.0	7.4	5.9	6.4	6.5	6.0
6.4	6.4	5.5	5.5	7.5	6.5	6.5	7.9	5.5	6.5
6.0	5.9	6.5	6.0	6.0	6.0	6.4	6.9	6.3	7.5
6.5	5.9	5.0	6.0	6.0	6.4	6.0	6.0	7.4	7.0
5.9	6.8	6.0	8.5	6.0	6.5	7.9	6.5	6.5	6.0
7.0	5.9	6.0	6.0	6.5	5.5	7.5	6.0	6.4	6.5
5.4	7.0	6.0	6.0	6.0	7.4	6.0	6.4	6.5	6.5
8.9	6.0	5.5	5.9	6.5	7.5	6.4	7.0	5.5	6.5
6.9	6.0	5.5	6.0	6.0	6.5	5.9	7.4	6.5	6.5
5.5	6.4	5.5	6.5	7.4	6.5	6.4	7.0	6.4	8.0
6.5	6.0	5.0	6.9	6.0	6.5	7.0	6.5	8.0	5.9
5.5	6.9	6.0	7.0	6.0	6.5	6.0	6.0	5.9	6.5
6.5	7.5	7.0	6.5	6.5	6.0	8.0	6.4	6.0	6.4
7.0	6.0	5.5	6.5	6.0	6.5	6.4	6.5	6.4	6.3
6.5	6.0	5.4	6.5	6.0	6.5	5.4	6.0	6.9	6.0
7.5	6.0	6.0	6.5	6.0	9.5	6.9	7.0	6.0	5.9
6.0	6.5	5.4	6.0	6.9	6.5	6.5	8.4	5.9	7.5
7.0	6.0	6.0	7.0	6.5	6.4	6.0	5.9	8.4	5.9
5.5	6.0	4.5	5.4	6.4	6.4	6.4	6.4	6.5	7.5
6.0	6.8	6.0	8.4	6.9	6.5	7.4	6.4	6.4	6.4
6.5	6.5	7.0	6.5	6.0	6.0	6.3	6.0	5.5	6.5
6.0	6.5	6.0	6.5	6.5	6.9	6.5	6.5	6.5	6.5
8.9	6.4	6.0	5.4	6.0	10.0	6.5	6.5	6.5	6.5
6.0	5.9	5.0	6.5	6.0	6.0	5.5	7.4	6.5	6.5
5.9	6.0	5.5	6.5	7.5	6.0	6.0	6.9	8.5	7.4
6.5	5.5	5.4	6.5	6.0	5.5	7.0	6.4	6.2	6.5
6.5	6.9	5.5	7.4	7.0	7.0	7.0	6.4	6.0	7.0
6.4	7.9	7.4	6.0	6.0	6.0	7.4	6.4	6.5	5.9
7.0	6.0	5.5	6.5	5.4	6.4	6.0	6.4	5.9	7.0
6.0	6.0	5.5	6.5	6.5	6.5	6.4	5.9	6.9	6.4
6.9	6.4	5.5	6.8	6.4	7.4	6.9	6.9	6.5	6.0
6.9	6.9	5.5	6.0	9.4	6.0	6.0	7.9	4.8	8.4
5.9	6.0	6.0	5.4	6.5	6.5	6.9	7.0	8.0	5.9
6.5	6.0	5.5	6.5	6.5	6.0	6.0	6.4	6.0	6.9
5.9	7.5	5.5	7.9	6.5	6.0	8.0	6.5	6.0	6.0
6.0	6.0	6.5	6.3	6.0	6.0	7.0	6.5	6.5	6.9
6.3	6.5	5.0	6.3	6.5	6.5	6.6	6.0	6.5	6.5
7.5	6.0	6.0	6.0	6.0	8.9	6.0	6.9	6.5	5.9
5.9	6.5	5.0	6.0	6.0	6.0	5.9	6.9	6.5	7.0
6.6	5.0	6.0	7.0	8.0	7.0	6.5	7.0	7.5	8.0
6.0	6.5	5.5	5.5	5.6	5.5	6.4	6.4	6.5	6.5
6.5	6.5	5.5	6.7	6.4	6.0	7.9	7.0	6.0	5.5
6.0	7.9	6.5	6.5	6.5	6.3	6.0	6.4	6.5	6.4
7.4	6.4	5.5	7.0	6.0	6.5	6.0	6.4	6.3	7.0
6.0	6.0	5.3	6.0	6.5	6.9	6.5	6.0	7.0	6.5
8.0	6.5	5.5	6.0	6.0	9.4	6.9	6.9	5.9	7.0
5.9	6.4	6.0	6.0	7.9	6.0	5.4	8.0	6.0	8.9
6.4	6.0	5.5	6.0	6.4	7.0	6.0	6.5	7.9	6.5
6.0	6.0	5.0	7.5	6.0	6.9	7.0	6.5	6.5	7.5
6.0	7.5	6.0	6.9	6.5	6.4	8.1	6.5	6.0	6.0
6.5	6.5	7.0	6.0	6.0	6.0	6.0	6.5	6.0	6.5
5.8	6.5	6.0	6.0	6.7	6.0	7.0	7.0	6.4	6.9
7.5	6.0	5.5	6.0	6.0	9.1	6.5	7.0	7.0	5.9
5.5	6.5	5.0	6.5	6.0	6.5	5.9	7.4	6.5	7.0
6.5	5.5	6.0	6.4	9.9	7.0	7.3	6.9	8.0	8.4
5.5	6.5	5.0	5.5	6.4	6.0	5.9	6.4	6.0	7.0
6.0	6.0	6.4	7.4	5.9	6.0	7.5	6.9	6.0	5.9
7.0	7.4	6.9	6.5	6.0	6.9	6.5	6.5	6.4	6.5
6.0	5.7	5.0	6.5	5.9	6.4	5.9	5.9	6.5	7.0
7.5	6.0	6.2	6.4	6.4	7.4	6.5	6.4	7.0	5.9
6.9	7.5	4.5	6.5	6.4	7.5	6.4	5.9	5.9	6.5
6.0	6.5	6.0	6.0	7.5	6.4	6.0	8.4	6.5	8.0
6.0	5.5	5.9	6.0	5.5	6.0	6.0	7.0	7.4	6.0
5.4	6.0	6.0	8.0	6.5	6.5	7.0	6.5	7.0	6.5
6.5	7.4	5.5	7.0	6.3	6.0	7.0	6.9	6.5	6.0
6.4	6.5	6.0	5.5	8.1	6.0	6.5	5.9	6.0	7.0
6.1	6.5	6.5	6.0	6.5	6.5	6.5	6.5	6.4	6.0
7.4	5.9	5.5	7.0	6.0	7.5	6.0	6.4	6.0	6.0
6.0	6.4	5.5	6.0	5.5	6.9	5.2	8.5	6.5	6.5
5.9	5.9	6.0	6.0	7.5	6.5	6.5	6.9	8.0	7.4
6.5	6.0	5.0	6.0	6.0	5.5	6.0	6.4	5.5	6.4
6.0	6.5	5.4	7.4	7.0	7.4	7.5	6.0	6.5	5.9
6.5	8.0	6.5	6.4	5.9	5.5	6.4	6.0	6.4	6.5
6.5	6.2	6.0	6.5	6.0	7.0	6.0	6.5	6.0	6.4
6.9	6.0	5.4	6.5	6.4	7.0	6.9	6.4	7.0	6.0
6.4	6.5	5.5	6.0	6.0	7.5	5.9	6.0	6.5	6.9
6.4	6.0	6.0	6.0	9.5	6.5	6.4	8.4	6.0	7.5
6.5	6.0	5.5	6.0	6.0	6.0	6.0	7.0	8.5	6.5
5.5	5.5	5.5	8.0	6.5	6.5	7.9	6.0	6.4	6.5
7.0	7.4	5.5	6.9	5.9	6.0	6.4	6.4	6.4	5.4
6.0	6.0	7.0	5.5	6.4	6.4		6.2	6.3	6.5
		5.9					6.4		
