C	D	E	F	G	H	I	J	K	L
555	583	560	605	566	619	547	559	554	551
555	583	560	605	566	619	547	559	554	551
555	583	560	605	566	619	547	559	554	551
555	583	560	605	566	619	547	559	554	551
555	583	560	605	566	619	547	559	554	551
555	583	560	605	566	619	547	559	554	551
555	583	560	605	566	619	547	559	554	551
555	583	560	605	566	619	547	559	554	551
555	583	560	605	566	619	547	559	554	551
555	583	560	605	566	619	547	559	554	551
555	583	560	605	566	620	547	559	554	551
555	583	560	605	566	620	547	559	554	551
555	583	560	605	566	620	547	559	554	551
555	583	560	605	566	620	547	559	554	551
555	583	560	605	566	620	547	559	554	551
555	583	560	605	566	620	547	559	554	551
555	583	560	605	566	620	547	559	554	551
555	583	560	605	566	620	547	559	554	551
555	583	560	605	566	620	547	559	554	551
555	583	560	605	566	620	547	559	554	551
555	583	560	605	566	620	547	559	554	551
555	583	560	605	566	620	547	559	554	551
555	583	560	605	566	620	547	559	554	551
555	583	560	605	566	620	547	559	554	551
555	583	560	605	566	620	548	559	554	551
555	583	560	605	566	620	548	559	554	551
555	583	560	605	566	620	548	559	554	551
555	583	560	605	566	620	548	559	554	551
555	583	560	605	566	620	548	559	554	551
555	583	560	605	566	620	548	559	554	551
555	583	560	605	566	620	548	559	554	551
555	583	560	605	566	620	548	559	554	551
555	583	560	605	566	620	548	559	554	551
555	583	560	605	566	620	548	559	554	551
555	583	560	605	566	620	548	559	554	551
555	584	560	605	566	620	548	559	554	551
555	583	560	605	566	620	548	559	554	551
555	583	560	605	566	620	548	559	554	551
555	583	560	605	566	620	548	559	554	551
555	584	560	605	566	620	548	559	554	551
555	584	560	605	566	620	548	559	554	551
555	584	560	605	566	620	548	559	554	551
555	584	560	605	566	620	548	559	554	551
555	584	560	605	566	620	548	559	554	551
555	584	560	605	566	620	548	559	554	551
555	584	560	605	566	620	548	559	554	551
555	584	560	605	566	620	548	559	554	551
555	584	560	605	566	620	548	559	554	551
555	584	560	605	566	620	548	559	554	551
555	584	560	605	566	620	548	559	554	551
555	584	560	606	566	620	548	559	554	551
555	584	560	605	566	620	548	559	554	551
555	584	560	606	566	620	548	559	554	551
555	584	560	606	566	620	548	560	554	551
555	584	560	606	566	620	548	560	554	551
555	584	560	606	566	620	548	560	554	551
555	584	560	606	566	620	548	560	554	551
555	584	560	606	566	620	548	560	554	551
555	584	560	606	566	620	548	560	554	551
555	584	560	606	566	620	548	560	554	551
555	584	560	606	566	620	548	560	554	551
555	584	560	606	566	620	548	560	554	551
555	584	560	606	566	620	548	560	554	551
555	584	560	606	566	620	548	560	554	551
555	584	560	606	566	620	548	560	554	551
555	584	560	606	566	620	548	560	554	551
555	584	561	606	566	620	548	560	554	551
555	584	561	606	566	620	548	560	554	551
555	584	561	606	567	620	548	560	554	551
556	584	561	606	567	620	548	560	554	551
556	584	561	606	567	620	548	560	554	551
556	584	561	606	567	620	548	560	554	551
556	584	561	606	567	620	548	560	554	551
556	584	561	606	567	620	548	560	554	551
556	584	561	606	567	620	548	560	554	552
556	584	561	606	567	620	548	560	554	552
556	584	561	606	567	620	548	560	555	552
556	584	561	606	567	620	548	560	555	552
556	584	561	606	567	620	548	560	555	552
556	584	561	606	567	620	548	560	555	552
556	584	561	606	567	620	548	560	555	552
556	584	561	606	567	620	548	560	555	552
556	584	561	606	567	620	548	560	555	552
556	584	561	606	567	620	548	560	555	552
556	584	561	606	567	620	548	560	555	552
556	584	561	606	567	620	548	560	555	552
556	584	561	606	567	620	548	560	555	552
556	584	561	606	567	620	548	560	555	552
556	584	561	606	567	620		560	555	552
		561					560		
