C	D	E	F	G	H	I	J	K	L
24.4	24.9	22.1	24.8	24.4	24.9	24.9	25.8	26.8	24.4
24.9	24.4	21.3	24.8	25.6	24.4	25.4	25.2	24.3	26.4
23.8	24.9	22.4	23.9	24.8	24.4	24.8	30.9	26.3	25.2
23.8	24.8	22.4	25.4	25.4	24.4	25.4	26.2	25.8	24.4
24.4	24.8	22.9	25.4	24.3	24.9	25.8	25.3	25.8	25.2
24.9	33.9	22.4	37.3	24.3	24.9	31.8	25.5	24.3	25.4
36.8	24.4	25.9	24.9	24.9	23.9	25.4	25.8	25.3	34.6
24.4	24.3	22.9	24.4	30.6	34.3	24.9	26.3	32.2	24.8
25.4	24.3	22.4	24.9	24.4	25.3	25.7	25.3	24.8	25.8
24.2	24.7	22.9	25.4	24.8	24.9	25.9	25.8	26.3	25.4
25.4	25.3	22.4	24.4	24.9	24.9	25.3	29.3	25.7	25.4
25.3	24.2	23.3	24.9	24.9	24.3	26.3	25.8	25.5	25.9
25.3	24.4	21.9	36.3	23.8	24.9	25.2	26.3	27.3	24.9
37.2	36.6	22.4	24.9	23.9	26.4	32.8	25.8	25.0	35.3
26.0	24.4	27.4	25.3	32.3	33.6	25.9	25.8	32.3	25.9
25.3	24.4	21.9	23.8	25.9	26.3	25.7	26.8	25.8	25.4
25.3	25.4	22.3	24.8	24.9	24.3	25.7	25.7	25.9	25.9
25.4	24.7	22.9	24.9	24.3	24.8	25.7	29.3	25.7	25.4
24.4	25.3	22.3	24.3	26.4	24.8	25.3	26.3	25.4	25.5
24.3	25.2	22.9	24.8	24.8	24.4	25.8	26.3	25.3	25.3
24.9	35.8	23.4	35.8	24.9	25.4	30.8	25.7	25.3	24.1
36.8	24.3	24.4	24.9	23.9	24.9	26.8	25.8	25.3	34.9
25.4	25.4	23.7	23.9	29.9	31.8	24.3	26.3	33.2	25.8
24.9	24.9	22.8	24.4	25.9	25.9	25.7	26.3	25.3	25.2
24.4	24.8	23.2	25.4	25.3	24.4	25.8	25.8	25.6	25.8
25.9	25.3	22.9	24.9	23.4	25.7	25.3	30.1	24.8	25.0
24.9	24.4	23.3	23.7	25.3	23.7	25.3	26.2	25.4	25.8
24.9	25.0	22.3	36.3	23.3	24.9	26.6	25.3	25.8	25.2
32.3	34.3	21.9	24.8	25.3	25.4	34.9	26.8	24.9	34.3
26.4	24.3	27.3	24.9	32.4	31.2	25.9	25.4	30.3	25.9
25.3	25.7	21.9	25.6	24.9	25.9	25.3	26.3	25.9	25.3
25.9	24.7	22.4	23.4	24.3	24.3	24.8	25.8	26.9	25.9
26.0	25.3	22.9	24.9	24.4	24.9	24.9	29.7	26.9	25.3
24.8	23.9	22.2	23.9	24.8	24.9	26.3	27.2	23.5	24.6
25.4	25.3	23.4	24.3	24.4	24.9	26.3	25.6	25.8	25.3
25.3	33.8	21.8	34.3	23.9	24.8	33.4	25.3	25.3	24.7
33.8	24.9	26.9	24.4	24.1	24.7	25.8	25.8	25.3	34.3
25.3	24.8	22.9	24.9	30.8	32.8	25.3	26.6	33.2	25.2
25.6	25.7	22.4	24.3	23.8	25.8	25.7	25.7	25.8	24.9
24.7	24.1	22.9	24.8	24.8	24.3	25.4	26.3	25.2	26.8
25.5	25.8	22.4	24.2	24.4	24.8	25.3	30.3	25.9	24.5
25.8	24.4	22.3	24.9	24.9	24.9	26.8	25.7	25.3	25.8
23.7	25.9	22.9	37.2	24.4	24.8	25.8	25.8	26.8	24.9
37.8	34.2	21.4	24.4	24.9	25.3	32.3	25.9	24.3	34.7
25.8	25.4	27.8	23.5	31.8	33.3	24.6	25.3	29.8	25.8
24.9	25.4	22.9	24.4	24.9	25.6	26.8	25.8	24.9	24.1
25.7	25.4	21.9	24.9	24.9	23.8	26.2	25.8	25.8	25.4
25.3	23.4	22.8	24.8	24.9	25.4	24.8	29.8	25.9	25.4
24.8	24.4	22.9	23.8	24.4	24.4	25.8	26.8	24.8	24.9
25.9	24.8	23.9	24.5	25.7	25.3	25.8	25.8	26.4	24.9
