C	D	E	F	G	H	I	J	K	L
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	0.001	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638	707	745	682	790
835	743	759	774	645	638		745	682	790
		759					745		
		759							
