C	D	E	F	G	H	I	J	K	L
1.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.5
1.0	0.5	0.5	1.0	0.9	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.5	1.0	0.5	1.0	1.0	1.0	1.0	0.5	1.0	1.0
0.5	1.0	0.5	1.0	1.0	1.5	1.0	1.0	1.0	0.5
1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.5	1.0	1.5
1.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.5	0.5
0.5	1.5	1.0	1.0	1.0	1.0	0.5	1.0	0.9	1.5
1.5	1.0	0.5	1.0	1.0	1.0	1.5	1.0	1.0	0.5
1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	1.0
0.5	0.5	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
1.5	1.0	0.5	1.0	1.0	1.0	1.5	1.5	1.0	1.0
0.5	1.5	1.0	1.0	1.0	1.0	0.5	0.5	1.0	1.0
1.0	1.0	0.5	1.0	1.0	0.5	1.5	1.0	1.0	1.0
1.0	1.5	1.0	1.0	1.0	1.5	0.5	1.5	0.5	1.0
1.0	0.5	1.0	1.0	1.0	1.0	1.5	0.5	1.0	1.0
1.0	1.0	1.0	0.5	1.0	1.0	0.5	1.5	1.0	1.0
1.0	1.0	0.5	1.0	1.0	1.0	1.5	1.0	1.5	1.0
1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	1.3
1.0	1.0	1.0	1.0	1.0	1.0	1.5	1.0	1.5	1.0
1.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.5	1.0	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0
1.5	1.0	1.0	1.0	1.0	1.0	0.5	1.5	0.5	0.5
1.0	1.0	1.0	1.0	1.0	1.0	1.5	1.0	1.5	1.5
0.5	1.0	1.0	1.0	1.0	1.0	0.5	1.0	0.9	1.0
