C	D	E	F	G	H	I	J	K	L
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110	101	102	100	102	102	107	100	101
101	110		102	100	102		107	100	101
							107		
