C	D	E	F	G	H	I	J	K	L
62.2	57.7	58.1	55.0	61.4	57.2	64.2	66.0	60.5	60.6
59.2	57.7	54.5	55.0	54.0	58.2	62.7	62.3	61.6	60.2
55.0	59.7	57.6	56.2	57.6	54.2	62.6	62.3	59.5	63.2
63.6	65.5	54.2	62.2	62.2	60.7	59.2	65.8	56.2	56.2
54.2	62.1	53.8	60.2	57.5	57.2	62.6	56.5	60.6	60.3
57.2	59.8	61.1	62.2	56.1	61.6	58.1	61.8	61.9	62.7
57.7	61.2	58.7	59.2	58.7	57.2	60.2	60.0	65.9	58.9
55.3	57.5	55.7	56.7	60.1	61.2	56.7	59.6	61.5	62.0
56.2	56.6	53.2	59.3	60.2	64.4	63.8	69.4	61.6	60.1
63.2	54.9	56.7	60.7	51.7	62.2	58.7	60.6	63.6	60.2
60.8	64.4	61.1	63.7	55.3	56.2	59.5	59.5	57.2	55.7
61.1	55.3	53.6	62.2	63.7	64.5	62.1	62.1	64.8	60.2
58.9	56.1	49.3	61.2	56.1	61.2	64.2	63.5	66.0	61.2
63.6	70.2	58.7	53.2	53.7	65.2	60.7	53.2	57.9	62.6
60.5	61.7	59.2	59.6	55.2	62.7	60.7	57.1	63.6	59.7
57.1	56.8	57.7	60.9	59.7	61.1	57.3	66.5	57.6	63.2
58.9	61.2	53.5	55.6	57.7	56.6	58.4	65.3	55.7	65.1
62.2	59.3	54.7	65.2	57.1	52.7	62.9	62.6	58.4	60.2
55.3	63.0	59.5	60.5	56.2	62.0	63.6	63.1	57.2	62.3
56.2	59.2	52.7	62.1	60.1	58.2	60.0	66.5	53.0	58.6
55.3	66.7	59.7	62.6	63.1	60.2	62.2	62.3	61.6	56.5
55.7	53.6	55.7	55.7	59.7	64.2	60.0	58.1	64.0	67.5
63.2	55.7	58.3	53.2	55.8	62.1	53.5	60.1	70.8	63.5
56.2	58.2	59.1	57.7	53.8	59.7	56.8	63.1	64.6	62.3
55.7	61.6	54.2	59.7	65.5	59.8	59.1	60.6	58.7	61.1
62.7	57.7	52.8	63.2	57.2	64.4	62.0	59.7	62.0	63.1
50.8	53.7	54.6	57.3	59.0	59.7	55.5	65.6	61.2	65.6
61.2	64.1	57.1	60.6	57.9	56.8	54.2	60.9	65.4	60.3
62.1	60.1	50.7	63.0	62.1	59.7	57.1	67.6	56.7	61.1
57.5	57.1	60.7	63.2	58.2	55.9	58.7	65.7	60.6	59.7
57.1	63.4	55.7	62.1	60.7	60.2	59.1	65.5	65.2	63.0
60.2	55.2	50.7	55.7	53.1	57.6	60.6	65.4	62.7	60.7
63.4	54.1	57.7	60.2	62.2	59.2	57.2	60.0	59.7	62.0
63.1	53.8	52.7	55.2	60.1	64.7	60.1	63.8	51.8	59.3
61.2	58.5	58.7	56.0	59.2	58.2	63.6	62.6	58.7	66.6
63.4	63.6	55.6	58.2	54.7	62.1	60.9	63.0	62.1	52.5
58.7	56.8	56.7	58.7	58.6	59.2	61.1	59.0	60.4	67.5
63.1	61.1	55.6	55.2	60.6	59.7	60.0	63.1	61.5	57.4
60.0	62.2	55.2	56.3	54.5	61.0	63.2	58.2	62.1	67.6
60.8	55.6	54.7	55.1	63.0	62.5	62.2	61.6	53.2	66.0
57.9	56.6	55.6	58.2	61.6	66.6	59.6	60.6	62.1	59.8
58.6	56.3	55.1	57.7	59.7	62.7	57.1	61.7	62.6	57.5
58.7	58.2	56.7	54.6	59.7	56.1	67.1	62.5	53.1	62.6
59.7	59.5	48.8	60.5	61.1	57.1	61.6	69.1	58.6	58.5
66.3	59.2	58.2	64.7	60.0	55.2	63.3	58.0	61.6	58.6
55.3	62.2	50.3	59.7	61.7	62.6	59.0	59.5	58.7	56.5
67.8	57.7	54.3	61.7	61.2	55.1	64.4	59.5	54.7	61.7
61.3	56.2	51.2	59.6	62.2	58.7	57.6	64.6	64.2	60.2
57.1	55.8	57.6	54.1	63.0	61.1	58.5	67.9	60.1	64.1
57.2	56.6	58.7	60.2	60.7	54.7	66.0	58.1	68.1	61.7
55.2	58.9	51.2	61.7	57.1	59.4	59.6	65.6	61.0	61.5
58.9	62.5	55.7	62.1	62.6	60.7	57.2	55.5	60.0	61.7
59.5	60.1	57.6	58.2	59.1	56.4	63.1	63.7	62.2	64.2
58.2	57.7	49.2	61.7	60.7	58.1	61.0	61.1	60.6	64.6
57.2	59.0	60.6	55.2	59.1	53.7	64.2	63.2	58.2	68.6
59.8	62.6	48.8	56.2	61.0	63.2	67.6	64.6	59.5	60.1
56.2	59.1	53.1	61.7	61.7	60.0	59.6	56.1	57.6	61.6
60.0	59.6	56.7	60.1	59.2	54.1	62.3	59.2	60.2	59.7
60.2	53.7	58.3	54.2	61.2	57.7	61.7	64.6	57.8	67.6
61.6	58.2	56.8	59.2	61.0	54.2	50.7	63.1	63.9	61.8
55.2	58.2	59.7	55.7	64.1	64.3	63.2	60.6	56.2	62.5
66.2	56.1	54.2	57.2	57.7	54.7	62.5	63.5	62.2	66.6
56.7	53.2	54.1	60.9	57.2	61.2	65.3	62.4	55.3	60.1
63.2	57.7	56.7	54.8	65.3	62.1	55.9	63.5	58.6	59.6
56.2	55.7	53.3	59.5	58.0	57.2	61.7	64.6	61.6	60.9
62.2	61.9	54.9	64.7	54.7	55.5	55.2	62.6	62.1	63.6
60.1	56.3	57.7	60.6	63.8	52.4	55.7	59.8	62.2	67.7
56.7	60.2	60.6	59.3	54.0	65.4	56.6	60.8	68.6	57.0
55.7	56.7	54.7	61.2	62.9	56.7	64.9	61.9	61.4	59.2
61.1	61.1	59.7	53.2	59.2	56.0	64.7	61.1	57.7	61.2
59.7	59.2	56.9	63.2	58.7	56.8	65.2	62.6	54.6	57.8
62.7	60.2	54.7	58.7	63.6	55.2	62.5	57.6	59.2	64.5
63.2	57.0	51.7	60.1	54.0	62.2	59.7	62.7	57.8	59.6
60.5	66.7	54.6	53.2	63.5	62.3	59.6	58.9	62.1	58.6
57.8	51.2	58.2	54.2	57.1	58.7	61.1	62.7	59.5	66.6
60.3	68.4	54.1	56.7	61.2	58.7	58.6	59.0	62.7	56.7
61.1	55.0	54.2	56.2	65.2	57.5	60.4	67.1	57.1	66.1
58.8	60.5	55.2	56.7	56.7	64.6	61.2	60.9	60.7	61.6
56.7	63.2	53.3	55.7	59.6	55.2	62.1	64.3	59.7	59.9
64.0	61.1	57.8	60.1	56.2	58.0	55.2	60.6	64.6	59.9
60.6	58.7	59.2	60.8	57.3	59.5	62.4	58.7	61.0	60.0
64.6	57.3	51.2	59.7	63.7	54.7	63.2	60.1	59.1	63.5
67.5	60.2	52.9	63.2	58.7	56.2	57.6	57.4	55.7	61.2
58.0	60.6	52.7	58.2	62.7	58.7	58.3	63.1	60.6	59.1
