A	B
37.5	0.5
36.1	1.0
37.0	0.5
33.4	0.5
36.4	0.5
36.5	1.0
37.1	1.0
36.5	0.5
39.0	1.0
38.8	0.5
34.9	0.5
38.0	1.0
35.4	0.5
38.4	1.0
37.5	1.0
36.4	0.5
35.9	0.5
35.5	0.5
35.0	1.0
36.5	0.5
37.3	1.0
36.9	0.5
35.0	1.0
37.1	0.5
38.0	1.0
34.3	0.5
38.3	1.0
38.5	0.5
37.3	0.5
39.3	0.5
37.0	0.5
35.0	0.5
37.4	0.5
37.5	1.0
34.1	0.5
37.5	0.5
36.9	0.5
34.4	1.0
38.0	0.5
37.0	1.0
37.0	1.0
36.5	0.5
35.5	0.5
37.4	1.0
34.7	0.5
36.6	1.0
36.0	0.5
37.0	1.0
37.0	1.0
38.4	1.0
36.4	0.5
37.0	0.5
35.5	0.5
37.0	1.0
35.5	0.5
36.6	1.0
36.4	1.0
37.0	0.5
36.4	0.5
37.0	0.5
38.3	0.5
38.4	0.5
36.5	0.5
35.5	1.0
37.0	0.5
39.5	0.5
35.5	0.5
38.8	1.0
38.5	0.5
38.0	1.0
38.0	0.5
35.1	1.0
35.6	0.5
37.5	0.5
38.5	0.5
36.2	0.5
35.1	0.5
36.0	1.0
34.4	
34.6	
37.6	
36.9	
37.1	
39.5	
38.0	
37.3	
36.4	
32.8	
