A	B
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	94
132	
132	
132	
132	
132	
132	
132	
