A	B
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	112
124	
124	
124	
