A	B	C	D	E	F	G	H	I	J	K	L
17:02:01	17:02:01	16:42:29	16:43:10	16:42:38	16:43:18	16:42:46	16:43:26	16:42:53	16:43:33	16:43:02	16:43:41
17:02:03	17:02:03	16:42:31	16:43:12	16:42:40	16:43:20	16:42:48	16:43:28	16:42:55	16:43:35	16:43:04	16:43:43
17:02:05	17:02:05	16:42:33	16:43:14	16:42:42	16:43:22	16:42:50	16:43:30	16:42:58	16:43:37	16:43:06	16:43:45
17:02:07	17:02:07	16:42:35	16:43:16	16:42:44	16:43:24	16:42:52	16:43:32	16:43:00	16:43:39	16:43:08	16:43:47
17:02:09	17:02:09	16:42:37	16:43:18	16:42:46	16:43:26	16:42:54	16:43:34	16:43:02	16:43:41	16:43:10	16:43:49
17:02:11	17:02:11	16:42:39	16:43:20	16:42:48	16:43:28	16:42:56	16:43:36	16:43:04	16:43:43	16:43:12	16:43:51
17:02:13	17:02:15	16:42:41	16:43:22	16:42:50	16:43:30	16:42:58	16:43:38	16:43:06	16:43:45	16:43:14	16:43:53
17:02:15	17:02:17	16:42:43	16:43:24	16:42:52	16:43:32	16:43:00	16:43:40	16:43:08	16:43:47	16:43:16	16:43:55
17:02:17	17:02:19	16:42:45	16:43:26	16:42:54	16:43:34	16:43:02	16:43:42	16:43:10	16:43:49	16:43:18	16:43:57
17:02:19	17:02:21	16:42:47	16:43:28	16:42:56	16:43:36	16:43:04	16:43:44	16:43:12	16:43:52	16:43:20	16:43:59
17:02:21	17:02:25	16:42:49	16:43:30	16:42:58	16:43:38	16:43:06	16:43:46	16:43:14	16:43:54	16:43:22	16:44:01
17:02:23	17:02:27	16:42:51	16:43:32	16:43:00	16:43:40	16:43:08	16:43:48	16:43:16	16:43:56	16:43:24	16:44:03
17:02:26	17:02:29	16:42:53	16:43:34	16:43:02	16:43:42	16:43:10	16:43:50	16:43:18	16:43:58	16:43:26	16:44:05
17:02:28	17:02:31	16:42:55	16:43:36	16:43:04	16:43:44	16:43:12	16:43:52	16:43:20	16:44:00	16:43:28	16:44:07
17:02:30	17:02:35	16:42:57	16:43:38	16:43:06	16:43:46	16:43:14	16:43:54	16:43:22	16:44:02	16:43:30	16:44:09
17:02:32	17:02:37	16:42:59	16:43:40	16:43:08	16:43:48	16:43:16	16:43:56	16:43:24	16:44:04	16:43:32	16:44:11
17:02:34	17:02:39	16:43:01	16:43:42	16:43:10	16:43:50	16:43:18	16:43:58	16:43:26	16:44:06	16:43:34	16:44:13
17:02:36	17:02:41	16:43:03	16:43:44	16:43:12	16:43:52	16:43:20	16:44:00	16:43:28	16:44:08	16:43:36	16:44:15
17:02:38	17:02:43	16:43:05	16:43:46	16:43:14	16:43:54	16:43:22	16:44:02	16:43:30	16:44:10	16:43:38	16:44:17
17:02:40	17:02:45	16:43:07	16:43:48	16:43:16	16:43:56	16:43:24	16:44:04	16:43:32	16:44:12	16:43:40	16:44:19
17:02:42	17:02:47	16:43:09	16:43:50	16:43:18	16:43:58	16:43:26	16:44:06	16:43:34	16:44:14	16:43:42	16:44:21
17:02:44	17:02:49	16:43:11	16:43:52	16:43:20	16:44:00	16:43:28	16:44:08	16:43:36	16:44:16	16:43:44	16:44:23
17:02:46	17:02:53	16:43:13	16:43:54	16:43:22	16:44:02	16:43:30	16:44:10	16:43:38	16:44:18	16:43:46	16:44:25
17:02:48	17:02:57	16:43:15	16:43:56	16:43:24	16:44:04	16:43:32	16:44:12	16:43:40	16:44:20	16:43:48	16:44:27
17:02:50	17:02:59	16:43:17	16:43:58	16:43:26	16:44:06	16:43:34	16:44:14	16:43:42	16:44:22	16:43:50	16:44:29
17:02:52	17:03:01	16:43:19	16:44:00	16:43:28	16:44:08	16:43:36	16:44:16	16:43:44	16:44:24	16:43:52	16:44:31
17:02:54	17:03:03	16:43:21	16:44:02	16:43:30	16:44:10	16:43:38	16:44:18	16:43:46	16:44:26	16:43:54	16:44:33
17:02:56	17:03:05	16:43:23	16:44:04	16:43:32	16:44:12	16:43:40	16:44:20	16:43:48	16:44:28	16:43:56	16:44:35
17:02:58	17:03:07	16:43:25	16:44:06	16:43:34	16:44:14	16:43:42	16:44:22	16:43:50	16:44:30	16:43:58	16:44:37
17:03:00	17:03:09	16:43:27	16:44:08	16:43:36	16:44:16	16:43:44	16:44:24	16:43:52	16:44:32	16:44:00	16:44:39
