procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1 1680088 144732 2329356 3255704    0    0    31   841    2    0 12 13 59 16  0	
 3  0 1680088 137132 2329640 3256076    0    0    58   897 7378 9725 35 31 30  4  0	
 1  3 1680088 138336 2329916 3256388    0    0    51  4049 8633 8773 31 21 28 21  0	
 1  1 1680088 138624 2330180 3256664    0    0    51  3482 8043 8612 27 20 27 27  0	
 3  0 1680088 132812 2330460 3256948    0    0    52  1193 7079 10543 39 38 20  3  0	
 4  1 1680088 133508 2330748 3257188    0    0    51  3710 8199 9234 33 32 19 16  0	
 0  1 1680088 131980 2331032 3257396    0    0    51  1558 7744 8879 21 19 39 21  0	
 0  0 1680088 133616 2331296 3257620    0    0    57   750 7413 8800 23 23 40 14  0	
 0  1 1680088 130376 2331576 3257876    0    0    51  3441 8130 8476 26 21 40 13  0	
 2  0 1680088 128212 2331860 3258104    0    0    51  2212 8394 9684 28 29 25 18  0	
 0  0 1680088 125344 2332156 3258296    0    0    51   950 7657 9017 23 20 47 10  0	
 2  2 1680088 124832 2332432 3258508    0    0    74  3147 8389 9361 21 21 26 32  0	
 1  0 1680088 147912 2313396 3258180    0    0    68  2374 7888 9487 23 24 31 21  0	
 2  0 1680088 146012 2313676 3258380    0    0    55  1418 7359 7691 17 15 53 15  0	
 2  1 1680088 146332 2313952 3258560    0    0    53  3415 8226 8707 19 21 32 27  0	
 0  3 1680088 144300 2314232 3258728    0    0    51  1338 7705 9052 22 23 42 14  0	
 1  0 1680088 144324 2314504 3258940    0    0    54   529 7707 7965 18 15 56 11  0	
 1  2 1680088 142660 2314788 3259116    0    0    51  3910 8645 9174 23 22 30 24  0	
 4  1 1680088 141288 2315060 3259284    0    0    51  1758 8520 10138 30 38 18 14  0	
 1  0 1680088 142900 2315340 3259456    0    0    53  1842 7219 7333 15  9 60 16  0	
 2  2 1680088 141216 2315620 3259640    0    0    51  3742 8135 8084 16 15 33 35  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  2 1680088 143580 2315884 3259820    0    0    51   642 6709 7289 14 12 66  8  0	
