procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  2  29396 128056 5524656 1029828    0    0    27   995    1    6  3  5 76 17  0	
 0  1  29396 127236 5524912 1029856    0    0    51  3074 5157 4566  3  5 59 32  0	
 2  0  29396 124196 5525180 1029864    0    0    51  1816 4744 4281  2  3 73 21  0	
 0  0  29396 126600 5525444 1029884    0    0    51    65 4576 4673  6  8 85  1  0	
 0  1  29396 126312 5525704 1029892    0    0    51  2588 4566 4240  2  3 71 23  0	
 0  0  29396 126444 5525964 1029900    0    0    51  3235 5216 4350  2  4 65 29  0	
 0  0  29396 125932 5526228 1029916    0    0    51    31 4558 4471  6  8 86  1  0	
 0  1  29396 125552 5526492 1029928    0    0    51  1520 4528 4049  2  5 82 11  0	
 0  0  29396 125072 5526752 1029940    0    0    51  4235 5600 4518  5  8 48 40  0	
 0  0  29396 124692 5527016 1029956    0    0    51   136 4545 4662  6  8 85  1  0	
 0  1  29396 125064 5527280 1029968    0    0    51  1606 4213 4041  1  3 86 10  0	
 1  0  29452 142292 5509624 1029980    0   11    51  4184 5327 4508  6  8 52 34  0	
 0  0  29452 141548 5509888 1029992    0    0    51   125 4330 4546  3  6 90  1  0	
 0  1  29452 142308 5510148 1030008    0    0    51  1781 4457 4163  2  3 78 16  0	
 0  0  29452 141812 5510412 1030020    0    0    51  3655 5623 4792  5  7 52 36  0	
 1  0  29452 140968 5510676 1030024    0    0    51   394 4082 4018  2  4 91  3  0	
 1  0  29452 141084 5510940 1030048    0    0    51  1059 4552 4564  6  8 83  4  0	
 0  0  29452 140868 5511196 1030052    0    0    51  4666 5236 4017  2  3 62 33  0	
 0  0  29452 141296 5511460 1030064    0    0    51    89 4166 4227  2  3 94  2  0	
 0  0  29452 140676 5511716 1030072    0    0    51  1221 4408 4563  4  6 82  8  0	
 0  1  29452 139148 5511976 1030084    0    0    51  3454 5324 4241  2  3 51 44  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  29452 139644 5512236 1030100    0    0    51  1210 4600 4361  3  6 80 11  0	
 0  1  29452 139528 5512492 1030108    0    0    51  1706 4406 4195  3  5 83  8  0	
 0  0  29452 139280 5512748 1030120    0    0    51  3682 5040 4333  2  3 54 41  0	
 1  0  29452 138760 5513008 1030128    0    0    51   474 4919 4894  4  8 85  2  0	
 0  1  29452 137992 5513272 1030140    0    0    51   325 4300 4330  5  7 87  1  0	
 0  1  29452 138108 5513532 1030164    0    0    51  4292 5197 4476  2  4 55 39  0	
 0  0  29452 138140 5513796 1030164    0    0    51  1287 4725 4511  3  5 71 21  0	
 3  0  29452 138264 5514056 1030180    0    0    51   622 4050 3980  2  3 91  3  0	
 1  0  29452 137892 5514320 1030188    0    0    51  4695 5461 4490  2  4 49 45  0	
 3  0  29452 135140 5514584 1030200    0    0    51   494 4354 4283  4  6 88  2  0	
 1  0  29452 137196 5514848 1030204    0    0    51    87 4089 4268  3  5 92  0  0	
 3  1  29452 135924 5515104 1030220    0    0    51  4727 5850 4786  3  5 52 40  0	
 0  0  29452 136700 5515368 1030232    0    0    51  1102 4814 4614  2  5 77 16  0	
 0  1  29452 135800 5515628 1030240    0    0    51  1003 4457 4333  3  5 88  5  0	
 0  1  29452 136032 5515892 1030252    0    0    51  3871 5642 4674  5  7 52 36  0	
 0  0  29452 135792 5516156 1030260    0    0    51   999 4548 4307  2  5 80 14  0	
 0  1  29452 135420 5516420 1030272    0    0    51   118 4079 4154  2  4 94  0  0	
 0  2  29452 134444 5516680 1030276    0    0    51  5052 5728 4470  4  6 55 35  0	
 0  1  29452 134956 5516940 1030300    0    0    51   734 4296 4129  2  4 87  7  0	
