procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 5077652  52380 1245916    0    0     0     0    2    7 19  8 72  1  0	
 3  0      0 5075836  52380 1245944    0    0     0     8 11248 20436 39 16 44  0  0	
 7  1      0 5075836  52380 1245948    0    0     0     2 11594 20438 37 14 49  0  0	
 6  0      0 5075828  52380 1245964    0    0     0     1 11308 20554 37 15 48  0  0	
 0  0      0 5075828  52380 1245980    0    0     0     3 11262 20710 36 13 51  0  0	
12  0      0 5073196  52380 1245996    0    0     0     2 11126 20567 40 18 42  0  0	
 1  0      0 5075468  52380 1245996    0    0     0     2 11443 20621 37 15 48  0  0	
 7  0      0 5075640  52380 1246008    0    0     0     7 11047 20022 36 12 50  2  0	
 6  1      0 5076112  52380 1245992    0    0     0    22 11660 20538 38 16 46  0  0	
 0  0      0 5075716  52380 1246008    0    0     0     6 12064 21339 39 15 44  2  0	
 1  0      0 5075632  52380 1246012    0    0     0     0 11299 20998 37 12 51  0  0	
 4  0      0 5033484  52380 1246028    0    0     0     4 11634 20082 36 17 46  2  0	
 1  0      0 5075632  52380 1246032    0    0     0     5 11384 20645 37 14 48  1  0	
 1  0      0 5075556  52380 1246048    0    0     0     7 10982 20557 39 16 44  1  0	
 1  0      0 5075448  52380 1246056    0    0     0    14 11095 20395 36 13 50  1  0	
 5  0      0 5075820  52380 1246064    0    0     0     6 11786 20032 37 16 46  1  0	
 0  0      0 5075992  52380 1246080    0    0     0     4 11132 20160 36 12 51  1  0	
 1  1      0 5075908  52380 1246092    0    0     0     5 11024 19768 35 13 50  3  0	
 2  0      0 5076040  52380 1246104    0    0     0     0 11755 20331 36 15 49  0  0	
 0  0      0 5075544  52380 1246108    0    0     0     3 11158 20395 35 13 52  1  0	
 1  0      0 5075552  52380 1246120    0    0     0    14 10947 19812 36 12 51  1  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 5075448  52380 1246124    0    0     0     7 11920 20643 39 19 36  5  0	
 1  0      0 5075876  52380 1246132    0    0     0     5 11355 20754 38 13 48  2  0	
 4  1      0 5075652  52380 1246144    0    0     0     5 11193 20108 36 13 49  2  0	
 1  0      0 5075884  52380 1246136    0    0     0     4 12194 20593 37 16 44  3  0	
 0  0      0 5075792  52380 1246140    0    0     0     5 11105 20147 36 14 48  1  0	
 1  0      0 5075940  52380 1246152    0    0     0    17 10949 19409 36 13 50  2  0	
 0  0      0 5076072  52380 1246160    0    0     0     5 11926 20150 37 15 48  1  0	
 1  0      0 5075948  52380 1246176    0    0     0     2 11085 19934 36 12 50  2  0	
